Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,FR,9781508261131,French 1,1,N/A,N/A,01Q,N/A,N/A,Excuse me.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_001.mp3,"10,13,16"
2,FR,9781508261131,French 1,1,N/A,N/A,01R,N/A,N/A,Excusez-moi.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_002.mp3,"10,13,16"
3,FR,9781508261131,French 1,1,N/A,N/A,02Q,N/A,N/A,Do you understand?,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_003.mp3,"10,15"
4,FR,9781508261131,French 1,1,N/A,N/A,02R,N/A,N/A,Est-ce que vous comprenez?,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_004.mp3,"10,15"
5,FR,9781508261131,French 1,1,N/A,N/A,03Q,N/A,N/A,You understand English.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_005.mp3,15
6,FR,9781508261131,French 1,1,N/A,N/A,03R,N/A,N/A,Vous comprenez l'anglais.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_006.mp3,15
7,FR,9781508261131,French 1,1,N/A,N/A,04Q,N/A,N/A,Do you understand English?,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_007.mp3,"10,15"
8,FR,9781508261131,French 1,1,N/A,N/A,04R,N/A,N/A,Est-ce que vous comprenez l’anglais?,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_008.mp3,"10,15"
9,FR,9781508261131,French 1,1,N/A,N/A,05Q,N/A,N/A,Are you American?,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_009.mp3,"10,16"
10,FR,9781508261131,French 1,1,N/A,N/A,05R,N/A,N/A,Est-ce que vous êtes américain?,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_010.mp3,"10,16"
11,FR,9781508261131,French 1,1,N/A,N/A,06Q,N/A,N/A,I don't understand.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_011.mp3,15
12,FR,9781508261131,French 1,1,N/A,N/A,06R,N/A,N/A,Je ne comprends pas.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_012.mp3,15
13,FR,9781508261131,French 1,1,N/A,N/A,07Q,N/A,N/A,I understand French a little.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_013.mp3,"10,15"
14,FR,9781508261131,French 1,1,N/A,N/A,07R,N/A,N/A,Je comprends un peu le français.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_014.mp3,"10,15"
15,FR,9781508261131,French 1,1,N/A,N/A,08Q,N/A,N/A,You are American.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_015.mp3,10
16,FR,9781508261131,French 1,1,N/A,N/A,08R,N/A,N/A,Vous êtes américain.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_016.mp3,10
17,FR,9781508261131,French 1,1,N/A,N/A,09Q,N/A,N/A,I don't understand English.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_017.mp3,"10,15,16"
18,FR,9781508261131,French 1,1,N/A,N/A,09R,N/A,N/A,Je ne comprends pas l'anglais.,N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_018.mp3,"10,15,16"
19,FR,9781508261131,French 1,2,N/A,N/A,01Q,N/A,N/A,"I am well, thanks",N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_019.mp3,"8,10,13"
20,FR,9781508261131,French 1,2,N/A,N/A,01R,N/A,N/A,"Je vais bien, merci.",N/A,N/A,Pimsleur French Level 1 Core Update MP3,9781508261131_French_1_QM_020.mp3,"8,10,13"
