Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,KO,Korean 3,1,,01Q,N,I�m hungry.,,9781508298229_Korean_Level_3_QM_001.mp3,9781508254423,9781508298229,"6,16"
2,KO,Korean 3,1,,01R,F,_ ___.,bae gopayo.,9781508298229_Korean_Level_3_QM_002.mp3,9781508254423,9781508298229,"6,16"
3,KO,Korean 3,1,,02Q,N,I dislike cold weather.,,9781508298229_Korean_Level_3_QM_003.mp3,9781508254423,9781508298229,19
4,KO,Korean 3,1,,02R,F,__ ___ ____.,chuwoon nalssi leul sileo haeyo.,9781508298229_Korean_Level_3_QM_004.mp3,9781508254423,9781508298229,19
5,KO,Korean 3,1,,03Q,N,Then let�s eat lunch!,,9781508298229_Korean_Level_3_QM_005.mp3,9781508254423,9781508298229,6
6,KO,Korean 3,1,,03R,F,"__, __ ____!","keurum, jeomshim meok eup sita!",9781508298229_Korean_Level_3_QM_006.mp3,9781508254423,9781508298229,6
7,KO,Korean 3,1,,04Q,N,Shall we go to an Italian eating place?,,9781508298229_Korean_Level_3_QM_007.mp3,9781508254423,9781508298229,6
8,KO,Korean 3,1,,04R,F,____ ___ ___?,italia sik dang e kallae yo?,9781508298229_Korean_Level_3_QM_008.mp3,9781508254423,9781508298229,6
9,KO,Korean 3,1,,05Q,N,I would eat well.,,9781508298229_Korean_Level_3_QM_009.mp3,9781508254423,9781508298229,6
10,KO,Korean 3,1,,05R,F,_ _____.,jal meokget seum nita.,9781508298229_Korean_Level_3_QM_010.mp3,9781508254423,9781508298229,6
11,KO,Korean 3,1,,06Q,N,It snows a lot.,,9781508298229_Korean_Level_3_QM_011.mp3,9781508254423,9781508298229,19
12,KO,Korean 3,1,,06R,M,__ __ __.,nun i mani wayo.,9781508298229_Korean_Level_3_QM_012.mp3,9781508254423,9781508298229,19
13,KO,Korean 3,1,,07Q,N,I dislike hot weather.,,9781508298229_Korean_Level_3_QM_013.mp3,9781508254423,9781508298229,19
14,KO,Korean 3,1,,07R,M,__ ___ ____.,deowoon nalssi leul sileo haeyo.,9781508298229_Korean_Level_3_QM_014.mp3,9781508254423,9781508298229,19
15,KO,Korean 3,1,,08Q,N,You dislike hot weather?,,9781508298229_Korean_Level_3_QM_015.mp3,9781508254423,9781508298229,19
16,KO,Korean 3,1,,08R,M,__ ___ ____?,deowoon nalssi leul sileo haeyo?,9781508298229_Korean_Level_3_QM_016.mp3,9781508254423,9781508298229,19
17,KO,Korean 3,1,,09Q,N,"Yes, I dislike June.",,9781508298229_Korean_Level_3_QM_017.mp3,9781508254423,9781508298229,"7,17"
18,KO,Korean 3,1,,09R,M,"_, ___ ____.","ne, yuwol eul sileo haeyo.",9781508298229_Korean_Level_3_QM_018.mp3,9781508254423,9781508298229,"7,17"
19,KO,Korean 3,1,,10Q,N,Where is the bank?,,9781508298229_Korean_Level_3_QM_019.mp3,9781508254423,9781508298229,"4,11,16"
20,KO,Korean 3,1,,10R,M,___ __ ___?,eun haeng i eodi iss eoyo?,9781508298229_Korean_Level_3_QM_020.mp3,9781508254423,9781508298229,"4,11,16"
21,KO,Korean 3,2,,01Q,N,In order to see my son.,,9781508298229_Korean_Level_3_QM_021.mp3,9781508254423,9781508298229,5
22,KO,Korean 3,2,,01R,F,___ __.,adeul eul bo reo.,9781508298229_Korean_Level_3_QM_022.mp3,9781508254423,9781508298229,5
23,KO,Korean 3,2,,02Q,N,Because it is hot.,,9781508298229_Korean_Level_3_QM_023.mp3,9781508254423,9781508298229,19
24,KO,Korean 3,2,,02R,F,_____.,deowoo nikka yo.,9781508298229_Korean_Level_3_QM_024.mp3,9781508254423,9781508298229,19
25,KO,Korean 3,2,,03Q,N,Is there a restaurant around here?,,9781508298229_Korean_Level_3_QM_025.mp3,9781508254423,9781508298229,6
26,KO,Korean 3,2,,03R,F,___ _____ ___?,geun cheo e reseutorang i iss eoyo?,9781508298229_Korean_Level_3_QM_026.mp3,9781508254423,9781508298229,6
27,KO,Korean 3,2,,04Q,N,I have the ingredients.,,9781508298229_Korean_Level_3_QM_027.mp3,9781508254423,9781508298229,6
28,KO,Korean 3,2,,04R,F,___ ___.,jaeryo ka iss eoyo.,9781508298229_Korean_Level_3_QM_028.mp3,9781508254423,9781508298229,6
29,KO,Korean 3,2,,05Q,N,"As for me, I dislike January and February.",,9781508298229_Korean_Level_3_QM_029.mp3,9781508254423,9781508298229,"7,17"
30,KO,Korean 3,2,,05R,F,__ ____ ___ ____.,jeo neun ilwol hako iwol eul sileo haeyo.,9781508298229_Korean_Level_3_QM_030.mp3,9781508254423,9781508298229,"7,17"
31,KO,Korean 3,2,,06Q,N,Would you like to have coffee?,,9781508298229_Korean_Level_3_QM_031.mp3,9781508254423,9781508298229,6
32,KO,Korean 3,2,,06R,M,__ ____?,keopi deusil laeyo?,9781508298229_Korean_Level_3_QM_032.mp3,9781508254423,9781508298229,6
33,KO,Korean 3,2,,07Q,N,I brought some flowers.,,9781508298229_Korean_Level_3_QM_033.mp3,9781508254423,9781508298229,14
34,KO,Korean 3,2,,07R,M,__ _ _____.,kkotch eul jom gajyeo wass eoyo.,9781508298229_Korean_Level_3_QM_034.mp3,9781508254423,9781508298229,14
35,KO,Korean 3,2,,08Q,N,The flowers are pretty.,,9781508298229_Korean_Level_3_QM_035.mp3,9781508254423,9781508298229,7
36,KO,Korean 3,2,,08R,M,__ ___.,kkotch i yepp eoyo.,9781508298229_Korean_Level_3_QM_036.mp3,9781508254423,9781508298229,7
37,KO,Korean 3,2,,09Q,N,I want to make sushi.,,9781508298229_Korean_Level_3_QM_037.mp3,9781508254423,9781508298229,"1,6"
38,KO,Korean 3,2,,09R,M,___ ___ ___.,cho bap eul mandeul ko sipeo yo.,9781508298229_Korean_Level_3_QM_038.mp3,9781508254423,9781508298229,"1,6"
39,KO,Korean 3,2,,10Q,N,I have pasta ingredients.,,9781508298229_Korean_Level_3_QM_039.mp3,9781508254423,9781508298229,6
