Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,KO,Korean 1,1,,01Q,N,"No, I can’t.",,9781508298205_Korean_Level_1_QM_001.mp3,9781508217916,9781508298205,"15,16"
2,KO,Korean 1,1,,01R,F,"아니요, 못 해요","aniyo, mot haeyo.",9781508298205_Korean_Level_1_QM_002.mp3,9781508217916,9781508298205,"15,16"
3,KO,Korean 1,1,,02Q,N,Hello.,,9781508298205_Korean_Level_1_QM_003.mp3,9781508217916,9781508298205,"10,13,16"
4,KO,Korean 1,1,,02R,F,안녕하세요.,annyong haseyo.,9781508298205_Korean_Level_1_QM_004.mp3,9781508217916,9781508298205,"10,13,16"
5,KO,Korean 1,1,,03Q,N,Do you speak Korean?,,9781508298205_Korean_Level_1_QM_005.mp3,9781508217916,9781508298205,"10,13,15,16"
6,KO,Korean 1,1,,03R,F,한국말 하세요?,hankuk mal haseyo?,9781508298205_Korean_Level_1_QM_006.mp3,9781508217916,9781508298205,"10,13,15,16"
7,KO,Korean 1,1,,04Q,N,Do you speak English?,,9781508298205_Korean_Level_1_QM_007.mp3,9781508217916,9781508298205,"10,13,15,16"
8,KO,Korean 1,1,,04R,F,영어 하세요?,youngeo haseyo?,9781508298205_Korean_Level_1_QM_008.mp3,9781508217916,9781508298205,"10,13,15,16"
9,KO,Korean 1,1,,05Q,N,A little.,,9781508298205_Korean_Level_1_QM_009.mp3,9781508217916,9781508298205,"7,15,16"
10,KO,Korean 1,1,,05R,F,조금요.,jokeum yo.,9781508298205_Korean_Level_1_QM_010.mp3,9781508217916,9781508298205,"7,15,16"
11,KO,Korean 1,1,,06Q,N,I can’t speak Korean.,,9781508298205_Korean_Level_1_QM_011.mp3,9781508217916,9781508298205,"15,16"
12,KO,Korean 1,1,,06R,M,한국말 못 해요.,hankuk mal mot haeyo.,9781508298205_Korean_Level_1_QM_012.mp3,9781508217916,9781508298205,"15,16"
13,KO,Korean 1,1,,07Q,N,I can’t speak English.,,9781508298205_Korean_Level_1_QM_013.mp3,9781508217916,9781508298205,"15,16"
14,KO,Korean 1,1,,07R,M,영어 못 해요.,youngeo mot haeyo.,9781508298205_Korean_Level_1_QM_014.mp3,9781508217916,9781508298205,"15,16"
15,KO,Korean 1,1,,08Q,N,I’m glad to meet you.,,9781508298205_Korean_Level_1_QM_015.mp3,9781508217916,9781508298205,"10,13,16"
16,KO,Korean 1,1,,08R,M,만나서 반갑습니다.,manna seo ban gap seum nita.,9781508298205_Korean_Level_1_QM_016.mp3,9781508217916,9781508298205,"10,13,16"
17,KO,Korean 1,1,,09Q,N,I came from America.,,9781508298205_Korean_Level_1_QM_017.mp3,9781508217916,9781508298205,10
18,KO,Korean 1,1,,09R,M,미국에서 왔습니다.,mikuk eseo oass-seum nita.,9781508298205_Korean_Level_1_QM_018.mp3,9781508217916,9781508298205,10
19,KO,Korean 1,1,,10Q,N,Did you come from America?,,9781508298205_Korean_Level_1_QM_019.mp3,9781508217916,9781508298205,10
20,KO,Korean 1,1,,10R,M,미국에서 오셨어요?,mikuk eseo osyeoss eoyo?,9781508298205_Korean_Level_1_QM_020.mp3,9781508217916,9781508298205,10
21,KO,Korean 1,2,,01Q,N,You speak very well.,,9781508298205_Korean_Level_1_QM_021.mp3,9781508217916,9781508298205,"13,15,16"
22,KO,Korean 1,2,,01R,F,아주 잘 하세요.,aju jal haseyo.,9781508298205_Korean_Level_1_QM_022.mp3,9781508217916,9781508298205,"13,15,16"
23,KO,Korean 1,2,,02Q,N,You speak Korean very well.,,9781508298205_Korean_Level_1_QM_023.mp3,9781508217916,9781508298205,"13,15,16"
24,KO,Korean 1,2,,02R,F,한국말 아주 잘 하세요.,hankuk mal aju jal haseyo.,9781508298205_Korean_Level_1_QM_024.mp3,9781508217916,9781508298205,"13,15,16"
25,KO,Korean 1,2,,03Q,N,I can’t speak Korean well.,,9781508298205_Korean_Level_1_QM_025.mp3,9781508217916,9781508298205,"15,16"
26,KO,Korean 1,2,,03R,F,한국말 잘 못 해요.,hankuk mal jal mot haeyo.,9781508298205_Korean_Level_1_QM_026.mp3,9781508217916,9781508298205,"15,16"
27,KO,Korean 1,2,,04Q,N,I can’t speak well.,,9781508298205_Korean_Level_1_QM_027.mp3,9781508217916,9781508298205,"15,16"
28,KO,Korean 1,2,,04R,F,잘 못 해요.,jal mot haeyo.,9781508298205_Korean_Level_1_QM_028.mp3,9781508217916,9781508298205,"15,16"
29,KO,Korean 1,2,,05Q,N,"As for me, I speak Korean.",,9781508298205_Korean_Level_1_QM_029.mp3,9781508217916,9781508298205,"15,16"
30,KO,Korean 1,2,,05R,F,저는 한국말 해요.,jeo neun hankuk mal haeyo.,9781508298205_Korean_Level_1_QM_030.mp3,9781508217916,9781508298205,"15,16"
31,KO,Korean 1,2,,06Q,N,"As for me, I speak a little Korean.",,9781508298205_Korean_Level_1_QM_031.mp3,9781508217916,9781508298205,"15,16"
32,KO,Korean 1,2,,06R,M,저는 한국말 조금 해요.,jeo neun hankuk mal jokeum haeyo.,9781508298205_Korean_Level_1_QM_032.mp3,9781508217916,9781508298205,"15,16"
33,KO,Korean 1,2,,07Q,N,The weather is good.,,9781508298205_Korean_Level_1_QM_033.mp3,9781508217916,9781508298205,7
34,KO,Korean 1,2,,07R,M,날씨 좋습니다.,nalssi joseum nita.,9781508298205_Korean_Level_1_QM_034.mp3,9781508217916,9781508298205,7
35,KO,Korean 1,2,,08Q,N,I speak a little English.,,9781508298205_Korean_Level_1_QM_035.mp3,9781508217916,9781508298205,"15,16"
36,KO,Korean 1,2,,08R,M,영어 조금 해요.,youngeo jokeum haeyo.,9781508298205_Korean_Level_1_QM_036.mp3,9781508217916,9781508298205,"15,16"
37,KO,Korean 1,2,,09Q,N,I speak a little Korean.,,9781508298205_Korean_Level_1_QM_037.mp3,9781508217916,9781508298205,"15,16"
38,KO,Korean 1,2,,09R,M,한국말 조금 해요.,hankuk mal jokeum haeyo.,9781508298205_Korean_Level_1_QM_038.mp3,9781508217916,9781508298205,"15,16"
39,KO,Korean 1,2,,10Q,N,"As for me, I can’t speak English well.",,9781508298205_Korean_Level_1_QM_039.mp3,9781508217916,9781508298205,"15,16"
40,KO,Korean 1,2,,10R,M,저는 영어 잘 못 해요.,jeo neun youngeo jal mot haeyo.,9781508298205_Korean_Level_1_QM_040.mp3,9781508217916,9781508298205,"15,16"
41,KO,Korean 1,3,,01Q,N,I can’t speak well yet.,,9781508298205_Korean_Level_1_QM_041.mp3,9781508217916,9781508298205,"15,16"
42,KO,Korean 1,3,,01R,F,아직 잘 못해요.,ajik jal mot haeyo.,9781508298205_Korean_Level_1_QM_042.mp3,9781508217916,9781508298205,"15,16"
43,KO,Korean 1,3,,02Q,N,Did you eat?,,9781508298205_Korean_Level_1_QM_043.mp3,9781508217916,9781508298205,6
44,KO,Korean 1,3,,02R,F,드셨어요?,deusyeoss eoyo?,9781508298205_Korean_Level_1_QM_044.mp3,9781508217916,9781508298205,6
45,KO,Korean 1,3,,03Q,N,But I can’t speak well yet.,,9781508298205_Korean_Level_1_QM_045.mp3,9781508217916,9781508298205,"15,16"
46,KO,Korean 1,3,,03R,F,하지만 아직 잘 못해요.,hajiman ajik jal mot haeyo.,9781508298205_Korean_Level_1_QM_046.mp3,9781508217916,9781508298205,"15,16"
47,KO,Korean 1,3,,04Q,N,Did you eat lunch?,,9781508298205_Korean_Level_1_QM_047.mp3,9781508217916,9781508298205,6
48,KO,Korean 1,3,,04R,F,점심 드셨어요?,jeomshim deusyeoss eoyo?,9781508298205_Korean_Level_1_QM_048.mp3,9781508217916,9781508298205,6
49,KO,Korean 1,3,,05Q,N,Have you had breakfast?,,9781508298205_Korean_Level_1_QM_049.mp3,9781508217916,9781508298205,6
50,KO,Korean 1,3,,05R,F,아침 드셨어요?,achim deusyeoss eoyo?,9781508298205_Korean_Level_1_QM_050.mp3,9781508217916,9781508298205,6
51,KO,Korean 1,3,,06Q,N,Thank you very much.,,9781508298205_Korean_Level_1_QM_051.mp3,9781508217916,9781508298205,"13,16"
52,KO,Korean 1,3,,06R,M,정말 감사합니다.,jung mal kamsa ham nita.,9781508298205_Korean_Level_1_QM_052.mp3,9781508217916,9781508298205,"13,16"
53,KO,Korean 1,3,,07Q,N,I learned in America.,,9781508298205_Korean_Level_1_QM_053.mp3,9781508217916,9781508298205,7
54,KO,Korean 1,3,,07R,M,미국에서 배웠어요.,mikuk eseo baewoss eoyo.,9781508298205_Korean_Level_1_QM_054.mp3,9781508217916,9781508298205,7
55,KO,Korean 1,3,,08Q,N,I don’t know.,,9781508298205_Korean_Level_1_QM_055.mp3,9781508217916,9781508298205,"7,16"
56,KO,Korean 1,3,,08R,M,몰라요.,molla yo.,9781508298205_Korean_Level_1_QM_056.mp3,9781508217916,9781508298205,"7,16"
57,KO,Korean 1,3,,09Q,N,"Yes, thank you very much.",,9781508298205_Korean_Level_1_QM_057.mp3,9781508217916,9781508298205,"13,16"
58,KO,Korean 1,3,,09R,M,"네, 정말 감사합니다.","ne, jung mal kamsa ham nita.",9781508298205_Korean_Level_1_QM_058.mp3,9781508217916,9781508298205,"13,16"
59,KO,Korean 1,3,,10Q,N,"No, I don’t speak well yet.",,9781508298205_Korean_Level_1_QM_059.mp3,9781508217916,9781508298205,"15,16"
60,KO,Korean 1,3,,10R,M,"아니요, 아직 잘 못해요.","aniyo, ajik jal mot haeyo.",9781508298205_Korean_Level_1_QM_060.mp3,9781508217916,9781508298205,"15,16"
61,KO,Korean 1,4,,01Q,N,"No, it’s not here.",,9781508298205_Korean_Level_1_QM_061.mp3,9781508217916,9781508298205,4
62,KO,Korean 1,4,,01R,F,"아니요, 여기가 아니에요.","aniyo, yeoki ka anieyo.",9781508298205_Korean_Level_1_QM_062.mp3,9781508217916,9781508298205,4
63,KO,Korean 1,4,,02Q,N,"As for me, I ate.",,9781508298205_Korean_Level_1_QM_063.mp3,9781508217916,9781508298205,6
64,KO,Korean 1,4,,02R,F,저는 먹었어요.,jeo neun meok eoss eoyo.,9781508298205_Korean_Level_1_QM_064.mp3,9781508217916,9781508298205,6
65,KO,Korean 1,4,,03Q,N,It’s not over there.,,9781508298205_Korean_Level_1_QM_065.mp3,9781508217916,9781508298205,4
66,KO,Korean 1,4,,03R,F,저기가 아니에요.,jeoki ka anieyo.,9781508298205_Korean_Level_1_QM_066.mp3,9781508217916,9781508298205,4
67,KO,Korean 1,4,,04Q,N,It’s over there.,,9781508298205_Korean_Level_1_QM_067.mp3,9781508217916,9781508298205,4
68,KO,Korean 1,4,,04R,F,저기예요.,jeoki yeyo.,9781508298205_Korean_Level_1_QM_068.mp3,9781508217916,9781508298205,4
69,KO,Korean 1,4,,05Q,N,I ate lunch.,,9781508298205_Korean_Level_1_QM_069.mp3,9781508217916,9781508298205,6
70,KO,Korean 1,4,,05R,F,점심먹었어요.,jeomshim meok eoss eoyo.,9781508298205_Korean_Level_1_QM_070.mp3,9781508217916,9781508298205,6
71,KO,Korean 1,4,,06Q,N,I speak a little.,,9781508298205_Korean_Level_1_QM_071.mp3,9781508217916,9781508298205,"15,16"
72,KO,Korean 1,4,,06R,M,조금 해요.,jokeum haeyo.,9781508298205_Korean_Level_1_QM_072.mp3,9781508217916,9781508298205,"15,16"
73,KO,Korean 1,4,,07Q,N,Is it over there?,,9781508298205_Korean_Level_1_QM_073.mp3,9781508217916,9781508298205,"4,7,16"
74,KO,Korean 1,4,,07R,M,저기예요?,jeoki yeyo?,9781508298205_Korean_Level_1_QM_074.mp3,9781508217916,9781508298205,"4,7,16"
75,KO,Korean 1,4,,08Q,N,It’s not here.,,9781508298205_Korean_Level_1_QM_075.mp3,9781508217916,9781508298205,4
76,KO,Korean 1,4,,08R,M,여기가 아니에요.,yeoki ka anieyo.,9781508298205_Korean_Level_1_QM_076.mp3,9781508217916,9781508298205,4
77,KO,Korean 1,4,,09Q,N,Is it here?,,9781508298205_Korean_Level_1_QM_077.mp3,9781508217916,9781508298205,4
78,KO,Korean 1,4,,09R,M,여기예요?,yeoki yeyo?,9781508298205_Korean_Level_1_QM_078.mp3,9781508217916,9781508298205,4
79,KO,Korean 1,4,,10Q,N,Where is Tapgol Park?,,9781508298205_Korean_Level_1_QM_079.mp3,9781508217916,9781508298205,4
80,KO,Korean 1,4,,10R,M,탑골공원이 어디예요?,tapgol kongwoni eodi yeyo?,9781508298205_Korean_Level_1_QM_080.mp3,9781508217916,9781508298205,4
81,KO,Korean 1,5,,01Q,N,Are you going to eat breakfast?,,9781508298205_Korean_Level_1_QM_081.mp3,9781508217916,9781508298205,6
82,KO,Korean 1,5,,01R,F,아침 드시겠어요?,achim deusi kess eoyo?,9781508298205_Korean_Level_1_QM_082.mp3,9781508217916,9781508298205,6
83,KO,Korean 1,5,,02Q,N,You’re not going to eat.,,9781508298205_Korean_Level_1_QM_083.mp3,9781508217916,9781508298205,6
84,KO,Korean 1,5,,02R,F,안 드시겠어요.,an deusi kess eoyo.,9781508298205_Korean_Level_1_QM_084.mp3,9781508217916,9781508298205,6
85,KO,Korean 1,5,,03Q,N,I’m going to drink.,,9781508298205_Korean_Level_1_QM_085.mp3,9781508217916,9781508298205,6
86,KO,Korean 1,5,,03R,F,마시겠어요.,masi kess eoyo.,9781508298205_Korean_Level_1_QM_086.mp3,9781508217916,9781508298205,6
87,KO,Korean 1,5,,04Q,N,I’m not going to drink.,,9781508298205_Korean_Level_1_QM_087.mp3,9781508217916,9781508298205,6
88,KO,Korean 1,5,,04R,F,안 마시겠어요.,an masi kess eoyo.,9781508298205_Korean_Level_1_QM_088.mp3,9781508217916,9781508298205,6
89,KO,Korean 1,5,,05Q,N,Do you know?,,9781508298205_Korean_Level_1_QM_089.mp3,9781508217916,9781508298205,7
