Rec #,Lang ,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,GK,Greek 1,1,,01Q,N,Are you American? (m),,9781797115375_Greek_1_QZ_001.mp3,9781442319875,9781797115375,10
2,GK,Greek 1,1,,01R,F,Είστε Αμερικανός;,Iste Amerikanós?,9781797115375_Greek_1_QZ_002.mp3,9781442319875,9781797115375,10
3,GK,Greek 1,1,,02Q,N,Do you understand English?,,9781797115375_Greek_1_QZ_003.mp3,9781442319875,9781797115375,"10,15,16"
4,GK,Greek 1,1,,02R,F,Καταλαβαίνετε Αγγλικά;,Katalavénete Angliká?,9781797115375_Greek_1_QZ_004.mp3,9781442319875,9781797115375,"10,15,16"
5,GK,Greek 1,1,,03Q,N,Do you understand?,,9781797115375_Greek_1_QZ_005.mp3,9781442319875,9781797115375,"10,15,16"
6,GK,Greek 1,1,,03R,F,Kαταλαβαίνετε;,Katalavénete?,9781797115375_Greek_1_QZ_006.mp3,9781442319875,9781797115375,"10,15,16"
7,GK,Greek 1,1,,04Q,N,I understand a little Greek.,,9781797115375_Greek_1_QZ_007.mp3,9781442319875,9781797115375,"10,15,16"
8,GK,Greek 1,1,,04R,F,Καταλαβαίνω λίγο Ελληνικά.,Katalavéno lígo Elliniká.,9781797115375_Greek_1_QZ_008.mp3,9781442319875,9781797115375,"10,15,16"
9,GK,Greek 1,1,,05Q,N,I don’t understand English.,,9781797115375_Greek_1_QZ_009.mp3,9781442319875,9781797115375,"10,15,16"
10,GK,Greek 1,1,,05R,F,Δεν καταλαβαίνω Αγγλικά.,Then katalavéno Angliká.,9781797115375_Greek_1_QZ_010.mp3,9781442319875,9781797115375,"10,15,16"
11,GK,Greek 1,1,,06Q,N,I don’t understand.,,9781797115375_Greek_1_QZ_011.mp3,9781442319875,9781797115375,"10,15,16"
12,GK,Greek 1,1,,06R,M,Δεν καταλαβαίνω.,Then katalavéno.,9781797115375_Greek_1_QZ_012.mp3,9781442319875,9781797115375,"10,15,16"
13,GK,Greek 1,1,,07Q,N,"Excuse me, do you understand?",,9781797115375_Greek_1_QZ_013.mp3,9781442319875,9781797115375,"10,15,16"
14,GK,Greek 1,1,,07R,M,"Συγνώμη, καταλαβαίνετε;","Signóme, katalavénete?",9781797115375_Greek_1_QZ_014.mp3,9781442319875,9781797115375,"10,15,16"
15,GK,Greek 1,1,,08Q,N,I don't understand Greek.,,9781797115375_Greek_1_QZ_015.mp3,9781442319875,9781797115375,"10,15,16"
16,GK,Greek 1,1,,08R,M,Δεν καταλαβαίνω Ελληνικά.,Then katalavéno Elliniká.,9781797115375_Greek_1_QZ_016.mp3,9781442319875,9781797115375,"10,15,16"
17,GK,Greek 1,1,,09Q,N,"No, sir.",,9781797115375_Greek_1_QZ_017.mp3,9781442319875,9781797115375,"13,16"
18,GK,Greek 1,1,,09R,M,"Όχι, κύριε.","Ochi, kírie.",9781797115375_Greek_1_QZ_018.mp3,9781442319875,9781797115375,"13,16"
19,GK,Greek 1,1,,10Q,N,I understand Greek.,,9781797115375_Greek_1_QZ_019.mp3,9781442319875,9781797115375,"10,15,16"
20,GK,Greek 1,1,,10R,M,Καταλαβαίνω Ελληνικά.,Katalavéno Elliniká.,9781797115375_Greek_1_QZ_020.mp3,9781442319875,9781797115375,"10,15,16"
21,GK,Greek 1,2,,01Q,N,I'm well.,,9781797115375_Greek_1_QZ_021.mp3,9781442319875,9781797115375,"10,16"
22,GK,Greek 1,2,,01R,F,Είμαι καλά.,Ime kalá.,9781797115375_Greek_1_QZ_022.mp3,9781442319875,9781797115375,"10,16"
23,GK,Greek 1,2,,02Q,N,Not very well.,,9781797115375_Greek_1_QZ_023.mp3,9781442319875,9781797115375,"10,16"
24,GK,Greek 1,2,,02R,F,Όχι πολύ καλά.,Ochi polí kalá.,9781797115375_Greek_1_QZ_024.mp3,9781442319875,9781797115375,"10,16"
25,GK,Greek 1,2,,03Q,N,Are you well?,,9781797115375_Greek_1_QZ_025.mp3,9781442319875,9781797115375,"10,16"
26,GK,Greek 1,2,,03R,F,Είστε καλά;,Iste kalá?,9781797115375_Greek_1_QZ_026.mp3,9781442319875,9781797115375,"10,16"
27,GK,Greek 1,2,,04Q,N,How are you?,,9781797115375_Greek_1_QZ_027.mp3,9781442319875,9781797115375,"10,16"
28,GK,Greek 1,2,,04R,F,Τι κάνετε;,Ti kánete?,9781797115375_Greek_1_QZ_028.mp3,9781442319875,9781797115375,"10,16"
29,GK,Greek 1,2,,05Q,N,I understand a little.,,9781797115375_Greek_1_QZ_029.mp3,9781442319875,9781797115375,"10,15,16"
30,GK,Greek 1,2,,05R,F,Καταλαβαίνω λίγο.,Katalavéno lígo.,9781797115375_Greek_1_QZ_030.mp3,9781442319875,9781797115375,"10,15,16"
31,GK,Greek 1,2,,06Q,N,I understand a little English.,,9781797115375_Greek_1_QZ_031.mp3,9781442319875,9781797115375,"10,15,16"
32,GK,Greek 1,2,,06R,M,Καταλαβαίνω λίγο Αγγλικά.,Katalavéno lígo Angliká.,9781797115375_Greek_1_QZ_032.mp3,9781442319875,9781797115375,"10,15,16"
33,GK,Greek 1,2,,07Q,N,"Yes, you're American. (m)",,9781797115375_Greek_1_QZ_033.mp3,9781442319875,9781797115375,10
34,GK,Greek 1,2,,07R,M,"Ναι, είστε Αμερικανός.","Ne, íste Amerikanós.",9781797115375_Greek_1_QZ_034.mp3,9781442319875,9781797115375,10
35,GK,Greek 1,2,,08Q,N,"Yes, miss.",,9781797115375_Greek_1_QZ_035.mp3,9781442319875,9781797115375,"13,16"
36,GK,Greek 1,2,,08R,M,"Ναι, δεσποινίς.","Ne, thespinís.",9781797115375_Greek_1_QZ_036.mp3,9781442319875,9781797115375,"13,16"
37,GK,Greek 1,2,,09Q,N,"Hello, ma'am.",,9781797115375_Greek_1_QZ_037.mp3,9781442319875,9781797115375,"10,16"
38,GK,Greek 1,2,,09R,M,"Χαίρετε, κυρία.","Chérete, kiría.",9781797115375_Greek_1_QZ_038.mp3,9781442319875,9781797115375,"10,16"
