Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,JP,9781442386495,Japanese 4,1,01Q,N,The son has become nine years old.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0001.mp3,"5,9,12"
2,2,JP,9781442386495,Japanese 4,1,01R,M,息子は九才になりました。,musuko wa kyu sai ni narimashita.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0002.mp3,"5,9,12"
3,3,JP,9781442386495,Japanese 4,1,02Q,N,Are you a student? [polite],,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0003.mp3,"7,9,13"
4,4,JP,9781442386495,Japanese 4,1,02R,F,学生さんですか。,gakusei san desu ka.,4,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0004.mp3,"7,9,13"
5,5,JP,9781442386495,Japanese 4,1,03Q,N,It’s not the first time.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0005.mp3,"9,12"
6,6,JP,9781442386495,Japanese 4,1,03R,F,初めてじゃありません。,hajimete ja arimasen.,3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0006.mp3,"9,12"
7,7,JP,9781442386495,Japanese 4,1,04Q,N,"It's been a while, hasn't it. [polite]",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0007.mp3,"7,13"
8,8,JP,9781442386495,Japanese 4,1,04R,F,お久しぶりですね。,ohisashiburi desu ne.,3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0008.mp3,"7,13"
9,9,JP,9781442386495,Japanese 4,1,05Q,N,I didn't hear well.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0009.mp3,"7,16"
10,10,JP,9781442386495,Japanese 4,1,05R,F,よく聞こえませんでした。,yoku kikoemasen deshita.,3,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0010.mp3,"7,16"
11,11,JP,9781442386495,Japanese 4,1,06Q,N,What time did he say we'll be arriving?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0011.mp3,"9,17,18"
12,12,JP,9781442386495,Japanese 4,1,06R,F,何時に着くと言いましたか。,nan ji ni tsuku to iimashita ka.,7,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0012.mp3,"9,17,18"
13,13,JP,9781442386495,Japanese 4,1,07Q,N,What did you say?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0013.mp3,"7,16"
14,14,JP,9781442386495,Japanese 4,1,07R,F,何と言いましたか。,nan to iimashita ka.,4,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0014.mp3,"7,16"
15,15,JP,9781442386495,Japanese 4,1,08Q,N,Did you buy any souvenirs?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0015.mp3,"14,18"
16,16,JP,9781442386495,Japanese 4,1,08R,F,何かお土産を買いましたか。,nanika omiyage o kaimashita ka.,5,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0016.mp3,"14,18"
17,17,JP,9781442386495,Japanese 4,1,09Q,N,"You're going to Japan, aren't you?",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0017.mp3,"9,18"
18,18,JP,9781442386495,Japanese 4,1,09R,M,日本にいらっしゃるんですね。,nihon ni irassharu n desu ne?,6,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0018.mp3,"9,18"
19,19,JP,9781442386495,Japanese 4,1,10Q,N,Have you ever been to San Francisco?,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0019.mp3,"9,18"
20,20,JP,9781442386495,Japanese 4,1,10R,F,サンフランシスコに行ったことがありますか。,san huranshisuko ni itta koto ga arimasu ka.,8,Q,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0020.mp3,"9,18"
21,21,JP,9781442386495,Japanese 4,1,11Q,N,He said we'll be arriving at four o'clock.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0021.mp3,"12,17,18"
22,22,JP,9781442386495,Japanese 4,1,11R,M,四時に着くと言いました。,yo ji ni tsuku to iimashita.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0022.mp3,"12,17,18"
23,23,JP,9781442386495,Japanese 4,2,01Q,N,Please give my regards to your wife also.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0023.mp3,"5,7,13"
24,24,JP,9781442386495,Japanese 4,2,01R,F,奥さんにも よろしくお伝え下さい。,okusan ni mo yoroshiku otsutae kudasai.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0024.mp3,"5,7,13"
25,25,JP,9781442386495,Japanese 4,2,02Q,N,You may be hungry.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0025.mp3,"6,7"
26,26,JP,9781442386495,Japanese 4,2,02R,M,お腹が空いているでしょう。,onaka ga suite iru deshoo.,5,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0026.mp3,"6,7"
27,27,JP,9781442386495,Japanese 4,2,03Q,N,"As for that person, he was a company employee.",,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0027.mp3,"9,20"
28,28,JP,9781442386495,Japanese 4,2,03R,F,その人は会社員でした。,sono hito wa kaisha in deshita.,6,S,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0028.mp3,"9,20"
29,29,JP,9781442386495,Japanese 4,2,04Q,N,I have eaten.,,,,Pimsleur Japanese Level 4 MP3,9781508222064_Japanese_4_QZ_0029.mp3,"6,9"
