Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
1,FR,978-1-4423-4864-6,French 1,1,0:02:21,0:02:22,01Q,37,N,Excuse me.,,,"French Phase 1, Units 1-30 (2001)","10,13,16"
2,FR,978-1-4423-4864-6,French 1,1,0:02:25,0:02:25,01R,38,M,Pardon.,1,S,"French Phase 1, Units 1-30 (2001)","10,13,16"
3,FR,978-1-4423-4864-6,French 1,1,0:03:20,0:03:20,02Q,50,N,Understand.,,,"French Phase 1, Units 1-30 (2001)",15
4,FR,978-1-4423-4864-6,French 1,1,0:03:23,0:03:23,02R,51,M,Comprenez.,1,S,"French Phase 1, Units 1-30 (2001)",15
5,FR,978-1-4423-4864-6,French 1,1,0:04:14,0:04:15,03Q,61,N,You understand English.,,,"French Phase 1, Units 1-30 (2001)",15
6,FR,978-1-4423-4864-6,French 1,1,0:04:19,0:04:20,03R,62,M,Vous comprenez l'anglais.,3,S,"French Phase 1, Units 1-30 (2001)",15
7,FR,978-1-4423-4864-6,French 1,1,0:04:58,0:04:59,04Q,69,N,Do you understand?,,,"French Phase 1, Units 1-30 (2001)","10,15"
8,FR,978-1-4423-4864-6,French 1,1,0:05:02,0:05:04,04R,70,M,Est-ce que vous comprenez?,5,Q,"French Phase 1, Units 1-30 (2001)","10,15"
9,FR,978-1-4423-4864-6,French 1,1,0:06:38,0:06:42,05Q,88,N,How would you ask someone if he understands?,,,"French Phase 1, Units 1-30 (2001)","10,15"
10,FR,978-1-4423-4864-6,French 1,1,0:06:45,0:06:46,05R,89,M,Est-ce que vous comprenez?,5,Q,"French Phase 1, Units 1-30 (2001)","10,15"
11,FR,978-1-4423-4864-6,French 1,1,0:10:26,0:10:27,06Q,126,N,I don't understand.,,,"French Phase 1, Units 1-30 (2001)","10,15"
12,FR,978-1-4423-4864-6,French 1,1,0:10:30,0:10:31,06R,127,F,Je ne comprends pas.,4,S,"French Phase 1, Units 1-30 (2001)","10,15"
13,FR,978-1-4423-4864-6,French 1,1,0:16:09,0:16:10,07Q,194,N,I understand French a little.,,,"French Phase 1, Units 1-30 (2001)","10,15"
14,FR,978-1-4423-4864-6,French 1,1,0:16:13,0:16:14,07R,195,M,Je comprends un peu le français.,6,S,"French Phase 1, Units 1-30 (2001)","10,15"
15,FR,978-1-4423-4864-6,French 1,1,0:17:48,0:17:50,08Q,210,N,You are American.,,,"French Phase 1, Units 1-30 (2001)","10,16"
16,FR,978-1-4423-4864-6,French 1,1,0:17:53,0:17:54,08R,211,F,Vous êtes américain.,3,S,"French Phase 1, Units 1-30 (2001)","10,16"
17,FR,978-1-4423-4864-6,French 1,1,0:20:46,0:20:47,09Q,240,F,I don't understand English.,,,"French Phase 1, Units 1-30 (2001)","10,15"
18,FR,978-1-4423-4864-6,French 1,1,0:20:51,0:20:53,09R,241,N,Je ne comprends pas l'anglais.,5,S,"French Phase 1, Units 1-30 (2001)","10,15"
19,FR,978-1-4423-4864-6,French 1,2,0:00:31,0:00:34,01Q,16,N,Say the word “English” in French.,,,"French Phase 1, Units 1-30 (2001)",7
20,FR,978-1-4423-4864-6,French 1,2,0:00:36,0:00:38,01R,17,F,L'anglais.,1,S,"French Phase 1, Units 1-30 (2001)",7
21,FR,978-1-4423-4864-6,French 1,2,0:01:05,0:01:07,02Q,22,N,I understand French.,,,"French Phase 1, Units 1-30 (2001)","10,15"
22,FR,978-1-4423-4864-6,French 1,2,0:01:10,0:01:11,02R,23,F,Je comprends l'français.,4,S,"French Phase 1, Units 1-30 (2001)","10,15"
23,FR,978-1-4423-4864-6,French 1,2,0:07:41,0:07:42,03Q,94,N,"Excuse me, miss.",,,"French Phase 1, Units 1-30 (2001)","10,13,16"
24,FR,978-1-4423-4864-6,French 1,2,0:07:46,0:07:47,03R,95,M,"Pardon, mademoiselle.",2,S,"French Phase 1, Units 1-30 (2001)","10,13,16"
25,FR,978-1-4423-4864-6,French 1,2,0:13:22,0:13:23,04Q,159,N,How are you?,,,"French Phase 1, Units 1-30 (2001)","10,13"
26,FR,978-1-4423-4864-6,French 1,2,0:13:26,0:13:27,04R,160,M,Comment allez-vous?,3,Q,"French Phase 1, Units 1-30 (2001)","10,13"
27,FR,978-1-4423-4864-6,French 1,2,0:13:35,0:13:37,05Q,161,N,"Good morning, ma’am.",,,"French Phase 1, Units 1-30 (2001)",10
28,FR,978-1-4423-4864-6,French 1,2,0:13:40,0:13:41,05R,162,M,"Bonjour, madame.",2,S,"French Phase 1, Units 1-30 (2001)",10
29,FR,978-1-4423-4864-6,French 1,2,0:15:48,0:15:49,06Q,186,N,"Very well, miss.",,,"French Phase 1, Units 1-30 (2001)",7
30,FR,978-1-4423-4864-6,French 1,2,0:15:53,0:15:54,06R,187,M,"Très bien, mademoiselle.",3,S,"French Phase 1, Units 1-30 (2001)",7
31,FR,978-1-4423-4864-6,French 1,2,0:16:30,0:16:34,07Q,194,N,I'm well.,,,"French Phase 1, Units 1-30 (2001)","7,10"
32,FR,978-1-4423-4864-6,French 1,2,0:16:34,0:16:37,07R,195,M,Je vais bien.,3,S,"French Phase 1, Units 1-30 (2001)","7,10"
33,FR,978-1-4423-4864-6,French 1,2,0:17:50,0:17:51,08Q,210,N,Thank you.,,,"French Phase 1, Units 1-30 (2001)","13,16"
34,FR,978-1-4423-4864-6,French 1,2,0:17:53,0:17:54,08R,211,M,Merci.,1,S,"French Phase 1, Units 1-30 (2001)","13,16"
35,FR,978-1-4423-4864-6,French 1,2,0:24:53,0:24:53,09Q,287,N,Not very well.,,,"French Phase 1, Units 1-30 (2001)",7
36,FR,978-1-4423-4864-6,French 1,2,0:24:57,0:24:57,09R,288,M,Pas très bien.,3,S,"French Phase 1, Units 1-30 (2001)",7
37,FR,978-1-4423-4864-6,French 1,2,0:25:37,0:25:38,10Q,296,N,I don't understand very well.,,,"French Phase 1, Units 1-30 (2001)",15
38,FR,978-1-4423-4864-6,French 1,2,0:25:43,0:25:44,10R,297,F,Je ne comprends pas très bien.,6,S,"French Phase 1, Units 1-30 (2001)",15
39,FR,978-1-4423-4864-6,French 1,2,0:27:29,0:27:29,11Q,317,N,Goodbye.,,,"French Phase 1, Units 1-30 (2001)","10,13,16"
40,FR,978-1-4423-4864-6,French 1,2,0:27:32,0:27:33,11R,318,F,Au revoir.,2,S,"French Phase 1, Units 1-30 (2001)","10,13,16"
41,FR,978-1-4423-4864-6,French 1,3,0:02:59,0:03:00,01Q,47,N,Ask me how I'm feeling.,,,"French Phase 1, Units 1-30 (2001)",7
42,FR,978-1-4423-4864-6,French 1,3,0:03:08,0:03:09,01R,48,F,Comment allez-vous?,3,Q,"French Phase 1, Units 1-30 (2001)",7
43,FR,978-1-4423-4864-6,French 1,3,0:03:54,0:03:57,02Q,57,M,"How do you say, “Hello” in French?",,,"French Phase 1, Units 1-30 (2001)","10,16"
44,FR,978-1-4423-4864-6,French 1,3,0:03:59,0:04:00,02R,58,N,Bonjour.,1,S,"French Phase 1, Units 1-30 (2001)","10,16"
45,FR,978-1-4423-4864-6,French 1,3,0:07:42,0:07:46,03Q,97,N,Ask the young woman if she is American.,,,"French Phase 1, Units 1-30 (2001)",10
46,FR,978-1-4423-4864-6,French 1,3,0:07:48,0:07:50,03R,98,M,Est-ce que vous êtes américaine?,5,Q,"French Phase 1, Units 1-30 (2001)",10
47,FR,978-1-4423-4864-6,French 1,3,0:10:10,0:10:14,04Q,125,N,"Guess how the man would say, “I am French.”",,,"French Phase 1, Units 1-30 (2001)",9
48,FR,978-1-4423-4864-6,French 1,3,0:10:16,0:10:18,04R,126,M,Je suis français.,3,S,"French Phase 1, Units 1-30 (2001)",9
49,FR,978-1-4423-4864-6,French 1,3,0:11:28,0:11:31,05Q,136,N,And now ask the woman if she is French.,,,"French Phase 1, Units 1-30 (2001)",17
50,FR,978-1-4423-4864-6,French 1,3,0:11:34,0:11:37,05R,137,M,Est-ce que vous êtes française?,5,Q,"French Phase 1, Units 1-30 (2001)",17
51,FR,978-1-4423-4864-6,French 1,3,0:11:58,0:12:00,06Q,141,N,I (f) am not French.,,,"French Phase 1, Units 1-30 (2001)","7,10"
52,FR,978-1-4423-4864-6,French 1,3,0:12:03,0:12:05,06R,142,F,Je ne suis pas française.,,S,"French Phase 1, Units 1-30 (2001)","7,10"
53,FR,978-1-4423-4864-6,French 1,3,0:13:29,0:13:32,07Q,156,N,"Say to the woman, “You are American.”",,,"French Phase 1, Units 1-30 (2001)",10
54,FR,978-1-4423-4864-6,French 1,3,0:13:35,0:13:36,07R,157,M,Vous êtes américaine.,3,S,"French Phase 1, Units 1-30 (2001)",10
55,FR,978-1-4423-4864-6,French 1,3,0:13:48,0:13:51,08Q,160,N,"And now say to the woman, “You're not American.”",,,"French Phase 1, Units 1-30 (2001)",10
56,FR,978-1-4423-4864-6,French 1,3,0:13:54,0:13:56,08R,161,M,Vous n'êtes pas américaine.,4,S,"French Phase 1, Units 1-30 (2001)",10
57,FR,978-1-4423-4864-6,French 1,3,0:21:45,0:21:46,09Q,246,N,Are you well?,,,"French Phase 1, Units 1-30 (2001)",7
58,FR,978-1-4423-4864-6,French 1,3,0:21:50,0:21:51,09R,247,M,Est-ce que vous allez bien?,5,Q,"French Phase 1, Units 1-30 (2001)",7
59,FR,978-1-4423-4864-6,French 1,4,0:03:26,0:03:28,01Q,49,N,You understand very well.,,,"French Phase 1, Units 1-30 (2001)",15
60,FR,978-1-4423-4864-6,French 1,4,0:03:32,0:03:33,01R,50,F,Vous comprenez très bien.,3,S,"French Phase 1, Units 1-30 (2001)",15
61,FR,978-1-4423-4864-6,French 1,4,0:08:23,0:08:24,02Q,101,N,You speak well.,,,"French Phase 1, Units 1-30 (2001)",15
62,FR,978-1-4423-4864-6,French 1,4,0:08:28,0:08:28,02R,102,M,Vous parlez bien.,3,S,"French Phase 1, Units 1-30 (2001)",15
63,FR,978-1-4423-4864-6,French 1,4,0:15:48,0:15:49,03Q,182,N,Where is the street?,,,"French Phase 1, Units 1-30 (2001)","4,16"
64,FR,978-1-4423-4864-6,French 1,4,0:15:52,0:15:53,03R,183,M,Où est la rue?,4,Q,"French Phase 1, Units 1-30 (2001)","4,16"
65,FR,978-1-4423-4864-6,French 1,4,0:18:49,0:18:49,04Q,212,N,It's here.,,,"French Phase 1, Units 1-30 (2001)","4,7"
66,FR,978-1-4423-4864-6,French 1,4,0:18:58,0:18:58,04R,214,F,C'est ici.,2,S,"French Phase 1, Units 1-30 (2001)","4,7"
67,FR,978-1-4423-4864-6,French 1,4,0:20:01,0:20:02,05Q,223,N,Is it here?,,,"French Phase 1, Units 1-30 (2001)","4,7"
68,FR,978-1-4423-4864-6,French 1,4,0:20:06,0:20:07,05R,224,M,Est-ce que c'est ici?,4,Q,"French Phase 1, Units 1-30 (2001)","4,7"
69,FR,978-1-4423-4864-6,French 1,4,0:20:36,0:20:37,06Q,229,N,"No, it's not here.",,,"French Phase 1, Units 1-30 (2001)","4,7"
