Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,EA,Eastern Arabic 3,1,,01Q,N,Do you know where there is a pastry shop?,,9781797115122_Arabic_Eastern_3_QZ_001.mp3,9781442307292,9781797115122,"4,6,14"
2,EA,Eastern Arabic 3,1,,01R,F,بتعرفي وين في محل حلويات؟,bta’erfii ween fii maHal Helwiyyaat?,9781797115122_Arabic_Eastern_3_QZ_002.mp3,9781442307292,9781797115122,"4,6,14"
3,EA,Eastern Arabic 3,1,,02Q,N,Can you show me on the map? (f),,9781797115122_Arabic_Eastern_3_QZ_003.mp3,9781442307292,9781797115122,"4,13,16"
4,EA,Eastern Arabic 3,1,,02R,M,بتقدر تدلني عالخريطة؟,bte’edrii tdelliinii `al khariiTa? ,9781797115122_Arabic_Eastern_3_QZ_004.mp3,9781442307292,9781797115122,"4,13,16"
5,EA,Eastern Arabic 3,1,,03Q,N,"Can you speak slowly, please? (f)",,9781797115122_Arabic_Eastern_3_QZ_005.mp3,9781442307292,9781797115122,"10,13,15,16"
6,EA,Eastern Arabic 3,1,,03R,F,بتقدري تحكي على مهلِك من فضلِك؟,"bte’edrii teHkii `ala mahlek, min faDlek?",9781797115122_Arabic_Eastern_3_QZ_006.mp3,9781442307292,9781797115122,"10,13,15,16"
7,EA,Eastern Arabic 3,1,,04Q,N,"Usually, the Syrians they speak very fast.",,9781797115122_Arabic_Eastern_3_QZ_007.mp3,9781442307292,9781797115122,15
8,EA,Eastern Arabic 3,1,,04R,F,عادة السوريين بيحكوا بسرعة كتير.,"`aadatan, es-suuriyyiin b-yeHkuu b-ser`a ktiir.",9781797115122_Arabic_Eastern_3_QZ_008.mp3,9781442307292,9781797115122,15
9,EA,Eastern Arabic 3,1,,05Q,N,I will speak slowly now.,,9781797115122_Arabic_Eastern_3_QZ_009.mp3,9781442307292,9781797115122,"13,15"
10,EA,Eastern Arabic 3,1,,05R,F,حإحكي على مهلي هللأ.,Ha-eHkii `ala mahlii halla’.,9781797115122_Arabic_Eastern_3_QZ_010.mp3,9781442307292,9781797115122,"13,15"
11,EA,Eastern Arabic 3,1,,06Q,N,How does one go to your place? (pl),,9781797115122_Arabic_Eastern_3_QZ_011.mp3,9781442307292,9781797115122,20
12,EA,Eastern Arabic 3,1,,06R,M,كيف الواحد بيروح لعندكن؟,kiif  el-waaHid bi-ruuH la `andkon?,9781797115122_Arabic_Eastern_3_QZ_012.mp3,9781442307292,9781797115122,20
13,EA,Eastern Arabic 3,1,,07Q,N,We don’t need a map.,,9781797115122_Arabic_Eastern_3_QZ_013.mp3,9781442307292,9781797115122,4
14,EA,Eastern Arabic 3,1,,07R,M,مو لازمنا خريطة.,muu laazemnaa khariiTa.,9781797115122_Arabic_Eastern_3_QZ_014.mp3,9781442307292,9781797115122,4
15,EA,Eastern Arabic 3,1,,08Q,N,What are you doing next Sunday?,,9781797115122_Arabic_Eastern_3_QZ_015.mp3,9781442307292,9781797115122,"1,17"
16,EA,Eastern Arabic 3,1,,08R,M,شو حتعملي الأحد الجاية؟,shuu Ha-ta`imlii  el-‘aHad l-jaaye?,9781797115122_Arabic_Eastern_3_QZ_016.mp3,9781442307292,9781797115122,"1,17"
17,EA,Eastern Arabic 3,1,,09Q,N,What will you do today?,,9781797115122_Arabic_Eastern_3_QZ_017.mp3,9781442307292,9781797115122,"1,17"
18,EA,Eastern Arabic 3,1,,09R,M,شو حتعملي اليوم؟,shuu Ha-ta`imlii  el-yoom?,9781797115122_Arabic_Eastern_3_QZ_018.mp3,9781442307292,9781797115122,"1,17"
19,EA,Eastern Arabic 3,1,,10Q,N,You speak very quickly. (f),,9781797115122_Arabic_Eastern_3_QZ_019.mp3,9781442307292,9781797115122,"15,16"
20,EA,Eastern Arabic 3,1,,10R,M,بتحكي بسرعة كتير.,b-teHkii b-ser`a ktiir.,9781797115122_Arabic_Eastern_3_QZ_020.mp3,9781442307292,9781797115122,"15,16"
21,EA,Eastern Arabic 3,2,,01Q,N,I’m sorry I’m late. (m),,9781797115122_Arabic_Eastern_3_QZ_021.mp3,9781442307292,9781797115122,"13,16,17"
22,EA,Eastern Arabic 3,2,,01R,F,آسف أنا متأخِّر.,aasef ana met’akh-kher.,9781797115122_Arabic_Eastern_3_QZ_022.mp3,9781442307292,9781797115122,"13,16,17"
23,EA,Eastern Arabic 3,2,,02Q,N,Of course it doesn't snow in the summer.,,9781797115122_Arabic_Eastern_3_QZ_023.mp3,9781442307292,9781797115122,19
24,EA,Eastern Arabic 3,2,,02R,F,طبعا ما بينزل تلج بالصيف.,Taban maa b-yenzel talej biS-Seef.,9781797115122_Arabic_Eastern_3_QZ_024.mp3,9781442307292,9781797115122,19
25,EA,Eastern Arabic 3,2,,03Q,N,"In Boston it snows a lot, but not in the summer.",,9781797115122_Arabic_Eastern_3_QZ_025.mp3,9781442307292,9781797115122,"18,19"
26,EA,Eastern Arabic 3,2,,03R,F,ببوسطن بينزل تلج كتير بس مو بالصيف.,"bi-Boston b-yenzel talej ktiir, bass muu biS-Seef.",9781797115122_Arabic_Eastern_3_QZ_026.mp3,9781442307292,9781797115122,"18,19"
27,EA,Eastern Arabic 3,2,,04Q,N,Does it snow?,,9781797115122_Arabic_Eastern_3_QZ_027.mp3,9781442307292,9781797115122,19
28,EA,Eastern Arabic 3,2,,04R,F,بينزل تَلِج؟,b-yenzel talej?,9781797115122_Arabic_Eastern_3_QZ_028.mp3,9781442307292,9781797115122,19
29,EA,Eastern Arabic 3,2,,05Q,N,Is the weather hot in the mountains?,,9781797115122_Arabic_Eastern_3_QZ_029.mp3,9781442307292,9781797115122,19
30,EA,Eastern Arabic 3,2,,05R,F,الطقس شوب بالجبال؟,et-Ta’S shoob bil-jbaal?,9781797115122_Arabic_Eastern_3_QZ_030.mp3,9781442307292,9781797115122,19
31,EA,Eastern Arabic 3,2,,06Q,N,It’s a beautiful town.,,9781797115122_Arabic_Eastern_3_QZ_031.mp3,9781442307292,9781797115122,18
32,EA,Eastern Arabic 3,2,,06R,F,هية بلد حلوة كتير.,hiyye balad Helwe ktiir.,9781797115122_Arabic_Eastern_3_QZ_032.mp3,9781442307292,9781797115122,18
33,EA,Eastern Arabic 3,2,,07Q,N,I won’t be doing anything.,,9781797115122_Arabic_Eastern_3_QZ_033.mp3,9781442307292,9781797115122,1
34,EA,Eastern Arabic 3,2,,07R,M,ما حأعمل شي.,maa Ha-a`mil shii.,9781797115122_Arabic_Eastern_3_QZ_034.mp3,9781442307292,9781797115122,1
35,EA,Eastern Arabic 3,2,,08Q,N,It snowed a little.,,9781797115122_Arabic_Eastern_3_QZ_035.mp3,9781442307292,9781797115122,19
36,EA,Eastern Arabic 3,2,,08R,M,نزل تلج شوية.,nezel talej shwayyeh.,9781797115122_Arabic_Eastern_3_QZ_036.mp3,9781442307292,9781797115122,19
37,EA,Eastern Arabic 3,2,,09Q,N,Come to our place after work.,,9781797115122_Arabic_Eastern_3_QZ_037.mp3,9781442307292,9781797115122,20
38,EA,Eastern Arabic 3,2,,09R,M,تعا لعنا بعد الشغل.,ta`aa la `annaa ba`d esh-sheghel.,9781797115122_Arabic_Eastern_3_QZ_038.mp3,9781442307292,9781797115122,20
39,EA,Eastern Arabic 3,2,,10Q,N,Come have dinner at our place!,,9781797115122_Arabic_Eastern_3_QZ_039.mp3,9781442307292,9781797115122,"5,6"
40,EA,Eastern Arabic 3,2,,10R,M,تعا تعشا عنّا!,ta`aa t`ash-shaa `annaa!,9781797115122_Arabic_Eastern_3_QZ_040.mp3,9781442307292,9781797115122,"5,6"
41,EA,Eastern Arabic 3,3,,01Q,N,I have some photos.,,9781797115122_Arabic_Eastern_3_QZ_041.mp3,9781442307292,9781797115122,7
42,EA,Eastern Arabic 3,3,,01R,F,عندي شوية صور.,`andii shwayyet Suwar.,9781797115122_Arabic_Eastern_3_QZ_042.mp3,9781442307292,9781797115122,7
43,EA,Eastern Arabic 3,3,,02Q,N,I have some photos of Boston.,,9781797115122_Arabic_Eastern_3_QZ_043.mp3,9781442307292,9781797115122,18
44,EA,Eastern Arabic 3,3,,02R,F,عندي شوية صور لبوسطن.,`andii shwayyet Suwar la boston.,9781797115122_Arabic_Eastern_3_QZ_044.mp3,9781442307292,9781797115122,18
45,EA,Eastern Arabic 3,3,,03Q,N,I grew up in Bloudan.,,9781797115122_Arabic_Eastern_3_QZ_045.mp3,9781442307292,9781797115122,7
46,EA,Eastern Arabic 3,3,,03R,F,أنا ربيت ببلودان.,ana rbiit bi-bluudaan.,9781797115122_Arabic_Eastern_3_QZ_046.mp3,9781442307292,9781797115122,7
47,EA,Eastern Arabic 3,3,,04Q,N,I would like to go there in the summer.,,9781797115122_Arabic_Eastern_3_QZ_047.mp3,9781442307292,9781797115122,"17,18"
48,EA,Eastern Arabic 3,3,,04R,F,بحب روح لهنيك بالصيف.,b-Hibb ruuH la hniik biS-Seef.,9781797115122_Arabic_Eastern_3_QZ_048.mp3,9781442307292,9781797115122,"17,18"
49,EA,Eastern Arabic 3,3,,05Q,N,I have some photos of the mountains.,,9781797115122_Arabic_Eastern_3_QZ_049.mp3,9781442307292,9781797115122,7
50,EA,Eastern Arabic 3,3,,05R,F,عندي شوية صور للجبال.,`andii shwayyet Suwar lal-jbaal.,9781797115122_Arabic_Eastern_3_QZ_050.mp3,9781442307292,9781797115122,7
51,EA,Eastern Arabic 3,3,,06Q,N,My husband likes Syrian pastries.,,9781797115122_Arabic_Eastern_3_QZ_051.mp3,9781442307292,9781797115122,"5,6"
52,EA,Eastern Arabic 3,3,,06R,F,جوزي بحب الحلويات الشامية.,joozii b-Hibb el-Helwiyyaat esh-shaamiyeh.,9781797115122_Arabic_Eastern_3_QZ_052.mp3,9781442307292,9781797115122,"5,6"
53,EA,Eastern Arabic 3,3,,07Q,N,Did it rain?,,9781797115122_Arabic_Eastern_3_QZ_053.mp3,9781442307292,9781797115122,"16,19"
54,EA,Eastern Arabic 3,3,,07R,M,نزل مطر؟,nezel maTar?,9781797115122_Arabic_Eastern_3_QZ_054.mp3,9781442307292,9781797115122,"16,19"
55,EA,Eastern Arabic 3,3,,08Q,N,Your photos are beautiful.,,9781797115122_Arabic_Eastern_3_QZ_055.mp3,9781442307292,9781797115122,7
56,EA,Eastern Arabic 3,3,,08R,M,صورك حلوة.,Suwarek Helweh.,9781797115122_Arabic_Eastern_3_QZ_056.mp3,9781442307292,9781797115122,7
57,EA,Eastern Arabic 3,3,,09Q,N,Where did he grow up?,,9781797115122_Arabic_Eastern_3_QZ_057.mp3,9781442307292,9781797115122,5
58,EA,Eastern Arabic 3,3,,09R,M,وين ربي؟,ween rebii?,9781797115122_Arabic_Eastern_3_QZ_058.mp3,9781442307292,9781797115122,5
59,EA,Eastern Arabic 3,3,,10Q,N,"It snows a lot there, right?",,9781797115122_Arabic_Eastern_3_QZ_059.mp3,9781442307292,9781797115122,19
