Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01Q_A,N,He doesn't like soccer.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0001.mp3,1
2,2,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01R_A,F,A él no le gusta el fútbol.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0002.mp3,1
3,3,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01Q_B,N,He doesn't play soccer.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0003.mp3,1
4,4,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01R_B,F,No juega fútbol.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0004.mp3,1
5,5,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01Q_C,N,He likes soccer a lot.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0005.mp3,1
6,6,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01R_C,M,Le gusta mucho el fútbol.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0006.mp3,1
7,7,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01Q_D,N,I seldom have time to play soccer.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0007.mp3,"1,17"
8,8,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-01,01R_D,F,Raras veces tengo tiempo para jugar al fútbol.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0008.mp3,"1,17"
9,9,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02Q_A,N,My son often watches soccer with me.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0009.mp3,"1,5"
10,10,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02R_A,M,Mi hijo a menudo ve fútbol conmigo.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0010.mp3,"1,5"
11,11,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02Q_B,N,We like to watch soccer together.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0011.mp3,1
12,12,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02R_B,F,Nos gusta ver fútbol juntos.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0012.mp3,1
13,13,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02Q_C,N,Right now he's watching a soccer match.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0013.mp3,"1,17"
14,14,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02R_C,F,Ahora mismo está viendo un partido de fútbol.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0014.mp3,"1,17"
15,15,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02Q_D,N,I can watch a soccer match on TV.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0015.mp3,1
16,16,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-02,02R_D,M,Puedo ver un partido de fútbol en la tele.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0016.mp3,1
17,17,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03Q_A,N,There are many choices.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0017.mp3,14
18,18,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03R_A,F,Hay muchas opciones.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0018.mp3,14
19,19,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03Q_B,N,In size medium there are many choices.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0019.mp3,14
20,20,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03R_B,F,En talla mediana hay muchas opciones.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0020.mp3,14
21,21,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03Q_C,N,In those colors there are many choices.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0021.mp3,14
22,22,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03R_C,F,En esos colores hay muchas opciones.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0022.mp3,14
23,23,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03Q_D,N,We have various choices.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0023.mp3,14
24,24,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-03,03R_D,F,Tenemos varias opciones.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0024.mp3,14
25,25,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04Q_A,N,Going to the beach is a good choice.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0025.mp3,1
26,26,SP,Spanish 5,9781442386167,1,N/A,N/A,U01-04,04R_A,M,Ir a la playa es una buena opción.,,,Pimsleur Spanish Level 5 MP3,9781508230946_Spanish_5_QZ_0026.mp3,1
