Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
131,131,JP,9781442310964,Japanese 3,6,,,05Q,,N,"That's nice, isn't it.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0131.mp3,7
132,132,JP,9781442310964,Japanese 3,6,,,05R,,F,それはいいですね。,sore wa ii desu ne.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0132.mp3,7
133,133,JP,9781442310964,Japanese 3,6,,,06Q,,N,"There's something on the table, isn't there.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0133.mp3,9
134,134,JP,9781442310964,Japanese 3,6,,,06R,,F,テーブルの上に何かありますね。,teeburu no ue ni nanika arimasu ne.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0134.mp3,9
135,135,JP,9781442310964,Japanese 3,6,,,07Q,,N,"As for me, I'll decide on sushi. (polite)",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0135.mp3,"6,13"
136,136,JP,9781442310964,Japanese 3,6,,,07R,,F,私はお寿司にします。,watashi wa osushi ni shimasu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0136.mp3,"6,13"
137,137,JP,9781442310964,Japanese 3,6,,,08Q,,N,I saw Kurosawa's movie.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0137.mp3,"1,9"
138,138,JP,9781442310964,Japanese 3,6,,,08R,,M,黒沢の映画を見ました。,kurosawa no eiga o mimashita.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0138.mp3,"1,9"
139,139,JP,9781442310964,Japanese 3,7,,,01Q,,N,It was not very expensive.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0139.mp3,"9,11,14"
140,140,JP,9781442310964,Japanese 3,7,,,01R,,M,あまり高くありませんでした。,amari takaku arimasen deshita.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0140.mp3,"9,11,14"
141,141,JP,9781442310964,Japanese 3,7,,,02Q,,N,It wasn't cold.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0141.mp3,"7,9,19"
142,142,JP,9781442310964,Japanese 3,7,,,02R,,F,寒くありませんでした。,samuku arimasen deshita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0142.mp3,"7,9,19"
143,143,JP,9781442310964,Japanese 3,7,,,03Q,,N,It was expensive.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0143.mp3,"9,11,14"
144,144,JP,9781442310964,Japanese 3,7,,,03R,,M,高かったです。,takakatta desu.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0144.mp3,"9,11,14"
145,145,JP,9781442310964,Japanese 3,7,,,04Q,,N,Where are you going to stay?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0145.mp3,"9,18"
146,146,JP,9781442310964,Japanese 3,7,,,04R,,F,どこに泊まりますか。,doko ni tomarimasu ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0146.mp3,"9,18"
147,147,JP,9781442310964,Japanese 3,7,,,05Q,,N,I stayed at a hotel.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0147.mp3,"9,18"
148,148,JP,9781442310964,Japanese 3,7,,,05R,,M,ホテルに泊まりました。,hoteru ni tomarimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0148.mp3,"9,18"
149,149,JP,9781442310964,Japanese 3,7,,,06Q,,N,It was good.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0149.mp3,"7,9"
150,150,JP,9781442310964,Japanese 3,7,,,06R,,F,良 かったです。,yokatta desu.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0150.mp3,"7,9"
151,151,JP,9781442310964,Japanese 3,7,,,07Q,,N,I made a reservation.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0151.mp3,"16,18"
152,152,JP,9781442310964,Japanese 3,7,,,07R,,M,予約しました。,yoyaku shimashita.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0152.mp3,"16,18"
153,153,JP,9781442310964,Japanese 3,7,,,08Q,,N,"No, it isn't there.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0153.mp3,9
154,154,JP,9781442310964,Japanese 3,7,,,08R,,M,いいえ、ありません。,"iie, arimasen.",2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0154.mp3,9
155,155,JP,9781442310964,Japanese 3,7,,,09Q,,N,"It's there, for sure.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0155.mp3,9
156,156,JP,9781442310964,Japanese 3,7,,,09R,,F,ありますよ。,arimasu yo.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0156.mp3,9
157,157,JP,9781442310964,Japanese 3,7,,,10Q,,N,Do I have to make a reservation?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0157.mp3,"16,18"
158,158,JP,9781442310964,Japanese 3,7,,,10R,,M,予約しなくてはいけませんか。,yoyaku shinakutewa ikemasen ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0158.mp3,"16,18"
159,159,JP,9781442310964,Japanese 3,7,,,11Q,,N,I'm not going to stay at the hotel.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0159.mp3,"9,18"
160,160,JP,9781442310964,Japanese 3,7,,,11R,,M,ホテルに泊まりません。,hoteru ni tomarimasen.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0160.mp3,"9,18"
161,161,JP,9781442310964,Japanese 3,7,,,12Q,,N,Which hotel did you stay in?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0161.mp3,"9,18"
162,162,JP,9781442310964,Japanese 3,7,,,12R,,M,どのホテルに泊まりましたか.,dono hoteru ni tomarimashita ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0162.mp3,"9,18"
163,163,JP,9781442310964,Japanese 3,7,,,13Q,,N,Next month I'm going to Fukuoka.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0163.mp3,"9,17,18"
164,164,JP,9781442310964,Japanese 3,7,,,13R,,M,来月福岡へ行きます。,raigetsu fukuoka e ikimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0164.mp3,"9,17,18"
165,165,JP,9781442310964,Japanese 3,7,,,14Q,,N,Where did you stay?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0165.mp3,"9,18"
166,166,JP,9781442310964,Japanese 3,7,,,14R,,M,どこに泊まりましたか.,doko ni tomarimashita ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0166.mp3,"9,18"
167,167,JP,9781442310964,Japanese 3,7,,,15Q,,N,I'm going to stay at my friend's place.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0167.mp3,"5,9,18"
168,168,JP,9781442310964,Japanese 3,7,,,15R,,M,ともだちの所に泊まります。,tomodachi no tokoro ni tomarimasu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0168.mp3,"5,9,18"
169,169,JP,9781442310964,Japanese 3,8,,,01Q,,N,I'd like to make a reservation.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0169.mp3,"16,18"
170,170,JP,9781442310964,Japanese 3,8,,,01R,,M,予約したいんですが。,yoyaku shitai n desu ga.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0170.mp3,"16,18"
171,171,JP,9781442310964,Japanese 3,8,,,02Q,,N,Where shall we go?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0171.mp3,"1,7"
172,172,JP,9781442310964,Japanese 3,8,,,02R,,M,どこへ行きましょうか。,doko e ikimashoo ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0172.mp3,"1,7"
173,173,JP,9781442310964,Japanese 3,8,,,03Q,,N,Is it all right with a credit card?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0173.mp3,"14,18"
174,174,JP,9781442310964,Japanese 3,8,,,03R,,M,クレジットカードでいいですか。,kurejitto caado de ii desu ka.,6,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0174.mp3,"14,18"
175,175,JP,9781442310964,Japanese 3,8,,,04Q,,N,I have a credit card.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0175.mp3,"14,18"
176,176,JP,9781442310964,Japanese 3,8,,,04R,,M,クレジットカードを持っています。,kurejitto caado o motte imasu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0176.mp3,"14,18"
177,177,JP,9781442310964,Japanese 3,8,,,05Q,,N,What shall we eat?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0177.mp3,6
178,178,JP,9781442310964,Japanese 3,8,,,05R,,M,何を食べましょうか。,nani o tabemashoo ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0178.mp3,6
179,179,JP,9781442310964,Japanese 3,8,,,06Q,,N,Pretty soon it will be June.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0179.mp3,"9,17"
180,180,JP,9781442310964,Japanese 3,8,,,06R,,M,もうすぐ六月です。,moo sugu roku gatsu desu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0180.mp3,"9,17"
181,181,JP,9781442310964,Japanese 3,8,,,07Q,,N,I have to make a reservation for a hotel.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0181.mp3,"16,18"
182,182,JP,9781442310964,Japanese 3,8,,,07R,,M,ホテルを予約しなくてはいけません。,hoteru o yoyaku shinakutewa ikemasen.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0182.mp3,"16,18"
183,183,JP,9781442310964,Japanese 3,8,,,08Q,,N,There are many hot springs.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0183.mp3,"9,18"
184,184,JP,9781442310964,Japanese 3,8,,,08R,,F,たくさん温泉があります。,takusan onsen ga arimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0184.mp3,"9,18"
185,185,JP,9781442310964,Japanese 3,8,,,09Q,,N,This is the Hotel Kyuushuu. (polite),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0185.mp3,"13,18"
186,186,JP,9781442310964,Japanese 3,8,,,09R,,F,ホテル九州でございます。,hoteru kyuushuu de gozaimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0186.mp3,"13,18"
187,187,JP,9781442310964,Japanese 3,8,,,10Q,,N,I'd like to reserve a room.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0187.mp3,"16,18"
188,188,JP,9781442310964,Japanese 3,8,,,10R,,M,部屋を予約したいんですが。,heya o yoyaku shitai n desu ga.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0188.mp3,"16,18"
189,189,JP,9781442310964,Japanese 3,8,,,11Q,,N,It's fine with the credit card.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0189.mp3,"9,14,18"
190,190,JP,9781442310964,Japanese 3,8,,,11R,,F,クレジットカードで結構です。,kurejitto caado de kekko desu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0190.mp3,"9,14,18"
191,191,JP,9781442310964,Japanese 3,9,,,01Q,,N,I'll make a telephone call again later.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0191.mp3,"3,9,17"
192,192,JP,9781442310964,Japanese 3,9,,,01R,,,また後で電話をします。,mata atode denwa o shimasu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0192.mp3,"3,9,17"
193,193,JP,9781442310964,Japanese 3,9,,,02Q,,N,"In the bullet train, I ate lunch.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0193.mp3,"6,18"
194,194,JP,9781442310964,Japanese 3,9,,,02R,,M,新幹線の中で昼ご飯を食べました。,shinkansen no naka de hirugohan o tabemashita.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0194.mp3,"6,18"
195,195,JP,9781442310964,Japanese 3,9,,,03Q,,N,Didn't you make a business trip?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0195.mp3,"18,20"
196,196,JP,9781442310964,Japanese 3,9,,,03R,,F,出張しませんでしたか。,shucchoo shimasendeshita ka.,3,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0196.mp3,"18,20"
197,197,JP,9781442310964,Japanese 3,9,,,04Q,,N,Is this Mr. Suzuki's residence?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0197.mp3,"9,13"
198,198,JP,9781442310964,Japanese 3,9,,,04R,,M,鈴木さんのお宅ですか。,suzuki san no otaku desu ka.,6,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0198.mp3,"9,13"
199,199,JP,9781442310964,Japanese 3,9,,,05Q,,N,I did not make a business trip.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0199.mp3,"18,20"
200,200,JP,9781442310964,Japanese 3,9,,,05R,,,出張しませんでした。,shucchoo shimasendeshita.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0200.mp3,"18,20"
201,201,JP,9781442310964,Japanese 3,9,,,06Q,,N,This month I'm going to Fukuoka.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0201.mp3,"1,17,18"
202,202,JP,9781442310964,Japanese 3,9,,,06R,,M,今月福岡へ行きます。,kongetsu fukuoka e ikimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0202.mp3,"1,17,18"
203,203,JP,9781442310964,Japanese 3,9,,,07Q,,N,"Last month also, didn't you make a business trip?",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0203.mp3,"17,18,20"
204,204,JP,9781442310964,Japanese 3,9,,,07R,,F,先月も出張しませんでしたか。,sengetsu mo shucchoo shimasendeshita ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0204.mp3,"17,18,20"
205,205,JP,9781442310964,Japanese 3,9,,,08Q,,N,How was Nagoya?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0205.mp3,"9,18"
206,206,JP,9781442310964,Japanese 3,9,,,08R,,F,名古屋はどうでしたか。,nagoya wa doo deshita ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0206.mp3,"9,18"
207,207,JP,9781442310964,Japanese 3,9,,,09Q,,N,I stayed at a Japanese-style hotel.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0207.mp3,"1,18"
208,208,JP,9781442310964,Japanese 3,9,,,09R,,M,旅館に泊まりました。,ryokan ni tomarimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0208.mp3,"1,18"
209,209,JP,9781442310964,Japanese 3,9,,,10Q,,N,There was a beautiful garden.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0209.mp3,"9,18"
210,210,JP,9781442310964,Japanese 3,9,,,10R,,M,きれいな庭がありました。,kireina niwa ga arimashita.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0210.mp3,"9,18"
211,211,JP,9781442310964,Japanese 3,9,,,11Q,,N,"Pretty soon, it'll be noon, won't it.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0211.mp3,17
212,212,JP,9781442310964,Japanese 3,9,,,11R,,F,もうすぐお昼ですね。,moo sugu ohiru desu ne.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0212.mp3,17
213,213,JP,9781442310964,Japanese 3,9,,,12Q,,N,This is Suzuki. (on the phone),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0213.mp3,3
214,214,JP,9781442310964,Japanese 3,9,,,12R,,F,鈴木でございます。,suzuki de gozaimasu.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0214.mp3,3
215,215,JP,9781442310964,Japanese 3,10,,,01Q,,N,Please get off in front of the American Embassy.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0215.mp3,16
216,216,JP,9781442310964,Japanese 3,10,,,01R,,F,アメリカ大使館の前で降りて下さい。,amerika taishikan no mae de orite kudasai.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0216.mp3,16
217,217,JP,9781442310964,Japanese 3,10,,,02Q,,N,I'm very sorry.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0217.mp3,"7,13,16"
218,218,JP,9781442310964,Japanese 3,10,,,02R,,M,どうもすみません。,domo sumimasen.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0218.mp3,"7,13,16"
219,219,JP,9781442310964,Japanese 3,10,,,03Q,,N,Which bus is better?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0219.mp3,"9,18"
220,220,JP,9781442310964,Japanese 3,10,,,03R,,M,どのバスがいいですか.,dono basu ga ii desu ka.,6,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0220.mp3,"9,18"
221,221,JP,9781442310964,Japanese 3,10,,,04Q,,N,Please get on the Number Fifteen Bus.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0221.mp3,"9,12,18"
222,222,JP,9781442310964,Japanese 3,10,,,04R,,F,１５番のバスに乗って下さい。,ju go ban no basu ni notte kudasai.,8,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0222.mp3,"9,12,18"
223,223,JP,9781442310964,Japanese 3,10,,,05Q,,N,This side is Suzuki. (on the phone),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0223.mp3,"3,7"
224,224,JP,9781442310964,Japanese 3,10,,,05R,,F,こちらは鈴木です。,kochira wa suzuki desu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0224.mp3,"3,7"
225,225,JP,9781442310964,Japanese 3,10,,,06Q,,N,The garden was beautiful.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0225.mp3,"9,18"
226,226,JP,9781442310964,Japanese 3,10,,,06R,,F,庭はきれいでした。,niwa wa kirei deshita.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0226.mp3,"9,18"
227,227,JP,9781442310964,Japanese 3,10,,,07Q,,N,May I speak to Miss Yamada? (on the phone),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0227.mp3,"3,13,16"
228,228,JP,9781442310964,Japanese 3,10,,,07R,,M,山田さん、お願いします。,"yamada san, onegai shimasu.",4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0228.mp3,"3,13,16"
229,229,JP,9781442310964,Japanese 3,10,,,08Q,,N,Is this the American Embassy?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0229.mp3,"9,16"
230,230,JP,9781442310964,Japanese 3,10,,,08R,,M,アメリカ大使館ですか。,amerika taishikan desu ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0230.mp3,"9,16"
231,231,JP,9781442310964,Japanese 3,10,,,09Q,,N,"Unfortunately Gordon is out now, but.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0231.mp3,"17,20"
232,232,JP,9781442310964,Japanese 3,10,,,09R,,F,あいにくゴードンは今、出かけておりますが。,ainiku gordon wa ima dekakete orimasu ga.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0232.mp3,"17,20"
233,233,JP,9781442310964,Japanese 3,10,,,10Q,,N,Probably at eleven thirty or twelve thirty.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0233.mp3,"12,20"
234,234,JP,9781442310964,Japanese 3,10,,,10R,,M,多分１１時半か１２時半に。,tabun ju ichi ji han ka ju ni ji han ni.,11,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0234.mp3,"12,20"
235,235,JP,9781442310964,Japanese 3,11,,,01Q,,N,I'll try a call and see.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0235.mp3,"3,20"
236,236,JP,9781442310964,Japanese 3,11,,,01R,,F,私がかけてみます。,watashi ga kakete mimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0236.mp3,"3,20"
237,237,JP,9781442310964,Japanese 3,11,,,02Q,,N,"One more time, I'll try a call and see.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0237.mp3,"3,12,17"
238,238,JP,9781442310964,Japanese 3,11,,,02R,,F,もう一度かけてみます。,mo ichido kakete mimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0238.mp3,"3,12,17"
239,239,JP,9781442310964,Japanese 3,11,,,03Q,,N,I'm very sorry I'm late.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0239.mp3,"7,13,16,17"
240,240,JP,9781442310964,Japanese 3,11,,,03R,,M,遅くなってどうもすみません。,osokunatte domo sumimasen.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0240.mp3,"7,13,16,17"
241,241,JP,9781442310964,Japanese 3,11,,,04Q,,N,The area code is wrong.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0241.mp3,"9,12"
242,242,JP,9781442310964,Japanese 3,11,,,04R,,F,市外局番が違います。,shigai kyokuban ga chigaimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0242.mp3,"9,12"
243,243,JP,9781442310964,Japanese 3,11,,,05Q,,N,The area code was wrong.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0243.mp3,"9,12"
244,244,JP,9781442310964,Japanese 3,11,,,05R,,F,市外局番が違っていました。,shigai kyokuban ga chigatte imashita.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0244.mp3,"9,12"
245,245,JP,9781442310964,Japanese 3,11,,,06Q,,N,"As for today, it's warm.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0245.mp3,"17,19"
246,246,JP,9781442310964,Japanese 3,11,,,06R,,M,今日は暖かいです。,kyo wa atatakai desu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0246.mp3,"17,19"
247,247,JP,9781442310964,Japanese 3,11,,,07Q,,N,"It's cool today, isn't it.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0247.mp3,"17,19"
248,248,JP,9781442310964,Japanese 3,11,,,07R,,M,今日は涼しいですね。,kyo wa suzushii desu ne.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0248.mp3,"17,19"
249,249,JP,9781442310964,Japanese 3,11,,,08Q,,N,It's wrong.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0249.mp3,9
250,250,JP,9781442310964,Japanese 3,11,,,08R,,M,違います。,chigaimasu.,1,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0250.mp3,9
251,251,JP,9781442310964,Japanese 3,11,,,09Q,,N,I did a very rude thing.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0251.mp3,"7,13,16"
252,252,JP,9781442310964,Japanese 3,11,,,09R,,M,どうも失礼しました。,domo shitsurei shimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0252.mp3,"7,13,16"
253,253,JP,9781442310964,Japanese 3,11,,,10Q,,N,It was wrong.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0253.mp3,9
254,254,JP,9781442310964,Japanese 3,11,,,10R,,F,違っていました。,chigatte imashita.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0254.mp3,9
255,255,JP,9781442310964,Japanese 3,12,,,01Q,,N,The telephone number is wrong.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0255.mp3,"3,9"
256,256,JP,9781442310964,Japanese 3,12,,,01R,,F,電話番号が違います。,denwa bangoo ga chigaimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0256.mp3,"3,9"
257,257,JP,9781442310964,Japanese 3,12,,,02Q,,N,There was a telephone call.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0257.mp3,"3,20"
258,258,JP,9781442310964,Japanese 3,12,,,02R,,F,電話がありました。,denwa ga arimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0258.mp3,"3,20"
259,259,JP,9781442310964,Japanese 3,12,,,03Q,,N,How long ago was it?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0259.mp3,"9,17"
260,260,JP,9781442310964,Japanese 3,12,,,03R,,M,どのぐらい前でしたか。,donogurai mae deshita ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0260.mp3,"9,17"
261,261,JP,9781442310964,Japanese 3,12,,,04Q,,N,It was about fifteen minutes ago.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0261.mp3,"12,17"
262,262,JP,9781442310964,Japanese 3,12,,,04R,,F,１５分ぐらい前でした。,ju go hun gurai mae deshita.,6,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0262.mp3,"12,17"
263,263,JP,9781442310964,Japanese 3,12,,,05Q,,N,There was a message.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0263.mp3,"3,9"
264,264,JP,9781442310964,Japanese 3,12,,,05R,,F,メッセージがありました。,messeiji ga arimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0264.mp3,"3,9"
265,265,JP,9781442310964,Japanese 3,12,,,06Q,,N,Was there any message?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0265.mp3,"3,9"
266,266,JP,9781442310964,Japanese 3,12,,,06R,,M,何かメッセージがありましたか。,nanika messeiji ga arimashita ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0266.mp3,"3,9"
