Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet name,Skills
1,1,MA,9781442395718,Mandarin 5,1,,,01Q,,N,Macau’s egg tarts are very famous.,,,,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_001.mp3,"7,9"
2,1,MA,9781442395718,Mandarin 5,1,,,01R,,M,澳门的蛋塔很有名。,ào men de dàn tà hěn yǒu míng.,8,S,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_002.mp3,"7,9"
3,1,MA,9781442395718,Mandarin 5,1,,,02Q,,N,Is your daughter in Germany interning?,,,,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_003.mp3,5
4,1,MA,9781442395718,Mandarin 5,1,,,02R,,F,你女儿在德国实习吗?,nǐ nǚ ér zài dé guó shí xí ma?,9,Q,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_004.mp3,5
5,1,MA,9781442395718,Mandarin 5,1,,,03Q,,N,How do you get in touch with him?,,,,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_005.mp3,7
6,1,MA,9781442395718,Mandarin 5,1,,,03R,,M,你怎么跟他联系？,nǐ zěn me gēn tā lián xì?,7,Q,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_006.mp3,7
7,1,MA,9781442395718,Mandarin 5,1,,,04Q,,N,He often sends me text messages.,,,,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_007.mp3,7
8,1,MA,9781442395718,Mandarin 5,1,,,04R,,F,他常常给我发短信。,tā cháng cháng gěi wǒ fā duǎn xìn.,8,S,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_008.mp3,7
9,1,MA,9781442395718,Mandarin 5,1,,,05Q,,N,He likes London’s nightlife.,,,,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_009.mp3,"1,9,18"
10,1,MA,9781442395718,Mandarin 5,1,,,05R,,F,他喜欢伦敦的夜生活。,tā xǐ huan lún dūn de yè sheng huó.,9,S,Chinese (Mandarin) Level 5 MP3,9781508230823_Mandarin_Chinese_5_QZ_010.mp3,"1,9,18"
