Control#,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,Start,Stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,RU,9781442312463,Russian 1,1,,,01Q,,N,Excuse me.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_1.mp3,"10,13,15,16"
2,2,RU,9781442312463,Russian 1,1,,,01R,,M,Извините.,Izvinite.,1,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_2.mp3,"10,13,15,16"
3,3,RU,9781442312463,Russian 1,1,,,02Q,,N,I’m American. (m.),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_3.mp3,"10,16"
4,4,RU,9781442312463,Russian 1,1,,,02R,,M,я американец.,Ya amerikanets.,2,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_4.mp3,"10,16"
5,5,RU,9781442312463,Russian 1,1,,,03Q,,N,I don’t understand.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_5.mp3,"15,16"
6,6,RU,9781442312463,Russian 1,1,,,03R,,F,я не понимаю.,Ya ne ponimayu.,3,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_6.mp3,"15,16"
7,7,RU,9781442312463,Russian 1,1,,,04Q,,N,I understand a little Russian.,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_7.mp3,"10,15"
8,8,RU,9781442312463,Russian 1,1,,,04R,,M,Я немного понимаю по-русски.,Ya nemnogo ponimayu po-russki.,4,S,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_8.mp3,"10,15"
9,9,RU,9781442312463,Russian 1,1,,,05Q,,N,Are you American? (m),,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_9.mp3,"7,10,16"
10,10,RU,9781442312463,Russian 1,1,,,05R,,F,Вы американец?,Vy amerikanets?,2,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_10.mp3,"7,10,16"
11,11,RU,9781442312463,Russian 1,1,,,06Q,,N,Do you understand Russian?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_11.mp3,"10,15"
12,12,RU,9781442312463,Russian 1,1,,,06R,,F,Вы понимаете по-русски?,Vy ponimayete po-russki?,3,Q,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_12.mp3,"10,15"
13,13,RU,9781442312463,Russian 1,1,,,07Q,,N,Do you understand English?,,,,"Russian Phase 1, Units 1-30",9781442382848_Russian_1_QZ_13.mp3,"10,15,16"
