Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,MA,9781442316409,Mandarin 2,1,,,01Q,,N,That’s a very good restaurant.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_001.mp3,6
2,2,MA,9781442316409,Mandarin 2,1,,,01R,,F,那是一家很好的饭店。,nà shì yì jiā hěn hǎo de fàn diàn.,9,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_002.mp3,6
3,3,MA,9781442316409,Mandarin 2,1,,,02Q,,N,(I) haven’t seen it yet.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_003.mp3,9
4,4,MA,9781442316409,Mandarin 2,1,,,02R,,M,还没有看。,(wǒ) hái méi yǒu kàn.,5,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_004.mp3,9
5,5,MA,9781442316409,Mandarin 2,1,,,03Q,,N,Did you see anything?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_005.mp3,7
6,6,MA,9781442316409,Mandarin 2,1,,,03R,,F,你看什么东西了吗？,nǐ kàn shén me dōng xi le ma?,8,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_006.mp3,7
7,7,MA,9781442316409,Mandarin 2,1,,,04Q,,N,Did you go to Beijing?,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_007.mp3,18
8,8,MA,9781442316409,Mandarin 2,1,,,04R,,F,你去北京了吗？,nǐ qù běi jīng le ma?,6,Q,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_008.mp3,18
9,9,MA,9781442316409,Mandarin 2,1,,,05Q,,N,I haven’t yet seen anything.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_009.mp3,7
10,10,MA,9781442316409,Mandarin 2,1,,,05R,,M,我还没有看什么东西。,wǒ hái méi yǒu kàn shén me dōng xi.,9,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_010.mp3,7
11,11,MA,9781442316409,Mandarin 2,1,,,06Q,,N,I like Beijing very much.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_011.mp3,18
12,12,MA,9781442316409,Mandarin 2,1,,,06R,,M,我很喜欢北京。,wǒ hěn xǐ huan běi jīng.,6,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_012.mp3,18
13,13,MA,9781442316409,Mandarin 2,1,,,07Q,,N,I bought a few things.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_013.mp3,14
14,14,MA,9781442316409,Mandarin 2,1,,,07R,,M,我买了一点儿东西 。,wǒ mǎi le yì diǎnr dōng xi.,7,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_014.mp3,14
15,15,MA,9781442316409,Mandarin 2,1,,,08Q,,N,Then I ate lunch.,,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_015.mp3,6
16,16,MA,9781442316409,Mandarin 2,1,,,08R,,M,然后我吃午饭了。,rán hòu wǒ chī wǔ fàn le.,7,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_016.mp3,6
17,17,MA,9781442316409,Mandarin 2,1,,,09Q,,N,"This is said, “ci.”",,,,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_017.mp3,"7,9"
18,18,MA,9781442316409,Mandarin 2,1,,,09R,,F,"这么说, “词。”","zhè me shuō, “cí.”",4,S,Pimsleur Chinese (Mandarin) Level 2 MP3,9781442394889_Mandarin_Chinese_2_QZ_018.mp3,"7,9"
