Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Skills
1,SP,978-1-4423-4634-5,Spanish 1,1,0:02:46,0:02:48,01Q,37,N,"Excuse me, miss.",,,"Spanish Phase 1, Units 1-30 (2003)","10,13,16"
2,SP,978-1-4423-4634-5,Spanish 1,1,0:02:51,0:02:53,01R,38,M,"Perdón, señorita.",2,S,"Spanish Phase 1, Units 1-30 (2003)","10,13,16"
3,SP,978-1-4423-4634-5,Spanish 1,1,0:04:40,0:04:42,02Q,56,N,Do you understand English?,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
4,SP,978-1-4423-4634-5,Spanish 1,1,0:04:45,0:04:47,02R,57,M,¿Entiende inglés?,2,Q,"Spanish Phase 1, Units 1-30 (2003)","10,15"
5,SP,978-1-4423-4634-5,Spanish 1,1,0:06:34,0:06:35,03Q,74,N,"No, sir.",,,"Spanish Phase 1, Units 1-30 (2003)","7,16"
6,SP,978-1-4423-4634-5,Spanish 1,1,0:06:38,0:06:40,03R,75,F,"No, señor.",2,S,"Spanish Phase 1, Units 1-30 (2003)","7,16"
7,SP,978-1-4423-4634-5,Spanish 1,1,0:08:18,0:08:19,04Q,93,N,I understand.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
8,SP,978-1-4423-4634-5,Spanish 1,1,0:08:21,0:08:23,04R,94,F,Entiendo.,1,S,"Spanish Phase 1, Units 1-30 (2003)","10,15"
9,SP,978-1-4423-4634-5,Spanish 1,1,0:09:24,0:09:25,05Q,104,N,You understand.,,,"Spanish Phase 1, Units 1-30 (2003)",15
10,SP,978-1-4423-4634-5,Spanish 1,1,0:09:27,0:09:29,05R,105,M,Entiende.,1,S,"Spanish Phase 1, Units 1-30 (2003)",15
11,SP,978-1-4423-4634-5,Spanish 1,1,0:11:48,0:11:50,06Q,132,N,Do you understand Spanish?,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
12,SP,978-1-4423-4634-5,Spanish 1,1,0:11:53,0:11:55,06R,133,F,¿Entiende español?,2,Q,"Spanish Phase 1, Units 1-30 (2003)","10,15"
13,SP,978-1-4423-4634-5,Spanish 1,1,0:13:31,0:13:34,07Q,150,N,I don’t speak Spanish.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15,16"
14,SP,978-1-4423-4634-5,Spanish 1,1,0:13:37,0:13:40,07R,151,M,No hablo español.,3,S,"Spanish Phase 1, Units 1-30 (2003)","10,15,16"
15,SP,978-1-4423-4634-5,Spanish 1,1,0:17:59,0:18:01,08Q,198,N,I understand a little.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
16,SP,978-1-4423-4634-5,Spanish 1,1,0:18:04,0:18:06,08R,199,M,Entiendo un poco.,3,S,"Spanish Phase 1, Units 1-30 (2003)","10,15"
17,SP,978-1-4423-4634-5,Spanish 1,1,0:20:19,0:20:22,09Q,225,N,"No, I don't speak English.",,,"Spanish Phase 1, Units 1-30 (2003)","10,15,16"
18,SP,978-1-4423-4634-5,Spanish 1,1,0:20:25,0:20:28,09R,226,F,"No, no hablo inglés.",4,S,"Spanish Phase 1, Units 1-30 (2003)","10,15,16"
19,SP,978-1-4423-4634-5,Spanish 1,1,0:25:20,0:25:22,10Q,277,N,Do you speak Spanish?,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
20,SP,978-1-4423-4634-5,Spanish 1,1,0:25:24,0:25:26,10R,278,F,¿Habla español?,2,Q,"Spanish Phase 1, Units 1-30 (2003)","10,15"
21,SP,978-1-4423-4634-5,Spanish 1,2,0:03:55,0:03:58,01Q,64,N,I understand a little Spanish.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
22,SP,978-1-4423-4634-5,Spanish 1,2,0:03:59,0:04:03,01R,65,M,Entiendo un poco de español.,5,S,"Spanish Phase 1, Units 1-30 (2003)","10,15"
23,SP,978-1-4423-4634-5,Spanish 1,2,0:04:56,0:04:58,02Q,71,N,I speak a little Spanish.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15,16"
24,SP,978-1-4423-4634-5,Spanish 1,2,0:05:01,0:05:06,02R,72,M,Hablo un poco de español.,5,S,"Spanish Phase 1, Units 1-30 (2003)","10,15,16"
25,SP,978-1-4423-4634-5,Spanish 1,2,0:05:16,0:05:18,03Q,74,N,I don’t understand English.,,,"Spanish Phase 1, Units 1-30 (2003)",15
26,SP,978-1-4423-4634-5,Spanish 1,2,0:05:20,0:05:25,03R,75,F,No entiendo inglés.,3,S,"Spanish Phase 1, Units 1-30 (2003)",15
27,SP,978-1-4423-4634-5,Spanish 1,2,0:07:07,0:07:10,04Q,89,N,Ask the man if he’s American.,,,"Spanish Phase 1, Units 1-30 (2003)",7
28,SP,978-1-4423-4634-5,Spanish 1,2,0:07:13,0:07:17,04R,90,F,¿Es usted norteamericano?,3,Q,"Spanish Phase 1, Units 1-30 (2003)",7
29,SP,978-1-4423-4634-5,Spanish 1,2,0:09:16,0:09:19,05Q,110,N,Ask the woman if she’s American.,,,"Spanish Phase 1, Units 1-30 (2003)",7
30,SP,978-1-4423-4634-5,Spanish 1,2,0:09:22,0:09:26,05R,111,M,¿Es usted norteamericana?,3,Q,"Spanish Phase 1, Units 1-30 (2003)",7
31,SP,978-1-4423-4634-5,Spanish 1,2,0:11:53,0:11:54,06Q,136,N,Good morning.,,,"Spanish Phase 1, Units 1-30 (2003)","10,13"
32,SP,978-1-4423-4634-5,Spanish 1,2,0:11:58,0:12:01,06R,138,M,Buenos días.,2,S,"Spanish Phase 1, Units 1-30 (2003)","10,13"
33,SP,978-1-4423-4634-5,Spanish 1,2,0:14:04,0:14:08,07Q,155,N,Ask the “señora” how she is.,,,"Spanish Phase 1, Units 1-30 (2003)",7
34,SP,978-1-4423-4634-5,Spanish 1,2,0:14:11,0:14:15,07R,156,M,"¿Cómo está usted, señora?",4,Q,"Spanish Phase 1, Units 1-30 (2003)",7
35,SP,978-1-4423-4634-5,Spanish 1,2,0:14:36,0:14:38,08Q,160,N,How are you?,,,"Spanish Phase 1, Units 1-30 (2003)","10,13"
36,SP,978-1-4423-4634-5,Spanish 1,2,0:14:40,0:14:44,08R,161,M,¿Cómo está usted?,3,Q,"Spanish Phase 1, Units 1-30 (2003)","10,13"
37,SP,978-1-4423-4634-5,Spanish 1,2,0:15:47,0:15:48,09Q,173,N,Thank you.,,,"Spanish Phase 1, Units 1-30 (2003)","13,16"
38,SP,978-1-4423-4634-5,Spanish 1,2,0:15:49,0:15:52,09R,174,F,Gracias.,1,S,"Spanish Phase 1, Units 1-30 (2003)","13,16"
39,SP,978-1-4423-4634-5,Spanish 1,2,0:17:37,0:17:39,10Q,196,N,"Very well, thanks.",,,"Spanish Phase 1, Units 1-30 (2003)","13,16"
40,SP,978-1-4423-4634-5,Spanish 1,2,0:17:42,0:17:45,10R,197,F,"Muy bien, gracias.",3,S,"Spanish Phase 1, Units 1-30 (2003)","13,16"
41,SP,978-1-4423-4634-5,Spanish 1,2,0:18:43,0:18:45,11Q,208,N,I understand very well.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
42,SP,978-1-4423-4634-5,Spanish 1,2,0:18:47,0:18:51,11R,209,F,Entiendo muy bien.,3,S,"Spanish Phase 1, Units 1-30 (2003)","10,15"
43,SP,978-1-4423-4634-5,Spanish 1,3,0:01:23,0:01:24,01Q,25,N,Not very well.,,,"Spanish Phase 1, Units 1-30 (2003)",7
44,SP,978-1-4423-4634-5,Spanish 1,3,0:01:26,0:01:29,01R,26,M,No muy bien.,3,S,"Spanish Phase 1, Units 1-30 (2003)",7
45,SP,978-1-4423-4634-5,Spanish 1,3,0:03:43,0:03:45,02Q,52,N,I speak a little English.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15"
46,SP,978-1-4423-4634-5,Spanish 1,3,0:03:48,0:03:51,02R,53,F,Hablo un poco de inglés.,5,S,"Spanish Phase 1, Units 1-30 (2003)","10,15"
47,SP,978-1-4423-4634-5,Spanish 1,3,0:04:01,0:04:02,03Q,55,N,You speak very well.,,,"Spanish Phase 1, Units 1-30 (2003)",15
48,SP,978-1-4423-4634-5,Spanish 1,3,0:04:04,0:04:07,03R,56,M,Habla muy bien.,3,S,"Spanish Phase 1, Units 1-30 (2003)",15
49,SP,978-1-4423-4634-5,Spanish 1,3,0:09:00,0:09:01,04Q,106,N,Where are you from?,,,"Spanish Phase 1, Units 1-30 (2003)","7,16"
50,SP,978-1-4423-4634-5,Spanish 1,3,0:09:07,0:09:10,04R,108,F,¿De dónde es usted?,4,Q,"Spanish Phase 1, Units 1-30 (2003)","7,16"
