Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,ESL_SP,9781442329423,,1,01Q,N,¿Puede venir a cenar?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_001.mp3,"6,7"
2,2,ESL_SP,9781442329423,,1,01R,F,Can you come for dinner?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_002.mp3,"6,7"
3,3,ESL_SP,9781442329423,,1,02Q,N,Venga a almorzar.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_003.mp3,"6,7"
4,4,ESL_SP,9781442329423,,1,02R,F,Come for lunch.,3,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_004.mp3,"6,7"
5,5,ESL_SP,9781442329423,,1,03Q,N,¿Vino en autobús?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_005.mp3,18
6,6,ESL_SP,9781442329423,,1,03R,F,Did you come by bus?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_006.mp3,18
7,7,ESL_SP,9781442329423,,1,04Q,N,Vine en autobús.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_007.mp3,18
8,8,ESL_SP,9781442329423,,1,04R,M,I came by bus.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_008.mp3,18
9,9,ESL_SP,9781442329423,,1,05Q,N,Siento estar retrasado.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_009.mp3,"13,16,17"
10,10,ESL_SP,9781442329423,,1,05R,M,I'm sorry I'm late.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_010.mp3,"13,16,17"
11,11,ESL_SP,9781442329423,,1,06Q,N,El autobús estaba retrasado.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_011.mp3,"17,18"
12,12,ESL_SP,9781442329423,,1,06R,M,The bus was late.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_012.mp3,"17,18"
13,13,ESL_SP,9781442329423,,1,07Q,N,¿Puedo venir en autobús?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_013.mp3,18
14,14,ESL_SP,9781442329423,,1,07R,M,Can I come by bus?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_014.mp3,18
15,15,ESL_SP,9781442329423,,1,08Q,N,Todavía tenemos tiempo para almorzar.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_015.mp3,"6,17"
16,16,ESL_SP,9781442329423,,1,08R,F,We still have time for lunch.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_016.mp3,"6,17"
17,17,ESL_SP,9781442329423,,1,09Q,N,Otro amigo nuestro viene también.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_017.mp3,"1,5"
18,18,ESL_SP,9781442329423,,1,09R,F,"Another friend of ours is coming, too.",7,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_018.mp3,"1,5"
19,19,ESL_SP,9781442329423,,1,10Q,N,Vivimos en el Uno Veinte de la Avenida Parque.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_019.mp3,"4,12,18"
20,20,ESL_SP,9781442329423,,1,10R,F,We live at One Twenty Park Avenue.,7,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_020.mp3,"4,12,18"
21,21,ESL_SP,9781442329423,,1,11Q,N,Está bien.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_021.mp3,"7,16"
22,22,ESL_SP,9781442329423,,1,11R,F,That's okay.,2,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_022.mp3,"7,16"
23,23,ESL_SP,9781442329423,,2,01Q,N,¿Nieva alguna vez en Washington?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_023.mp3,19
24,24,ESL_SP,9781442329423,,2,01R,F,Does it ever snow in Washington?,6,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_024.mp3,19
25,25,ESL_SP,9781442329423,,2,02Q,N,Está estudiando inglés.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_025.mp3,"15,20"
26,26,ESL_SP,9781442329423,,2,02R,F,He's studying English.,3,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_026.mp3,"15,20"
27,27,ESL_SP,9781442329423,,2,03Q,N,¿Es muy caluroso Washington en verano?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_027.mp3,"18,19"
28,28,ESL_SP,9781442329423,,2,03R,F,Is Washington very hot in the summer?,7,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_028.mp3,"18,19"
29,29,ESL_SP,9781442329423,,2,04Q,N,Nunca nieva mucho.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_029.mp3,"9,19"
30,30,ESL_SP,9781442329423,,2,04R,M,It never snows very much.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_030.mp3,"9,19"
31,31,ESL_SP,9781442329423,,2,05Q,N,Llovió mucho.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_031.mp3,"12,19"
32,32,ESL_SP,9781442329423,,2,05R,M,It rained a lot.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_032.mp3,"12,19"
33,33,ESL_SP,9781442329423,,2,06Q,N,Salud.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_033.mp3,"7,10"
34,34,ESL_SP,9781442329423,,2,06R,F,Cheers.,1,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_034.mp3,"7,10"
35,35,ESL_SP,9781442329423,,2,07Q,N,Nevó un poco el año pasado.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_035.mp3,"12,17,19"
36,36,ESL_SP,9781442329423,,2,07R,M,It snowed a little last year.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_036.mp3,"12,17,19"
37,37,ESL_SP,9781442329423,,2,08Q,N,He aquí una foto de mi hijo.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_037.mp3,"5,10"
38,38,ESL_SP,9781442329423,,2,08R,F,Here's a picture of my son.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_038.mp3,"5,10"
39,39,ESL_SP,9781442329423,,2,09Q,N,He aquí unas fotos.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_039.mp3,"9,10"
40,40,ESL_SP,9781442329423,,2,09R,F,Here are some pictures.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_040.mp3,"9,10"
41,41,ESL_SP,9781442329423,,2,10Q,N,¿Qué está estudiando él?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_041.mp3,"9,20"
42,42,ESL_SP,9781442329423,,2,10R,M,What is he studying?,4,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_042.mp3,"9,20"
43,43,ESL_SP,9781442329423,,3,01Q,N,¿Cómo estuvo el tiempo?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_043.mp3,"7,19"
44,44,ESL_SP,9781442329423,,3,01R,M,How was the weather?,4,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_044.mp3,"7,19"
45,45,ESL_SP,9781442329423,,3,02Q,N,Me crié en Puebla.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_045.mp3,"9,10"
46,46,ESL_SP,9781442329423,,3,02R,F,I grew up in Puebla.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_046.mp3,"9,10"
47,47,ESL_SP,9781442329423,,3,03Q,N,Me gustaría mostrárselas a usted.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_047.mp3,"7,9"
48,48,ESL_SP,9781442329423,,3,03R,F,I’d like to show them to you.,7,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_048.mp3,"7,9"
49,49,ESL_SP,9781442329423,,3,04Q,N,Mi esposo es maestro.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_049.mp3,"5,20"
50,50,ESL_SP,9781442329423,,3,04R,F,My husband is a teacher.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_050.mp3,"5,20"
51,51,ESL_SP,9781442329423,,3,05Q,N,Muéstremelas.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_051.mp3,"7,9"
52,52,ESL_SP,9781442329423,,3,05R,M,Show them to me.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_052.mp3,"7,9"
53,53,ESL_SP,9781442329423,,3,06Q,N,¿Dónde se crió?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_053.mp3,"10,13"
54,54,ESL_SP,9781442329423,,3,06R,F,Where did you grow up?,5,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_054.mp3,"10,13"
55,55,ESL_SP,9781442329423,,3,07Q,N,Casi nunca nieva.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_055.mp3,"17,19"
56,56,ESL_SP,9781442329423,,3,07R,M,It almost never snows.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_056.mp3,"17,19"
57,57,ESL_SP,9781442329423,,3,08Q,N,Puedo mostrárselas si quiere.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_057.mp3,"9,13"
58,58,ESL_SP,9781442329423,,3,08R,F,I can show them to you if you'd like.,9,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_058.mp3,"9,13"
59,59,ESL_SP,9781442329423,,3,09Q,N,¿En dónde quiere almorzar?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_059.mp3,"4,6"
60,60,ESL_SP,9781442329423,,3,09R,M,Where do you want to have lunch?,7,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_060.mp3,"4,6"
61,61,ESL_SP,9781442329423,,3,10Q,N,Puedo mostrársela en el mapa.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_061.mp3,"4,18"
62,62,ESL_SP,9781442329423,,3,10R,M,I can show it to you on the map.,9,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_062.mp3,"4,18"
63,63,ESL_SP,9781442329423,,3,11Q,N,Ambos vinimos aquí en enero.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_063.mp3,"9,17"
64,64,ESL_SP,9781442329423,,3,11R,F,We both came here in January.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_064.mp3,"9,17"
65,65,ESL_SP,9781442329423,,4,01Q,N,Es administrador de una tienda de departmentos.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_065.mp3,"14,20"
66,66,ESL_SP,9781442329423,,4,01R,F,He's a department store manager.,5,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_066.mp3,"14,20"
67,67,ESL_SP,9781442329423,,4,02Q,N,Soy gerente de un banco.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_067.mp3,"10,11,20"
68,68,ESL_SP,9781442329423,,4,02R,M,I'm a bank manager.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_068.mp3,"10,11,20"
69,69,ESL_SP,9781442329423,,4,03Q,N,Está casada desde hace seis meses.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_069.mp3,"12,17"
70,70,ESL_SP,9781442329423,,4,03R,F,She's been married for six months.,6,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_070.mp3,"12,17"
71,71,ESL_SP,9781442329423,,4,04Q,N,¿Cómo es el tiempo allí en invierno?,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_071.mp3,"17,19"
72,72,ESL_SP,9781442329423,,4,04R,F,How is the weather there in the winter?,8,Q,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_072.mp3,"17,19"
73,73,ESL_SP,9781442329423,,4,05Q,N,No nieva.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_073.mp3,19
74,74,ESL_SP,9781442329423,,4,05R,M,It doesn't snow.,3,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_074.mp3,19
75,75,ESL_SP,9781442329423,,4,06Q,N,Llueve mucho.,,,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_075.mp3,"12,19"
76,76,ESL_SP,9781442329423,,4,06R,F,It rains a lot.,4,S,Pimsleur English for Spanish Speakers Level 3 ,9781508235941_ESL_Spanish_3_QZ_076.mp3,"12,19"
