Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,TA,Tagalog 2,1,,01Q,N,Are you going to leave already?,,9781508298991_Tagalog_Level_2_QM_001.mp3,9781508224976,9781508298991,7
2,TA,Tagalog 2,1,,01R,M,Aalis ka na ba?,,9781508298991_Tagalog_Level_2_QM_002.mp3,9781508224976,9781508298991,7
3,TA,Tagalog 2,1,,02Q,N,What did you do last night?,,9781508298991_Tagalog_Level_2_QM_003.mp3,9781508224976,9781508298991,1
4,TA,Tagalog 2,1,,02R,M,Anong ginawa mo kagabi?,,9781508298991_Tagalog_Level_2_QM_004.mp3,9781508224976,9781508298991,1
5,TA,Tagalog 2,1,,03Q,N,I don�t want to eat at the hotel.,,9781508298991_Tagalog_Level_2_QM_005.mp3,9781508224976,9781508298991,"6,18"
6,TA,Tagalog 2,1,,03R,M,Ayokong kumain sa hotel.,,9781508298991_Tagalog_Level_2_QM_006.mp3,9781508224976,9781508298991,"6,18"
7,TA,Tagalog 2,1,,04Q,N,When are you going to leave?,,9781508298991_Tagalog_Level_2_QM_007.mp3,9781508224976,9781508298991,"7,17,18"
8,TA,Tagalog 2,1,,04R,M,Kailan ka aalis?,,9781508298991_Tagalog_Level_2_QM_008.mp3,9781508224976,9781508298991,"7,17,18"
9,TA,Tagalog 2,1,,05Q,N,Did you buy a lot of drinks?,,9781508298991_Tagalog_Level_2_QM_009.mp3,9781508224976,9781508298991,"6,14"
10,TA,Tagalog 2,1,,05R,M,Marami ka bang biniling mga inumin?,,9781508298991_Tagalog_Level_2_QM_010.mp3,9781508224976,9781508298991,"6,14"
11,TA,Tagalog 2,1,,06Q,N,I have a car.,,9781508298991_Tagalog_Level_2_QM_011.mp3,9781508224976,9781508298991,18
12,TA,Tagalog 2,1,,06R,F,Meron akong kotse.,,9781508298991_Tagalog_Level_2_QM_012.mp3,9781508224976,9781508298991,18
13,TA,Tagalog 2,1,,07Q,N,I did nothing last night.,,9781508298991_Tagalog_Level_2_QM_013.mp3,9781508224976,9781508298991,1
14,TA,Tagalog 2,1,,07R,F,Wala akong ginawa kagabi.,,9781508298991_Tagalog_Level_2_QM_014.mp3,9781508224976,9781508298991,1
15,TA,Tagalog 2,1,,08Q,N,How about you?,,9781508298991_Tagalog_Level_2_QM_015.mp3,9781508224976,9781508298991,"13,16"
16,TA,Tagalog 2,1,,08R,F,E ikaw?,,9781508298991_Tagalog_Level_2_QM_016.mp3,9781508224976,9781508298991,"13,16"
