Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN
1,MSA,MSA 1,1 ,,01Q,N,I know Arabic.,,9781797112237_Arabic_Modern_Standard_1_QZ_001.mp3,9781442360341,9781797112237
2,MSA,MSA 1,1 ,,01R,F,أنا أعرفُ عَرَبي.,ana a`rifu arabi.,9781797112237_Arabic_Modern_Standard_1_QZ_002.mp3,9781442360341,9781797112237
3,MSA,MSA 1,1 ,,02Q,N,I know a little.,,9781797112237_Arabic_Modern_Standard_1_QZ_003.mp3,9781442360341,9781797112237
4,MSA,MSA 1,1 ,,02R,F,أنا أعرفُ قليلاً.,ana a`rifu qaliilan.,9781797112237_Arabic_Modern_Standard_1_QZ_004.mp3,9781442360341,9781797112237
5,MSA,MSA 1,1 ,,03Q,N,I don’t know.,,9781797112237_Arabic_Modern_Standard_1_QZ_005.mp3,9781442360341,9781797112237
6,MSA,MSA 1,1 ,,03R,F,أنا لا أعرِف.,ana laa a`rif.,9781797112237_Arabic_Modern_Standard_1_QZ_006.mp3,9781442360341,9781797112237
7,MSA,MSA 1,1 ,,04Q,N,"Are you American, sir?",,9781797112237_Arabic_Modern_Standard_1_QZ_007.mp3,9781442360341,9781797112237
8,MSA,MSA 1,1 ,,04R,F,أنتَ أمريكي، يا سَيِّد؟,"anta amriiki, yaa sayyid?",9781797112237_Arabic_Modern_Standard_1_QZ_008.mp3,9781442360341,9781797112237
9,MSA,MSA 1,1 ,,05Q,N,You’re American. (m),,9781797112237_Arabic_Modern_Standard_1_QZ_009.mp3,9781442360341,9781797112237
10,MSA,MSA 1,1 ,,05R,F,أنتَ أمريكي.,anta amriiki.,9781797112237_Arabic_Modern_Standard_1_QZ_010.mp3,9781442360341,9781797112237
11,MSA,MSA 1,1 ,,06Q,N,Do you know? (m),,9781797112237_Arabic_Modern_Standard_1_QZ_011.mp3,9781442360341,9781797112237
12,MSA,MSA 1,1 ,,06R,M,أنتَ تَعْرِف؟,anta ta`rif?,9781797112237_Arabic_Modern_Standard_1_QZ_012.mp3,9781442360341,9781797112237
13,MSA,MSA 1,1 ,,07Q,N,Do you understand Arabic? (m),,9781797112237_Arabic_Modern_Standard_1_QZ_013.mp3,9781442360341,9781797112237
14,MSA,MSA 1,1 ,,07R,M,أنتَ تَعِرفُ عَرَبي؟,anta ta`rifu `arabi?,9781797112237_Arabic_Modern_Standard_1_QZ_014.mp3,9781442360341,9781797112237
15,MSA,MSA 1,1 ,,08Q,N,Do you know Arabic? (f),,9781797112237_Arabic_Modern_Standard_1_QZ_015.mp3,9781442360341,9781797112237
