Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Skills
1,SP,978-1-4423-5040-3,Spanish 4,1,0:03:30,0:03:32,01Q,43,N,I’m a software programmer (m).,,,"Spanish Phase 4, Units 1-30 (2010)",20
2,SP,978-1-4423-5040-3,Spanish 4,1,0:03:34,0:03:37,01R,44,M,Soy programador de software.,4,S,"Spanish Phase 4, Units 1-30 (2010)",20
3,SP,978-1-4423-5040-3,Spanish 4,1,0:05:07,0:05:10,02Q,57,N,Say that you write business software.,,,"Spanish Phase 4, Units 1-30 (2010)","18,20"
4,SP,978-1-4423-5040-3,Spanish 4,1,0:05:14,0:05:18,02R,58,M,Escribo software de negocios.,4,S,"Spanish Phase 4, Units 1-30 (2010)","18,20"
5,SP,978-1-4423-5040-3,Spanish 4,1,0:07:48,0:07:51,03Q,79,N,I’m going to Mexico City to a conference.,,,"Spanish Phase 4, Units 1-30 (2010)",20
6,SP,978-1-4423-5040-3,Spanish 4,1,0:07:57,0:08:01,03R,80,M,Voy a la Ciudad de México a un congreso.,7,S,"Spanish Phase 4, Units 1-30 (2010)",20
7,SP,978-1-4423-5040-3,Spanish 4,1,0:09:28,0:09:31,04Q,91,N,There I’m going to meet with a client (m).,,,"Spanish Phase 4, Units 1-30 (2010)",20
8,SP,978-1-4423-5040-3,Spanish 4,1,0:09:37,0:09:41,04R,93,M,Allí voy a reunirme con un cliente.,6,S,"Spanish Phase 4, Units 1-30 (2010)",20
9,SP,978-1-4423-5040-3,Spanish 4,1,0:11:13,0:11:15,05Q,104,N,I work in a clinic.,,,"Spanish Phase 4, Units 1-30 (2010)",20
10,SP,978-1-4423-5040-3,Spanish 4,1,0:11:19,0:11:22,05R,105,F,Trabajo en una clínica.,4,S,"Spanish Phase 4, Units 1-30 (2010)",20
11,SP,978-1-4423-5040-3,Spanish 4,1,0:15:02,0:15:05,06Q,135,N,It’s located in town.,,,"Spanish Phase 4, Units 1-30 (2010)",4
12,SP,978-1-4423-5040-3,Spanish 4,1,0:15:09,0:15:12,06R,136,F,Queda en el centro.,4,S,"Spanish Phase 4, Units 1-30 (2010)",4
13,SP,978-1-4423-5040-3,Spanish 4,1,0:16:21,0:16:24,07Q,147,N,How do you ask someone politely to come in?,,,"Spanish Phase 4, Units 1-30 (2010)",7
14,SP,978-1-4423-5040-3,Spanish 4,1,0:16:27,0:16:29,07R,148,F,"Pase, por favor.",3,S,"Spanish Phase 4, Units 1-30 (2010)",7
15,SP,978-1-4423-5040-3,Spanish 4,1,0:16:35,0:16:38,08Q,150,N,Excuse me for arriving late.,,,"Spanish Phase 4, Units 1-30 (2010)","13,16,17,18"
16,SP,978-1-4423-5040-3,Spanish 4,1,0:16:40,0:16:42,08R,152,M,Perdón por llegar tarde.,4,S,"Spanish Phase 4, Units 1-30 (2010)","13,16,17,18"
17,SP,978-1-4423-5040-3,Spanish 4,1,0:20:28,0:20:31,09Q,185,N,Tomorrow I’m going to meet with an acquaintance (f).,,,"Spanish Phase 4, Units 1-30 (2010)",17
18,SP,978-1-4423-5040-3,Spanish 4,1,0:20:38,0:20:42,09R,187,M,Mañana voy a reunirme con una conocida.,6,S,"Spanish Phase 4, Units 1-30 (2010)",17
19,SP,978-1-4423-5040-3,Spanish 4,1,0:25:31,0:25:33,10Q,228,N,I bought toys for your children.,,,"Spanish Phase 4, Units 1-30 (2010)","5,14"
