"Rec #","Lang","ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Skills"
"1","IT","978-1-4423-5037-3","Italian 3","1","0:08:11","0:08:12","01Q","87","N","Come to lunch at noon.","","","Italian Phase 3, units 1 - 30 (2004)","6,17"
"2","IT","978-1-4423-5037-3","Italian 3","1","0:08:16","0:08:17","01R","88","M","Venga a pranzo a mezzogiorno.","5","S","Italian Phase 3, units 1 - 30 (2004)","6,17"
"3","IT","978-1-4423-5037-3","Italian 3","1","0:10:36","0:10:37","02Q","110","N","Can I come by bus?","","","Italian Phase 3, units 1 - 30 (2004)","4,18"
"4","IT","978-1-4423-5037-3","Italian 3","1","0:10:40","0:10:42","02R","111","F","Posso venire in autobus?","4","Q","Italian Phase 3, units 1 - 30 (2004)","4,18"
"5","IT","978-1-4423-5037-3","Italian 3","1","0:11:24","0:11:25","03Q","117","N","Where’s your house?","","","Italian Phase 3, units 1 - 30 (2004)","4"
"6","IT","978-1-4423-5037-3","Italian 3","1","0:11:28","0:11:29","03R","118","F","Dov’è la Sua casa?","4","Q","Italian Phase 3, units 1 - 30 (2004)","4"
"7","IT","978-1-4423-5037-3","Italian 3","1","0:12:08","0:12:10","04Q","123","N","I am showing you the street.","","","Italian Phase 3, units 1 - 30 (2004)","4,9"
"8","IT","978-1-4423-5037-3","Italian 3","1","0:12:13","0:12:14","04R","124","M","Le faccio vedere la strada.","5","S","Italian Phase 3, units 1 - 30 (2004)","4,9"
"9","IT","978-1-4423-5037-3","Italian 3","1","0:12:53","0:12:55","05Q","131","N","Can you show me where your house is?","","","Italian Phase 3, units 1 - 30 (2004)","4"
"10","IT","978-1-4423-5037-3","Italian 3","1","0:12:58","0:13:00","05R","132","F","Mi può far vedere dov’è la Sua casa?","8","Q","Italian Phase 3, units 1 - 30 (2004)","4"
"11","IT","978-1-4423-5037-3","Italian 3","1","0:14:30","0:14:32","06Q","147","N","The house is not on the map.","","","Italian Phase 3, units 1 - 30 (2004)","4"
"12","IT","978-1-4423-5037-3","Italian 3","1","0:14:35","0:14:37","06R","148","M","La casa non è sulla pianta.","6","S","Italian Phase 3, units 1 - 30 (2004)","4"
"13","IT","978-1-4423-5037-3","Italian 3","1","0:18:10","0:18:11","07Q","179","N","What do you prefer?","","","Italian Phase 3, units 1 - 30 (2004)","7,13"
"14","IT","978-1-4423-5037-3","Italian 3","1","0:18:14","0:18:15","07R","180","M","Che cosa preferisce?","3","Q","Italian Phase 3, units 1 - 30 (2004)","7,13"
"15","IT","978-1-4423-5037-3","Italian 3","1","0:18:24","0:18:25","08Q","181","N","I prefer to come to lunch.","","","Italian Phase 3, units 1 - 30 (2004)","6"
"16","IT","978-1-4423-5037-3","Italian 3","1","0:18:29","0:18:30","08R","182","F","Preferisco venire a pranzo.","4","S","Italian Phase 3, units 1 - 30 (2004)","6"
"17","IT","978-1-4423-5037-3","Italian 3","1","0:19:21","0:19:22","09Q","192","N","I’m sorry.","","","Italian Phase 3, units 1 - 30 (2004)","13,16"
"18","IT","978-1-4423-5037-3","Italian 3","1","0:19:24","0:19:25","09R","193","M","Mi dispiace.","2","S","Italian Phase 3, units 1 - 30 (2004)","13,16"
"19","IT","978-1-4423-5037-3","Italian 3","1","0:19:50","0:19:51","10Q","196","N","I’m late.","","","Italian Phase 3, units 1 - 30 (2004)","5,17"
"20","IT","978-1-4423-5037-3","Italian 3","1","0:19:54","0:19:55","10R","197","M","Sono in ritardo.","3","S","Italian Phase 3, units 1 - 30 (2004)","5,17"
"21","IT","978-1-4423-5037-3","Italian 3","2","0:07:48","0:07:50","01Q","90","N","We’re not having lunch until one o’clock.","","","Italian Phase 3, units 1 - 30 (2004)","6,17"
"22","IT","978-1-4423-5037-3","Italian 3","2","0:07:54","0:07:55","01R","91","F","Non pranziamo fino all’una.","4","S","Italian Phase 3, units 1 - 30 (2004)","6,17"
"23","IT","978-1-4423-5037-3","Italian 3","2","0:07:59","0:08:00","02Q","92","N","Come to lunch with us.","","","Italian Phase 3, units 1 - 30 (2004)","6"
"24","IT","978-1-4423-5037-3","Italian 3","2","0:08:03","0:08:05","02R","93","F","Venga a pranzo con noi.","5","S","Italian Phase 3, units 1 - 30 (2004)","6"
"25","IT","978-1-4423-5037-3","Italian 3","2","0:11:11","0:11:12","03Q","120","N","It was bad weather.","","","Italian Phase 3, units 1 - 30 (2004)","19"
"26","IT","978-1-4423-5037-3","Italian 3","2","0:11:15","0:11:17","03R","121","M","Faceva cattivo tempo.","3","S","Italian Phase 3, units 1 - 30 (2004)","19"
"27","IT","978-1-4423-5037-3","Italian 3","2","0:13:09","0:13:10","04Q","137","N","It rained a little.","","","Italian Phase 3, units 1 - 30 (2004)","12,19"
"28","IT","978-1-4423-5037-3","Italian 3","2","0:13:13","0:13:14","04R","138","F","Ha piovuto un po’.","4","S","Italian Phase 3, units 1 - 30 (2004)","12,19"
"29","IT","978-1-4423-5037-3","Italian 3","2","0:17:26","0:17:27","05Q","175","N","We would like to take a trip.","","","Italian Phase 3, units 1 - 30 (2004)","18"
"30","IT","978-1-4423-5037-3","Italian 3","2","0:17:35","0:17:36","05R","176","F","Vorremmo fare un viaggio.","4","S","Italian Phase 3, units 1 - 30 (2004)","18"
"31","IT","978-1-4423-5037-3","Italian 3","2","0:18:38","0:18:39","06Q","187","N","next summer","","","Italian Phase 3, units 1 - 30 (2004)","17"
"32","IT","978-1-4423-5037-3","Italian 3","2","0:18:41","0:18:42","06R","188","F","l’estate prossima","2","S","Italian Phase 3, units 1 - 30 (2004)","17"
"33","IT","978-1-4423-5037-3","Italian 3","2","0:20:26","0:20:28","07Q","205","N","next year in the summer","","","Italian Phase 3, units 1 - 30 (2004)","17"
"34","IT","978-1-4423-5037-3","Italian 3","2","0:20:32","0:20:35","07R","206","F","l’anno prossimo in estate","4","S","Italian Phase 3, units 1 - 30 (2004)","17"
"35","IT","978-1-4423-5037-3","Italian 3","2","0:22:06","0:22:09","08Q","219","N","It rained and it snowed here in Rome last year.","","","Italian Phase 3, units 1 - 30 (2004)","17,19"
