"Rec #","Lang","ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Skills"
"1","IT","978-1-4423-5036-6","Italian 2","1","0:06:11","0:06:13","01Q","74","N","I’m staying for a few weeks.","","","Italian Phase 2, units 1 - 30 (2004)","12,17,18"
"2","IT","978-1-4423-5036-6","Italian 2","1","0:06:17","0:06:18","01R","75","M","Resto per alcune settimane.","4","S","Italian Phase 2, units 1 - 30 (2004)","12,17,18"
"3","IT","978-1-4423-5036-6","Italian 2","1","0:06:34","0:06:35","02Q","78","N","I like Italy.","","","Italian Phase 2, units 1 - 30 (2004)","7,9,18"
"4","IT","978-1-4423-5036-6","Italian 2","1","0:06:40","0:06:41","02R","79","M","Mi piace l’Italia.","3","S","Italian Phase 2, units 1 - 30 (2004)","7,9,18"
"5","IT","978-1-4423-5036-6","Italian 2","1","0:11:24","0:11:26","03Q","126","N","I didn’t buy anything.","","","Italian Phase 2, units 1 - 30 (2004)","14"
"6","IT","978-1-4423-5036-6","Italian 2","1","0:11:29","0:11:30","03R","127","F","Non ho comprato niente.","4","S","Italian Phase 2, units 1 - 30 (2004)","14"
"7","IT","978-1-4423-5036-6","Italian 2","1","0:11:42","0:11:43","04Q","129","N","I would like a beautiful hat.","","","Italian Phase 2, units 1 - 30 (2004)","14"
"8","IT","978-1-4423-5036-6","Italian 2","1","0:11:47","0:11:48","04R","130","F","Vorrei un bel cappello.","4","S","Italian Phase 2, units 1 - 30 (2004)","14"
"9","IT","978-1-4423-5036-6","Italian 2","1","0:12:57","0:12:59","05Q","143","N","We’re eating together today.","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"10","IT","978-1-4423-5036-6","Italian 2","1","0:13:02","0:13:03","05R","144","F","Mangiamo insieme oggi.","3","S","Italian Phase 2, units 1 - 30 (2004)","6,17"
"11","IT","978-1-4423-5036-6","Italian 2","1","0:13:27","0:13:29","06Q","148","N","We didn’t buy anything today.","","","Italian Phase 2, units 1 - 30 (2004)","14,17"
"12","IT","978-1-4423-5036-6","Italian 2","1","0:13:33","0:13:35","06R","149","M","Non abbiamo comprato niente oggi.","5","S","Italian Phase 2, units 1 - 30 (2004)","14,17"
"13","IT","978-1-4423-5036-6","Italian 2","1","0:13:52","0:13:53","07Q","152","N","Did you eat anything?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"14","IT","978-1-4423-5036-6","Italian 2","1","0:13:56","0:13:57","07R","153","F","Avete mangiato qualcosa?","3","Q","Italian Phase 2, units 1 - 30 (2004)","6"
