Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1 ,HE,Hebrew 3,1 ,,01Q,N,How does one get to your place?,,9781797114552_Hebrew_3_QZ_001.mp3,9781442331174,9781797114552,4
2 ,HE,Hebrew 3,1 ,,01R,M,איך מגיעים אליכם?,Ech magi'eem elechem?,9781797114552_Hebrew_3_QZ_002.mp3,9781442331174,9781797114552,4
3 ,HE,Hebrew 3,1 ,,02Q,N,I’m sorry that I’m late. (m),,9781797114552_Hebrew_3_QZ_003.mp3,9781442331174,9781797114552,"13,16,17"
4 ,HE,Hebrew 3,1 ,,02R,M,אני מצטער שאחרתי.,Ani mitz’taer she icharti.,9781797114552_Hebrew_3_QZ_004.mp3,9781442331174,9781797114552,"13,16,17"
5 ,HE,Hebrew 3,1 ,,03Q,N,I’m late. (m),,9781797114552_Hebrew_3_QZ_005.mp3,9781442331174,9781797114552,"16,17"
6 ,HE,Hebrew 3,1 ,,03R,M,אחרתי.,Icharti.,9781797114552_Hebrew_3_QZ_006.mp3,9781442331174,9781797114552,"16,17"
7 ,HE,Hebrew 3,1 ,,04Q,N,Today I came by bus. (m),,9781797114552_Hebrew_3_QZ_007.mp3,9781442331174,9781797114552,"17,18"
8 ,HE,Hebrew 3,1 ,,04R,M,היום באתי באוטובוס.,Hayom bati be'otobus.,9781797114552_Hebrew_3_QZ_008.mp3,9781442331174,9781797114552,"17,18"
9 ,HE,Hebrew 3,1 ,,05Q,N,Did you come by bus? (m),,9781797114552_Hebrew_3_QZ_009.mp3,9781442331174,9781797114552,18
10 ,HE,Hebrew 3,1 ,,05R,M,באת באוטובוס?,Bata be'otobus?,9781797114552_Hebrew_3_QZ_010.mp3,9781442331174,9781797114552,18
11 ,HE,Hebrew 3,1 ,,06Q,N,Can you come at twelve o’clock? (f),,9781797114552_Hebrew_3_QZ_011.mp3,9781442331174,9781797114552,"12,17"
12 ,HE,Hebrew 3,1 ,,06R,F,את יכולה לבוא בשעה שתים עשרה?,At yechola lavo be'shaa shtem-esre?,9781797114552_Hebrew_3_QZ_012.mp3,9781442331174,9781797114552,"12,17"
13 ,HE,Hebrew 3,1 ,,07Q,N,Come for lunch! (to f),,9781797114552_Hebrew_3_QZ_013.mp3,9781442331174,9781797114552,6
14 ,HE,Hebrew 3,1 ,,07R,F,בואי לארוחת צהרים!,Boi le'aruchat tzohorayim!,9781797114552_Hebrew_3_QZ_014.mp3,9781442331174,9781797114552,6
15 ,HE,Hebrew 3,1 ,,08Q,N,The meeting begins at twelve o’clock.,,9781797114552_Hebrew_3_QZ_015.mp3,9781442331174,9781797114552,"12,17,20"
16 ,HE,Hebrew 3,1 ,,08R,F,הפגישה מתחילה בשעה שתים עשרה.,Ha'pgisha matchila be'shaa shtem-esre.,9781797114552_Hebrew_3_QZ_016.mp3,9781442331174,9781797114552,"12,17,20"
17 ,HE,Hebrew 3,1 ,,09Q,N,When does the meeting begin?,,9781797114552_Hebrew_3_QZ_017.mp3,9781442331174,9781797114552,20
18 ,HE,Hebrew 3,1 ,,09R,F,מתי הפגישה מתחילה?,Matai ha'pgisha matchila?,9781797114552_Hebrew_3_QZ_018.mp3,9781442331174,9781797114552,20
19 ,HE,Hebrew 3,1 ,,10Q,N,It’s the first turn to the right.,,9781797114552_Hebrew_3_QZ_019.mp3,9781442331174,9781797114552,4
20 ,HE,Hebrew 3,1 ,,10R,F,זאת הפנייה הראשונה ימינה.,Zot ha'pniya ha'reeshona yamina.,9781797114552_Hebrew_3_QZ_020.mp3,9781442331174,9781797114552,4
21 ,HE,Hebrew 3,2 ,,01Q,N,Do you like red wine? (f),,9781797114552_Hebrew_3_QZ_021.mp3,9781442331174,9781797114552,6
22 ,HE,Hebrew 3,2 ,,01R,M,את אוהבת יין אדום?,At ohevet yayin adom?,9781797114552_Hebrew_3_QZ_022.mp3,9781442331174,9781797114552,6
23 ,HE,Hebrew 3,2 ,,02Q,N,Come for coffee. (to m),,9781797114552_Hebrew_3_QZ_023.mp3,9781442331174,9781797114552,6
