Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,ESL_SP,9781442328686,,1,01Q,N,Con permiso.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_001.mp3,"13,15,16"
2,2,ESL_SP,9781442328686,,1,01R,M,Excuse me.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_002.mp3,"13,15,16"
3,3,ESL_SP,9781442328686,,1,02Q,N,Usted entiende.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_003.mp3,"15,16"
4,4,ESL_SP,9781442328686,,1,02R,M,You understand.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_004.mp3,"15,16"
5,5,ESL_SP,9781442328686,,1,03Q,N,¿Entiende usted español?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_005.mp3,"10,15,16"
6,6,ESL_SP,9781442328686,,1,03R,M,Do you understand Spanish?,4,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_006.mp3,"10,15,16"
7,7,ESL_SP,9781442328686,,1,04Q,N,Yo entiendo un poco de inglés.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_007.mp3,"15,16"
8,8,ESL_SP,9781442328686,,1,04R,M,I understand a little English.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_008.mp3,"15,16"
9,9,ESL_SP,9781442328686,,1,05Q,N,Usted es mexicano.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_009.mp3,"7,10"
10,10,ESL_SP,9781442328686,,1,05R,F,You are Mexican.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_010.mp3,"7,10"
11,11,ESL_SP,9781442328686,,1,06Q,N,Yo entiendo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_011.mp3,"15,16"
12,12,ESL_SP,9781442328686,,1,06R,M,I understand.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_012.mp3,"15,16"
13,13,ESL_SP,9781442328686,,1,07Q,N,Yo no entiendo español.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_013.mp3,"10,15,16"
14,14,ESL_SP,9781442328686,,1,07R,F,I don't understand Spanish.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_014.mp3,"10,15,16"
15,15,ESL_SP,9781442328686,,1,08Q,N,Usted entiende inglés.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_015.mp3,"10,15,16"
16,16,ESL_SP,9781442328686,,1,08R,M,You understand English.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_016.mp3,"10,15,16"
17,17,ESL_SP,9781442328686,,1,09Q,N,Yo entiendo un poco.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_017.mp3,"10,15,16"
18,18,ESL_SP,9781442328686,,1,09R,M,I understand a little.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_018.mp3,"10,15,16"
19,19,ESL_SP,9781442328686,,1,10Q,N,¿Es usted mexicano?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_019.mp3,"7,10"
20,20,ESL_SP,9781442328686,,1,10R,F,Are you Mexican?,3,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_020.mp3,"7,10"
21,21,ESL_SP,9781442328686,,2,01Q,N,¿Cómo está?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_021.mp3,"10,13,16"
22,22,ESL_SP,9781442328686,,2,01R,M,How are you?,3,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_022.mp3,"10,13,16"
23,23,ESL_SP,9781442328686,,2,02Q,N,"Bien, gracias.",,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_023.mp3,"10,13,16"
24,24,ESL_SP,9781442328686,,2,02R,F,"Fine, thanks.",2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_024.mp3,"10,13,16"
25,25,ESL_SP,9781442328686,,2,03Q,N,Estoy bien.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_025.mp3,"10,16"
26,26,ESL_SP,9781442328686,,2,03R,M,I'm fine.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_026.mp3,"10,16"
27,27,ESL_SP,9781442328686,,2,04Q,N,Soy mexicano.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_027.mp3,"10,16"
28,28,ESL_SP,9781442328686,,2,04R,M,I'm Mexican.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_028.mp3,"10,16"
29,29,ESL_SP,9781442328686,,2,05Q,N,Hola.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_029.mp3,"10,16"
30,30,ESL_SP,9781442328686,,2,05R,F,Hello.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_030.mp3,"10,16"
31,31,ESL_SP,9781442328686,,2,06Q,N,"Estoy bien, gracias.",,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_031.mp3,"10,13,16"
32,32,ESL_SP,9781442328686,,2,06R,M,"I'm fine, thanks.",3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_032.mp3,"10,13,16"
33,33,ESL_SP,9781442328686,,2,07Q,N,Adiós.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_033.mp3,"13,16"
34,34,ESL_SP,9781442328686,,2,07R,M,Good-bye.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_034.mp3,"13,16"
35,35,ESL_SP,9781442328686,,2,08Q,N,Entiendo muy bien.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_035.mp3,"15,16"
36,36,ESL_SP,9781442328686,,2,08R,F,I understand very well.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_036.mp3,"15,16"
37,37,ESL_SP,9781442328686,,2,09Q,N,No muy bien.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_037.mp3,"10,16"
38,38,ESL_SP,9781442328686,,2,09R,M,Not very well.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_038.mp3,"10,16"
39,39,ESL_SP,9781442328686,,2,10Q,N,Gracias.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_039.mp3,"10,13,16"
40,40,ESL_SP,9781442328686,,2,10R,F,Thanks.,1,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_040.mp3,"10,13,16"
41,41,ESL_SP,9781442328686,,3,01Q,N,¿Y usted?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_041.mp3,"7,10"
42,42,ESL_SP,9781442328686,,3,01R,M,And you?,2,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_042.mp3,"7,10"
43,43,ESL_SP,9781442328686,,3,02Q,N,Soy norteamericana.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_043.mp3,"7,10"
44,44,ESL_SP,9781442328686,,3,02R,F,I'm American.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_044.mp3,"7,10"
45,45,ESL_SP,9781442328686,,3,03Q,N,Se lo agradezco.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_045.mp3,"13,16"
46,46,ESL_SP,9781442328686,,3,03R,F,Thank you.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_046.mp3,"13,16"
47,47,ESL_SP,9781442328686,,3,04Q,N,Lo siento.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_047.mp3,"13,16"
48,48,ESL_SP,9781442328686,,3,04R,F,I'm sorry.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_048.mp3,"13,16"
49,49,ESL_SP,9781442328686,,3,05Q,N,Usted no es mexicana.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_049.mp3,"7,9"
50,50,ESL_SP,9781442328686,,3,05R,M,You're not Mexican.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_050.mp3,"7,9"
51,51,ESL_SP,9781442328686,,3,06Q,N,Pero yo entiendo inglés.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_051.mp3,"15,16"
52,52,ESL_SP,9781442328686,,3,06R,M,But I understand English.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_052.mp3,"15,16"
53,53,ESL_SP,9781442328686,,3,07Q,N,No entiendo muy bien.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_053.mp3,"15,16"
54,54,ESL_SP,9781442328686,,3,07R,M,I don't understand very well.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_054.mp3,"15,16"
