Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Skills
1,GR,978-1-4423-4865-3,German 1,1,0:03:07,0:03:08,01Q,41,M,Excuse me.,,,"German Phase 1, Units 1-30 (2002)","7,10,13,16"
2,GR,978-1-4423-4865-3,German 1,1,0:02:08,0:02:10,01R,,M,Entschuldigen Sie.,2,S,"German Phase 1, Units 1-30 (2002)","7,10,13,16"
3,GR,978-1-4423-4865-3,German 1,1,0:04:27,0:04:28,02Q,57,N,You understand.,,,"German Phase 1, Units 1-30 (2002)",15
4,GR,978-1-4423-4865-3,German 1,1,0:04:30,0:04:33,02R,,M,Sie verstehen.,2,S,"German Phase 1, Units 1-30 (2002)",15
5,GR,978-1-4423-4865-3,German 1,1,0:05:29,0:05:31,03Q,71,N,Do you understand?,,,"German Phase 1, Units 1-30 (2002)","10,15"
6,GR,978-1-4423-4865-3,German 1,1,0:05:32,0:05:35,03R,,M,Verstehen Sie?,2,Q,"German Phase 1, Units 1-30 (2002)","10,15"
7,GR,978-1-4423-4865-3,German 1,1,0:06:27,0:06:28,04Q,82,N,No.,,,"German Phase 1, Units 1-30 (2002)","7,16"
8,GR,978-1-4423-4865-3,German 1,1,0:06:29,0:06:31,04R,,F,Nein.,1,S,"German Phase 1, Units 1-30 (2002)","7,16"
9,GR,978-1-4423-4865-3,German 1,1,0:06:39,0:06:43,05Q,86,N,How would you ask someone if he understands?,,,"German Phase 1, Units 1-30 (2002)",15
10,GR,978-1-4423-4865-3,German 1,1,0:06:44,0:06:47,05R,,M,Verstehen Sie?,2,Q,"German Phase 1, Units 1-30 (2002)",15
11,GR,978-1-4423-4865-3,German 1,1,0:08:15,0:08:18,06Q,101,N,I understand English.,,,"German Phase 1, Units 1-30 (2002)","10,15"
12,GR,978-1-4423-4865-3,German 1,1,0:08:20,0:08:23,06R,,M,Ich verstehe Englisch.,3,S,"German Phase 1, Units 1-30 (2002)","10,15"
13,GR,978-1-4423-4865-3,German 1,1,0:10:31,0:10:33,07Q,124,N,I understand no English.,,,"German Phase 1, Units 1-30 (2002)","10,15"
14,GR,978-1-4423-4865-3,German 1,1,0:10:35,0:10:38,07R,,F,Ich verstehe kein Englisch.,4,S,"German Phase 1, Units 1-30 (2002)","10,15"
15,GR,978-1-4423-4865-3,German 1,1,0:12:54,0:12:56,08Q,152,N,I understand German.,,,"German Phase 1, Units 1-30 (2002)","10,15"
16,GR,978-1-4423-4865-3,German 1,1,0:12:58,0:13:01,08R,,M,Ich verstehe Deutsch.,3,S,"German Phase 1, Units 1-30 (2002)","10,15"
17,GR,978-1-4423-4865-3,German 1,1,0:15:41,0:15:43,09Q,176,N,Only a little.,,,"German Phase 1, Units 1-30 (2002)","7,15"
18,GR,978-1-4423-4865-3,German 1,1,0:15:44,0:15:47,09R,,M,Nur ein bisschen.,3,S,"German Phase 1, Units 1-30 (2002)","7,15"
19,GR,978-1-4423-4865-3,German 1,1,0:19:17,0:19:18,10Q,208,N,Yes.,,,"German Phase 1, Units 1-30 (2002)","7,15"
20,GR,978-1-4423-4865-3,German 1,1,0:19:19,0:19:21,10R,,M,Ja.,1,S,"German Phase 1, Units 1-30 (2002)","7,15"
21,GR,978-1-4423-4865-3,German 1,2,0:03:18,0:03:19,01Q,47,N,I understand a little.,,,"German Phase 1, Units 1-30 (2002)","10,15"
22,GR,978-1-4423-4865-3,German 1,2,0:03:22,0:03:24,01R,,F,Ich verstehe ein bisschen.,4,S,"German Phase 1, Units 1-30 (2002)","10,15"
23,GR,978-1-4423-4865-3,German 1,2,0:05:27,0:05:30,02Q,69,N,You understand English.,,,"German Phase 1, Units 1-30 (2002)","10,15"
24,GR,978-1-4423-4865-3,German 1,2,0:05:31,0:05:34,02R,,F,Sie verstehen Englisch.,3,S,"German Phase 1, Units 1-30 (2002)","10,15"
25,GR,978-1-4423-4865-3,German 1,2,0:09:14,0:09:15,03Q,109,N,How are you?,,,"German Phase 1, Units 1-30 (2002)","10,13"
26,GR,978-1-4423-4865-3,German 1,2,0:09:17,0:09:20,03R,,M,Wie geht es Ihnen?,4,Q,"German Phase 1, Units 1-30 (2002)","10,13"
27,GR,978-1-4423-4865-3,German 1,2,0:11:25,0:11:27,04Q,134,N,"Very well, thank you.",,,"German Phase 1, Units 1-30 (2002)","13,16"
28,GR,978-1-4423-4865-3,German 1,2,0:11:29,0:11:31,04R,,F,"Sehr gut, danke.",3,S,"German Phase 1, Units 1-30 (2002)","13,16"
29,GR,978-1-4423-4865-3,German 1,2,0:14:41,0:14:43,05Q,165,N,I’m well.,,,"German Phase 1, Units 1-30 (2002)","7,13,16"
30,GR,978-1-4423-4865-3,German 1,2,0:14:44,0:14:47,05R,,M,Es geht mir gut.,4,S,"German Phase 1, Units 1-30 (2002)","7,13,16"
31,GR,978-1-4423-4865-3,German 1,2,0:17:22,0:17:24,06Q,189,N,I don’t understand.,,,"German Phase 1, Units 1-30 (2002)","15,16"
32,GR,978-1-4423-4865-3,German 1,2,0:17:26,0:17:28,06R,,F,Ich verstehe nicht.,3,S,"German Phase 1, Units 1-30 (2002)","15,16"
33,GR,978-1-4423-4865-3,German 1,2,0:18:38,0:18:40,07Q,202,N,Good-bye.,,,"German Phase 1, Units 1-30 (2002)","7,10"
34,GR,978-1-4423-4865-3,German 1,2,0:18:40,0:18:43,07R,,M,Auf Wiedersehen.,2,S,"German Phase 1, Units 1-30 (2002)","7,10"
35,GR,978-1-4423-4865-3,German 1,2,0:21:12,0:21:14,08Q,230,N,I’m very well.,,,"German Phase 1, Units 1-30 (2002)","7,13"
36,GR,978-1-4423-4865-3,German 1,2,0:21:16,0:21:18,08R,,F,Es geht mir sehr gut.,5,S,"German Phase 1, Units 1-30 (2002)","7,13"
37,GR,978-1-4423-4865-3,German 1,2,0:23:06,0:23:09,09Q,251,N,I understand a little German.,,,"German Phase 1, Units 1-30 (2002)","10,15"
38,GR,978-1-4423-4865-3,German 1,2,0:23:11,0:23:15,09R,,M,Ich verstehe ein bisschen Deutsch.,5,S,"German Phase 1, Units 1-30 (2002)","10,15"
39,GR,978-1-4423-4865-3,German 1,3,0:05:58,0:06:02,01Q,73,N,"Say, “an American,” referring to a man.",,,"German Phase 1, Units 1-30 (2002)","10,15"
40,GR,978-1-4423-4865-3,German 1,3,0:06:03,0:06:07,01R,,M,Amerikaner.,1,S,"German Phase 1, Units 1-30 (2002)","10,15"
41,GR,978-1-4423-4865-3,German 1,3,0:06:25,0:06:29,02Q,77,N,Ask a woman if she is an American.,,,"German Phase 1, Units 1-30 (2002)","10,15"
42,GR,978-1-4423-4865-3,German 1,3,0:06:31,0:06:34,02R,,M,Sind Sie Amerikanerin?,3,Q,"German Phase 1, Units 1-30 (2002)","10,15"
43,GR,978-1-4423-4865-3,German 1,3,0:07:26,0:07:27,03Q,89,N,I am.,,,"German Phase 1, Units 1-30 (2002)","7,9"
44,GR,978-1-4423-4865-3,German 1,3,0:07:42,0:07:45,03R,,M,Ich bin.,2,S,"German Phase 1, Units 1-30 (2002)","7,9"
45,GR,978-1-4423-4865-3,German 1,3,0:09:28,0:09:32,04Q,106,N,Now ask a man if he is German.,,,"German Phase 1, Units 1-30 (2002)","10,15"
46,GR,978-1-4423-4865-3,German 1,3,0:09:33,0:09:36,04R,,F,Sind Sie Deutscher?,3,Q,"German Phase 1, Units 1-30 (2002)","10,15"
47,GR,978-1-4423-4865-3,German 1,3,0:14:47,0:14:49,05Q,156,N,But I understand German.,,,"German Phase 1, Units 1-30 (2002)","10,15"
48,GR,978-1-4423-4865-3,German 1,3,0:14:51,0:14:55,05R,,M,Aber ich verstehe Deutsch.,4,S,"German Phase 1, Units 1-30 (2002)","10,15"
49,GR,978-1-4423-4865-3,German 1,3,0:16:00,0:16:03,06Q,167,N,I don’t understand very well.,,,"German Phase 1, Units 1-30 (2002)","15,16"
50,GR,978-1-4423-4865-3,German 1,3,0:16:05,0:16:09,06R,,M,Ich verstehe nicht sehr gut.,5,S,"German Phase 1, Units 1-30 (2002)","15,16"
51,GR,978-1-4423-4865-3,German 1,3,0:16:34,0:16:35,07Q,172,N,Please.,,,"German Phase 1, Units 1-30 (2002)","10,13,16"
52,GR,978-1-4423-4865-3,German 1,3,0:16:36,0:16:39,07R,,M,Bitte.,1,S,"German Phase 1, Units 1-30 (2002)","10,13,16"
53,GR,978-1-4423-4865-3,German 1,3,0:19:50,0:19:53,08Q,206,N,Do you understand only German?,,,"German Phase 1, Units 1-30 (2002)","10,15"
54,GR,978-1-4423-4865-3,German 1,3,0:19:55,0:19:58,08R,,M,Verstehen Sie nur Deutsch?,4,Q,"German Phase 1, Units 1-30 (2002)","10,15"
55,GR,978-1-4423-4865-3,German 1,3,0:21:16,0:21:18,09Q,221,N,"Yes, thank you.",,,"German Phase 1, Units 1-30 (2002)","13,16"
56,GR,978-1-4423-4865-3,German 1,3,0:21:19,0:21:22,09R,,F,"Ja, danke.",2,S,"German Phase 1, Units 1-30 (2002)","13,16"
57,GR,978-1-4423-4865-3,German 1,3,0:23:13,0:23:17,10Q,243,N,Ask her if she understands English.,,,"German Phase 1, Units 1-30 (2002)","10,15"
58,GR,978-1-4423-4865-3,German 1,3,0:23:18,0:23:22,10R,,M,Verstehen Sie Englisch?,3,Q,"German Phase 1, Units 1-30 (2002)","10,15"
59,GR,978-1-4423-4865-3,German 1,3,0:25:52,0:25:54,11Q,270,N,You speak very well.,,,"German Phase 1, Units 1-30 (2002)","10,15"
60,GR,978-1-4423-4865-3,German 1,3,0:25:55,0:25:57,11R,,F,Sie sprechen sehr gut.,4,S,"German Phase 1, Units 1-30 (2002)","10,15"
61,GR,978-1-4423-4865-3,German 1,4,0:01:49,0:01:49,01Q,30,N,And you?,,,"German Phase 1, Units 1-30 (2002)","10,15"
62,GR,978-1-4423-4865-3,German 1,4,0:01:55,0:01:56,01R,,M,Und Ihnen?,2,Q,"German Phase 1, Units 1-30 (2002)","10,15"
63,GR,978-1-4423-4865-3,German 1,4,0:04:54,0:04:57,02Q,58,N,Ask a woman if she is German.,,,"German Phase 1, Units 1-30 (2002)","10,15"
64,GR,978-1-4423-4865-3,German 1,4,0:04:59,0:05:03,02R,,M,Sind Sie Deutsche?,3,Q,"German Phase 1, Units 1-30 (2002)","10,15"
65,GR,978-1-4423-4865-3,German 1,4,0:06:30,0:06:32,03Q,73,N,You speak well.,,,"German Phase 1, Units 1-30 (2002)","10,15"
66,GR,978-1-4423-4865-3,German 1,4,0:06:34,0:06:37,03R,,F,Sie sprechen gut.,3,S,"German Phase 1, Units 1-30 (2002)","10,15"
67,GR,978-1-4423-4865-3,German 1,4,0:07:07,0:07:08,04Q,83,N,I don’t speak well.,,,"German Phase 1, Units 1-30 (2002)","10,15"
68,GR,978-1-4423-4865-3,German 1,4,0:07:11,0:07:13,04R,,M,Ich spreche nicht gut.,5,S,"German Phase 1, Units 1-30 (2002)","10,15"
69,GR,978-1-4423-4865-3,German 1,4,0:08:20,0:08:24,05Q,91,N,Tell him he speaks German well.,,,"German Phase 1, Units 1-30 (2002)","10,15"
70,GR,978-1-4423-4865-3,German 1,4,0:08:26,0:08:29,05R,,F,Sie sprechen gut Deutsch.,4,S,"German Phase 1, Units 1-30 (2002)","10,15"
71,GR,978-1-4423-4865-3,German 1,4,0:10:58,0:11:00,06Q,120,N,You speak English well.,,,"German Phase 1, Units 1-30 (2002)","10,15"
72,GR,978-1-4423-4865-3,German 1,4,0:11:04,0:11:07,06R,,M,Sie sprechen gut Englisch.,4,S,"German Phase 1, Units 1-30 (2002)","10,15"
73,GR,978-1-4423-4865-3,German 1,4,0:13:39,0:13:40,07Q,147,N,the street,,,"German Phase 1, Units 1-30 (2002)",4
74,GR,978-1-4423-4865-3,German 1,4,0:13:41,0:13:44,07R,,M,die Straße,2,S,"German Phase 1, Units 1-30 (2002)",4
75,GR,978-1-4423-4865-3,German 1,4,0:15:02,0:15:04,08Q,162,N,Where is the street?,,,"German Phase 1, Units 1-30 (2002)","4,16"
76,GR,978-1-4423-4865-3,German 1,4,0:15:06,0:15:09,08R,,M,Wo ist die Straße?,4,Q,"German Phase 1, Units 1-30 (2002)","4,16"
77,GR,978-1-4423-4865-3,German 1,4,0:17:28,0:17:30,09Q,187,N,Where is Opera Square?,,,"German Phase 1, Units 1-30 (2002)","4,18"
78,GR,978-1-4423-4865-3,German 1,4,0:17:32,0:17:35,09R,,M,Wo ist der Opernplatz?,4,Q,"German Phase 1, Units 1-30 (2002)","4,18"
79,GR,978-1-4423-4865-3,German 1,4,0:18:34,0:18:35,10Q,197,N,Is Goethe Street here?,,,"German Phase 1, Units 1-30 (2002)","4,18"
80,GR,978-1-4423-4865-3,German 1,4,0:18:38,0:18:41,10R,,M,Ist die Goethestraße hier?,4,Q,"German Phase 1, Units 1-30 (2002)","4,18"
81,GR,978-1-4423-4865-3,German 1,4,0:20:19,0:20:21,11Q,213,N,Goethe Street is over there.,,,"German Phase 1, Units 1-30 (2002)","4,18"
82,GR,978-1-4423-4865-3,German 1,4,0:20:25,0:20:28,11R,,M,Die Goethestraße ist dort drüben.,5,S,"German Phase 1, Units 1-30 (2002)","4,18"
83,GR,978-1-4423-4865-3,German 1,5,0:02:58,0:03:00,01Q,50,N,Me? Not very well.,,,"German Phase 1, Units 1-30 (2002)",7
84,GR,978-1-4423-4865-3,German 1,5,0:03:04,0:03:06,01R,,M,Mir? Nicht sehr gut.,4,S,"German Phase 1, Units 1-30 (2002)",7
85,GR,978-1-4423-4865-3,German 1,5,0:08:19,0:08:22,02Q,101,N,"""I know,” or “I know it.""",,,"German Phase 1, Units 1-30 (2002)",15
86,GR,978-1-4423-4865-3,German 1,5,0:08:23,0:08:26,02R,,F,Ich weiß es.,3,S,"German Phase 1, Units 1-30 (2002)",15
87,GR,978-1-4423-4865-3,German 1,5,0:08:28,0:08:29,03Q,103,N,I don’t know.,,,"German Phase 1, Units 1-30 (2002)",15
88,GR,978-1-4423-4865-3,German 1,5,0:08:32,0:08:35,03R,,F,Ich weiß es nicht.,4,S,"German Phase 1, Units 1-30 (2002)",15
89,GR,978-1-4423-4865-3,German 1,5,0:10:55,0:10:58,04Q,126,N,Do you know?,,,"German Phase 1, Units 1-30 (2002)",15
90,GR,978-1-4423-4865-3,German 1,5,0:10:59,0:11:02,04R,,M,Wissen Sie es?,3,Q,"German Phase 1, Units 1-30 (2002)",15
91,GR,978-1-4423-4865-3,German 1,5,0:15:16,0:15:18,05Q,174,N,Would you like to eat something?,,,"German Phase 1, Units 1-30 (2002)","1,6"
92,GR,978-1-4423-4865-3,German 1,5,0:15:20,0:15:24,05R,,M,Möchten Sie etwas essen?,4,Q,"German Phase 1, Units 1-30 (2002)","1,6"
93,GR,978-1-4423-4865-3,German 1,5,0:15:53,0:15:55,06Q,181,N,Would you like something?,,,"German Phase 1, Units 1-30 (2002)","6,7,14"
94,GR,978-1-4423-4865-3,German 1,5,0:15:57,0:16:00,06R,,M,Möchten Sie etwas?,3,Q,"German Phase 1, Units 1-30 (2002)","6,7,14"
95,GR,978-1-4423-4865-3,German 1,5,0:17:17,0:17:20,07Q,197,N,I would like to drink something.,,,"German Phase 1, Units 1-30 (2002)","1,6"
96,GR,978-1-4423-4865-3,German 1,5,0:17:22,0:17:26,07R,,F,Ich möchte etwas trinken.,4,S,"German Phase 1, Units 1-30 (2002)","1,6"
97,GR,978-1-4423-4865-3,German 1,5,0:18:22,0:18:24,08Q,207,N,"No, thank you.",,,"German Phase 1, Units 1-30 (2002)","13,16"
98,GR,978-1-4423-4865-3,German 1,5,0:18:28,0:18:30,08R,,F,"Nein, danke.",2,S,"German Phase 1, Units 1-30 (2002)","13,16"
99,GR,978-1-4423-4865-3,German 1,5,0:21:27,0:21:28,09Q,238,N,"Yes, I know. (contradictory)",,,"German Phase 1, Units 1-30 (2002)",15
100,GR,978-1-4423-4865-3,German 1,5,0:21:31,0:21:32,09R,,F,"Doch, ich weiß es.",4,S,"German Phase 1, Units 1-30 (2002)",15
101,GR,978-1-4423-4865-3,German 1,5,0:24:46,0:24:47,10Q,272,N,But not me.,,,"German Phase 1, Units 1-30 (2002)",7
102,GR,978-1-4423-4865-3,German 1,5,0:24:50,0:24:52,10R,,M,Aber ich nicht.,3,S,"German Phase 1, Units 1-30 (2002)",7
103,GR,978-1-4423-4865-3,German 1,6,0:08:20,0:08:22,01Q,87,N,At your place.,,,"German Phase 1, Units 1-30 (2002)",10
104,GR,978-1-4423-4865-3,German 1,6,0:08:23,0:08:26,01R,,F,Bei Ihnen.,2,S,"German Phase 1, Units 1-30 (2002)",10
105,GR,978-1-4423-4865-3,German 1,6,0:10:07,0:10:10,02Q,106,N,Ask me when.,,,"German Phase 1, Units 1-30 (2002)","1,17"
106,GR,978-1-4423-4865-3,German 1,6,0:10:11,0:10:14,02R,,M,Wann?,1,Q,"German Phase 1, Units 1-30 (2002)","1,17"
107,GR,978-1-4423-4865-3,German 1,6,0:12:17,0:12:19,03Q,132,N,When would you like to eat?,,,"German Phase 1, Units 1-30 (2002)","1,6"
108,GR,978-1-4423-4865-3,German 1,6,0:12:23,0:12:24,03R,,M,Wann möchten Sie essen?,4,Q,"German Phase 1, Units 1-30 (2002)","1,6"
109,GR,978-1-4423-4865-3,German 1,6,0:13:28,0:13:30,04Q,143,N,"No, not now.",,,"German Phase 1, Units 1-30 (2002)","7,17"
110,GR,978-1-4423-4865-3,German 1,6,0:13:31,0:13:35,04R,,F,"Nein, nicht jetzt.",3,S,"German Phase 1, Units 1-30 (2002)","7,17"
111,GR,978-1-4423-4865-3,German 1,6,0:18:43,0:18:45,05Q,201,N,"No, not at my place.",,,"German Phase 1, Units 1-30 (2002)",1
112,GR,978-1-4423-4865-3,German 1,6,0:18:48,0:18:50,05R,,F,"Nein, nicht bei mir.",4,S,"German Phase 1, Units 1-30 (2002)",1
113,GR,978-1-4423-4865-3,German 1,6,0:19:40,0:19:41,06Q,209,N,At Opera Square?,,,"German Phase 1, Units 1-30 (2002)","4,18"
114,GR,978-1-4423-4865-3,German 1,6,0:19:44,0:19:45,06R,,F,Am Opernplatz?,2,Q,"German Phase 1, Units 1-30 (2002)","4,18"
115,GR,978-1-4423-4865-3,German 1,6,0:20:01,0:20:02,07Q,213,N,Me too.,,,"German Phase 1, Units 1-30 (2002)",7
116,GR,978-1-4423-4865-3,German 1,6,0:20:03,0:20:06,07R,,F,Ich auch.,2,S,"German Phase 1, Units 1-30 (2002)",7
117,GR,978-1-4423-4865-3,German 1,6,0:20:40,0:20:45,08Q,221,N,"How does she tell you she would like to drink something, too?",,,"German Phase 1, Units 1-30 (2002)","1,6"
118,GR,978-1-4423-4865-3,German 1,6,0:20:46,0:20:50,08R,,F,Ich möchte auch etwas trinken.,5,S,"German Phase 1, Units 1-30 (2002)","1,6"
119,GR,978-1-4423-4865-3,German 1,6,0:22:53,0:22:55,09Q,244,N,"Yes, gladly.",,,"German Phase 1, Units 1-30 (2002)","7,13"
120,GR,978-1-4423-4865-3,German 1,6,0:22:56,0:22:59,09R,,F,"Ja, gerne.",2,S,"German Phase 1, Units 1-30 (2002)","7,13"
121,GR,978-1-4423-4865-3,German 1,6,0:23:46,0:23:48,10Q,255,N,I would like to eat later.,,,"German Phase 1, Units 1-30 (2002)","6,17"
122,GR,978-1-4423-4865-3,German 1,6,0:23:50,0:23:54,10R,,M,Ich möchte später essen.,4,S,"German Phase 1, Units 1-30 (2002)","6,17"
123,GR,978-1-4423-4865-3,German 1,7,0:06:39,0:06:41,01Q,71,N,In the restaurant.,,,"German Phase 1, Units 1-30 (2002)",6
124,GR,978-1-4423-4865-3,German 1,7,0:06:43,0:06:46,01R,,M,Im Restaurant.,2,S,"German Phase 1, Units 1-30 (2002)",6
125,GR,978-1-4423-4865-3,German 1,7,0:08:08,0:08:12,02Q,85,N,Ask me what I would like to eat.,,,"German Phase 1, Units 1-30 (2002)","6,10"
126,GR,978-1-4423-4865-3,German 1,7,0:08:13,0:08:17,02R,,M,Was möchten Sie essen?,4,Q,"German Phase 1, Units 1-30 (2002)","6,10"
127,GR,978-1-4423-4865-3,German 1,7,0:09:42,0:09:44,03Q,102,N,I would like to drink wine.,,,"German Phase 1, Units 1-30 (2002)","1,6"
128,GR,978-1-4423-4865-3,German 1,7,0:09:48,0:09:50,03R,,F,Ich möchte Wein trinken.,4,S,"German Phase 1, Units 1-30 (2002)","1,6"
129,GR,978-1-4423-4865-3,German 1,7,0:12:40,0:12:42,04Q,137,N,"Me too, I would like beer, too.",,,"German Phase 1, Units 1-30 (2002)",6
130,GR,978-1-4423-4865-3,German 1,7,0:12:46,0:12:50,04R,,F,"Ich auch, ich möchte auch Bier.",6,S,"German Phase 1, Units 1-30 (2002)",6
131,GR,978-1-4423-4865-3,German 1,7,0:18:13,0:18:18,05Q,193,N,Where is the restaurant ‘Zum Löwen’?,,,"German Phase 1, Units 1-30 (2002)","4,6,18"
132,GR,978-1-4423-4865-3,German 1,7,0:18:20,0:18:25,05R,,M,Wo ist das Restaurant “Zum Löwen?”,6,Q,"German Phase 1, Units 1-30 (2002)","4,6,18"
133,GR,978-1-4423-4865-3,German 1,7,0:19:20,0:19:22,06Q,203,N,The restaurant is on Goethe Street.,,,"German Phase 1, Units 1-30 (2002)","4,6,18"
134,GR,978-1-4423-4865-3,German 1,7,0:19:27,0:19:30,06R,,F,Das Restaurant ist in der Goethestraße.,6,S,"German Phase 1, Units 1-30 (2002)","4,6,18"
135,GR,978-1-4423-4865-3,German 1,7,0:26:46,0:26:52,07Q,228,N,Would you like to drink beer?,,,"German Phase 1, Units 1-30 (2002)","1,6"
136,GR,978-1-4423-4865-3,German 1,7,0:26:52,0:26:56,07R,,M,Möchten Sie Bier trinken?,4,Q,"German Phase 1, Units 1-30 (2002)","1,6"
137,GR,978-1-4423-4865-3,German 1,7,0:27:22,0:27:25,08Q,240,N,"Fine, but I would like to drink something now.",,,"German Phase 1, Units 1-30 (2002)","1,6,17"
138,GR,978-1-4423-4865-3,German 1,7,0:27:29,0:27:34,08R,,M,"Gut, aber ich möchte jetzt etwas trinken.",6,S,"German Phase 1, Units 1-30 (2002)","1,6,17"
139,GR,978-1-4423-4865-3,German 1,8,0:07:58,0:08:00,01Q,89,N,"Two beers, please.",,,"German Phase 1, Units 1-30 (2002)","6,12,13"
140,GR,978-1-4423-4865-3,German 1,8,0:08:01,0:08:05,01R,,M,"Zwei Bier, bitte.",3,S,"German Phase 1, Units 1-30 (2002)","6,12,13"
141,GR,978-1-4423-4865-3,German 1,8,0:08:27,0:08:29,03Q,93,N,Would you like a beer?,,,"German Phase 1, Units 1-30 (2002)","6,13"
