Control #,Rec,Lang,ISBN,Course,Unit Num,Start,Stop,Cluster,Qz #,Spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01Q_A,N,That’s fascinating!,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0001.mp3,7
2,2,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01R_A,F,C’est passionnant !,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0002.mp3,7
3,3,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01Q_B,N,That’s important!,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0003.mp3,7
4,4,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01R_B,F,C’est important !,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0004.mp3,7
5,5,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01Q_C,N,That’s pleasing to me!,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0005.mp3,7
6,6,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01R_C,M,Ça me plaît !,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0006.mp3,7
7,7,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01Q_D,N,That’s in front!,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0007.mp3,9
8,8,FR,978-1-4423-6785-2,French 4,1,,,U01-01,01R_D,F,C’est devant !,5,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0008.mp3,9
9,9,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02Q_A,N,I’m going to Paris for business.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0009.mp3,"18,20"
10,10,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02R_A,M,Je vais à Paris pour affaires.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0010.mp3,"18,20"
11,11,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02Q_B,N,I was in Paris for business.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0011.mp3,"18,20"
12,12,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02R_B,F,J’étais à Paris pour affaires.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0012.mp3,"18,20"
13,13,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02Q_C,N,You are in Paris on business.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0013.mp3,"18,20"
14,14,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02R_C,F,Vous êtes à Paris pour affaires.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0014.mp3,"18,20"
15,15,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02Q_D,N,My wife is in Paris on business.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0015.mp3,"5,18,20"
16,16,FR,978-1-4423-6785-2,French 4,1,,,U01-02,02R_D,M,Ma femme est à Paris pour affaires.,10,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0016.mp3,"5,18,20"
17,17,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03Q_A,N,Is it an important conference?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0017.mp3,20
18,18,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03R_A,F,C’est un congrès important ?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0018.mp3,20
19,19,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03Q_B,N,Is it a cardiology conference?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0019.mp3,"18,20"
20,20,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03R_B,F,C’est un congrès de cardiologie ?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0020.mp3,"18,20"
21,21,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03Q_C,N,Is it an important paper?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0021.mp3,"9,20"
22,22,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03R_C,F,C’est un journal important ?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0022.mp3,"9,20"
23,23,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03Q_D,N,Is it a fascinating conference?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0023.mp3,20
24,24,FR,978-1-4423-6785-2,French 4,1,,,U01-03,03R_D,F,C’est un congrès passionnant ?,15,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0024.mp3,20
25,25,FR,978-1-4423-6785-2,French 4,1,,,U01-04,04Q_A,N,My wife is a psychologist.,20,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0025.mp3,"5,20"
26,26,FR,978-1-4423-6785-2,French 4,1,,,U01-04,04R_A,M,Ma femme est psychologue.,20,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0026.mp3,"5,20"
27,27,FR,978-1-4423-6785-2,French 4,1,,,U01-04,04Q_B,N,My wife is a cardiologist.,20,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0027.mp3,"5,18"
28,28,FR,978-1-4423-6785-2,French 4,1,,,U01-04,04R_B,M,Ma femme est cardiologue.,20,,"French Phase 4, Units 1-30 (2013)",9781442370555_French_4_QZ_0028.mp3,"5,18"
