Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Skills
1,GR,978-1-4423-5035-9,German 3,1,0:02:43,0:02:45,01Q,42,N,Can you show me the way to the post office?,,,"German Phase 3, Units 1-30 (2006)","4,20"
2,GR,978-1-4423-5035-9,German 3,1,0:02:51,0:02:52,01R,43,M,Können Sie mir den Weg zur Post zeigen?,8,Q,"German Phase 3, Units 1-30 (2006)","4,20"
3,GR,978-1-4423-5035-9,German 3,1,0:02:59,0:03:01,02Q,44,N,I’m trying to show you the house.,,,"German Phase 3, Units 1-30 (2006)","4,9"
4,GR,978-1-4423-5035-9,German 3,1,0:03:06,0:03:08,02R,45,F,"Ich versuche, Ihnen das Haus zu zeigen.",7,S,"German Phase 3, Units 1-30 (2006)","4,9"
5,GR,978-1-4423-5035-9,German 3,1,0:03:40,0:03:42,03Q,49,N,I'm trying to read the city map,,,"German Phase 3, Units 1-30 (2006)","1,4,9,18"
6,GR,978-1-4423-5035-9,German 3,1,0:03:46,0:03:48,03R,50,M,Ich versuche den Stadtplan zu lesen.,6,S,"German Phase 3, Units 1-30 (2006)","1,4,9,18"
7,GR,978-1-4423-5035-9,German 3,1,0:04:19,0:04:20,04Q,55,N,Look!,,,"German Phase 3, Units 1-30 (2006)",7
8,GR,978-1-4423-5035-9,German 3,1,0:04:29,0:04:30,04R,56,F,Schauen Sie!,2,S,"German Phase 3, Units 1-30 (2006)",7
9,GR,978-1-4423-5035-9,German 3,1,0:07:44,0:07:46,05Q,93,N,How does one get to your place?,,,"German Phase 3, Units 1-30 (2006)",4
10,GR,978-1-4423-5035-9,German 3,1,0:07:51,0:07:53,05R,95,M,Wie kommt man zu Ihnen?,5,Q,"German Phase 3, Units 1-30 (2006)",4
11,GR,978-1-4423-5035-9,German 3,1,0:10:45,0:10:46,06Q,130,N,Where do you come from?,,,"German Phase 3, Units 1-30 (2006)",7
12,GR,978-1-4423-5035-9,German 3,1,0:10:52,0:10:53,06R,131,M,Woher kommen Sie?,3,Q,"German Phase 3, Units 1-30 (2006)",7
13,GR,978-1-4423-5035-9,German 3,1,0:13:34,0:13:35,07Q,156,N,At this time it’s pretty cold.,,,"German Phase 3, Units 1-30 (2006)","9,17,19"
14,GR,978-1-4423-5035-9,German 3,1,0:13:40,0:13:43,07R,157,M,Zur Zeit ist es ziemlich kalt.,6,S,"German Phase 3, Units 1-30 (2006)","9,17,19"
15,GR,978-1-4423-5035-9,German 3,1,0:16:31,0:16:32,08Q,183,N,Last week it snowed a little.,,,"German Phase 3, Units 1-30 (2006)","9,19"
16,GR,978-1-4423-5035-9,German 3,1,0:16:38,0:16:40,08R,184,M,Letzte Woche hat es ein bisschen geschneit.,7,S,"German Phase 3, Units 1-30 (2006)","9,19"
17,GR,978-1-4423-5035-9,German 3,1,0:18:55,0:18:57,09Q,209,N,Is it hot in the summer?,,,"German Phase 3, Units 1-30 (2006)","17,19"
18,GR,978-1-4423-5035-9,German 3,1,0:18:59,0:19:01,09R,210,F,Ist es heiß im Sommer?,5,Q,"German Phase 3, Units 1-30 (2006)","17,19"
19,GR,978-1-4423-5035-9,German 3,1,0:23:55,0:23:57,10Q,262,N,I could show you a couple photos.,,,"German Phase 3, Units 1-30 (2006)","1,12"
20,GR,978-1-4423-5035-9,German 3,1,0:24:02,0:24:04,10R,263,F,Ich könnte Ihnen ein paar Fotos zeigen.,7,S,"German Phase 3, Units 1-30 (2006)","1,12"
21,GR,978-1-4423-5035-9,German 3,2,0:01:53,0:01:54,01Q,28,N,He’s a professor.,,,"German Phase 3, Units 1-30 (2006)","5,20"
22,GR,978-1-4423-5035-9,German 3,2,0:01:57,0:01:59,01R,29,F,Er ist Professor.,3,S,"German Phase 3, Units 1-30 (2006)","5,20"
23,GR,978-1-4423-5035-9,German 3,2,0:03:50,0:03:51,02Q,48,N,That’s a photo of the city.,,,"German Phase 3, Units 1-30 (2006)","9,18"
24,GR,978-1-4423-5035-9,German 3,2,0:03:55,0:03:57,02R,50,F,Das ist ein Foto von der Stadt.,7,S,"German Phase 3, Units 1-30 (2006)","9,18"
25,GR,978-1-4423-5035-9,German 3,2,0:04:59,0:05:00,03Q,62,N,Cheers!,,,"German Phase 3, Units 1-30 (2006)",7
26,GR,978-1-4423-5035-9,German 3,2,0:05:02,0:05:03,03R,63,F,Prost!,1,S,"German Phase 3, Units 1-30 (2006)",7
27,GR,978-1-4423-5035-9,German 3,2,0:06:18,0:06:20,04Q,77,N,We live on Karl Street one hundred.,,,"German Phase 3, Units 1-30 (2006)","4,9,12"
28,GR,978-1-4423-5035-9,German 3,2,0:06:26,0:06:29,04R,78,F,Wir wohnen in der Karlstraße einhundert.,6,S,"German Phase 3, Units 1-30 (2006)","4,9,12"
29,GR,978-1-4423-5035-9,German 3,2,0:11:24,0:11:27,05Q,131,N,Say that you’d like to have a glass of white wine.,,,"German Phase 3, Units 1-30 (2006)","6,12"
30,GR,978-1-4423-5035-9,German 3,2,0:11:31,0:11:33,05R,133,F,Ich hätte gern ein Glas Weißwein.,6,S,"German Phase 3, Units 1-30 (2006)","6,12"
31,GR,978-1-4423-5035-9,German 3,2,0:12:06,0:12:08,06Q,139,N,I’d like to have a small lager.,,,"German Phase 3, Units 1-30 (2006)","6,12"
32,GR,978-1-4423-5035-9,German 3,2,0:12:12,0:12:13,06R,140,M,Ich hätte gern ein kleines Helles.,6,S,"German Phase 3, Units 1-30 (2006)","6,12"
33,GR,978-1-4423-5035-9,German 3,2,0:16:25,0:16:28,07Q,185,N,In Summer she’s taking a German class.,,,"German Phase 3, Units 1-30 (2006)","1,15,17"
34,GR,978-1-4423-5035-9,German 3,2,0:16:31,0:16:34,07R,186,F,Im Sommer macht sie einen Deutschkurs.,6,S,"German Phase 3, Units 1-30 (2006)","1,15,17"
35,GR,978-1-4423-5035-9,German 3,2,0:18:00,0:18:01,08Q,200,N,Another lager?,,,"German Phase 3, Units 1-30 (2006)","6,7"
36,GR,978-1-4423-5035-9,German 3,2,0:18:05,0:18:06,08R,201,M,Noch ein Helles?,3,Q,"German Phase 3, Units 1-30 (2006)","6,7"
37,GR,978-1-4423-5035-9,German 3,2,0:18:52,0:18:52,09Q,211,N,Pardon me?,,,"German Phase 3, Units 1-30 (2006)","7,13"
