Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Skills
1,SP,978-1-4423-5038-0,Spanish 2,1,0:07:55,0:07:57,01Q,86,N,"Yes, certainly.",,,"Spanish Phase 2, Units 1-30 (2003)",7
2,SP,978-1-4423-5038-0,Spanish 2,1,0:07:59,0:08:01,01R,87,F,"Sí, cómo no.",2,S,"Spanish Phase 2, Units 1-30 (2003)",7
3,SP,978-1-4423-5038-0,Spanish 2,1,0:08:40,0:08:42,02Q,93,N,Where is it located?,,,"Spanish Phase 2, Units 1-30 (2003)",4
4,SP,978-1-4423-5038-0,Spanish 2,1,0:08:45,0:08:46,02R,94,F,¿Dónde queda?,2,Q,"Spanish Phase 2, Units 1-30 (2003)",4
5,SP,978-1-4423-5038-0,Spanish 2,1,0:10:40,0:10:42,03Q,112,N,by subway,,,"Spanish Phase 2, Units 1-30 (2003)",18
6,SP,978-1-4423-5038-0,Spanish 2,1,0:10:44,0:10:45,03R,113,M,en metro,2,S,"Spanish Phase 2, Units 1-30 (2003)",18
7,SP,978-1-4423-5038-0,Spanish 2,1,0:12:36,0:12:37,04Q,130,N,Where do you work?,,,"Spanish Phase 2, Units 1-30 (2003)",20
8,SP,978-1-4423-5038-0,Spanish 2,1,0:12:39,0:12:42,04R,132,F,¿Dónde trabaja?,2,Q,"Spanish Phase 2, Units 1-30 (2003)",20
9,SP,978-1-4423-5038-0,Spanish 2,1,0:14:17,0:14:19,05Q,149,N,On which street?,,,"Spanish Phase 2, Units 1-30 (2003)",4
10,SP,978-1-4423-5038-0,Spanish 2,1,0:14:22,0:14:23,05R,150,F,¿En cuál calle?,3,Q,"Spanish Phase 2, Units 1-30 (2003)",4
11,SP,978-1-4423-5038-0,Spanish 2,1,0:16:20,0:16:22,06Q,169,N,How long does it take to get there?,,,"Spanish Phase 2, Units 1-30 (2003)",18
12,SP,978-1-4423-5038-0,Spanish 2,1,0:16:28,0:16:31,06R,171,F,¿Cuánto tiempo para llegar?,4,Q,"Spanish Phase 2, Units 1-30 (2003)",18
13,SP,978-1-4423-5038-0,Spanish 2,1,0:17:18,0:17:20,07Q,180,N,Half an hour to get there?,,,"Spanish Phase 2, Units 1-30 (2003)",17
14,SP,978-1-4423-5038-0,Spanish 2,1,0:17:23,0:17:26,07R,181,F,¿Media hora para llegar?,4,Q,"Spanish Phase 2, Units 1-30 (2003)",17
15,SP,978-1-4423-5038-0,Spanish 2,1,0:24:40,0:24:42,08Q,253,N,First I have to work.,,,"Spanish Phase 2, Units 1-30 (2003)",20
16,SP,978-1-4423-5038-0,Spanish 2,1,0:24:45,0:24:48,08R,254,F,Primero tengo que trabajar.,4,S,"Spanish Phase 2, Units 1-30 (2003)",20
17,SP,978-1-4423-5038-0,Spanish 2,1,0:26:52,0:26:55,09Q,275,N,I want to talk about something else.,,,"Spanish Phase 2, Units 1-30 (2003)",9
18,SP,978-1-4423-5038-0,Spanish 2,1,0:26:58,0:27:00,09R,276,M,Quiero hablar de otra cosa.,5,S,"Spanish Phase 2, Units 1-30 (2003)",9
19,SP,978-1-4423-5038-0,Spanish 2,1,0:27:23,0:27:26,10Q,279,N,Do you have time for a coffee?,,,"Spanish Phase 2, Units 1-30 (2003)","6,17"
20,SP,978-1-4423-5038-0,Spanish 2,1,0:27:28,0:27:31,10R,280,M,¿Tienes tiempo para un café?,5,Q,"Spanish Phase 2, Units 1-30 (2003)","6,17"
21,SP,978-1-4423-5038-0,Spanish 2,1,0:28:31,0:28:33,11Q,290,N,We can go to the movies with you.,,,"Spanish Phase 2, Units 1-30 (2003)",1
22,SP,978-1-4423-5038-0,Spanish 2,1,0:28:36,0:28:39,11R,291,F,Podemos ir al cine contigo.,5,S,"Spanish Phase 2, Units 1-30 (2003)",1
23,SP,978-1-4423-5038-0,Spanish 2,2,0:02:49,0:02:50,01Q,42,N,Turn to the left.,,,"Spanish Phase 2, Units 1-30 (2003)",4
24,SP,978-1-4423-5038-0,Spanish 2,2,0:02:52,0:02:54,01R,43,F,Doble a la izquierda.,4,S,"Spanish Phase 2, Units 1-30 (2003)",4
25,SP,978-1-4423-5038-0,Spanish 2,2,0:06:41,0:06:42,02Q,75,N,Mexico City.,,,"Spanish Phase 2, Units 1-30 (2003)",9
26,SP,978-1-4423-5038-0,Spanish 2,2,0:06:48,0:06:50,02R,76,M,la ciudad de México,4,S,"Spanish Phase 2, Units 1-30 (2003)",9
27,SP,978-1-4423-5038-0,Spanish 2,2,0:08:03,0:08:05,03Q,88,N,I arrived yesterday.,,,"Spanish Phase 2, Units 1-30 (2003)","17,18"
28,SP,978-1-4423-5038-0,Spanish 2,2,0:08:07,0:08:08,03R,89,M,Llegué ayer.,2,S,"Spanish Phase 2, Units 1-30 (2003)","17,18"
29,SP,978-1-4423-5038-0,Spanish 2,2,0:09:22,0:09:23,04Q,100,N,in the afternoon,,,"Spanish Phase 2, Units 1-30 (2003)",9
30,SP,978-1-4423-5038-0,Spanish 2,2,0:09:24,0:09:26,04R,101,M,en la tarde,3,S,"Spanish Phase 2, Units 1-30 (2003)",9
31,SP,978-1-4423-5038-0,Spanish 2,2,0:09:42,0:09:45,05Q,105,N,I arrived yesterday afternoon.,,,"Spanish Phase 2, Units 1-30 (2003)","17,18"
32,SP,978-1-4423-5038-0,Spanish 2,2,0:09:48,0:09:51,05R,106,M,Llegué ayer en la tarde.,5,S,"Spanish Phase 2, Units 1-30 (2003)","17,18"
