Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Skills
1,GR,978-1-4423-5034-2,German 2,1,0:02:27,0:02:29,1Q,39,N,You’re going to stay another two weeks?,,,"German Phase 2, Units 1-30 (2003)","1,12,17,18"
2,GR,978-1-4423-5034-2,German 2,1,0:02:32,0:02:34,1R,41,M,Sie bleiben noch zwei Wochen?,5,Q,"German Phase 2, Units 1-30 (2003)","1,12,17,18"
3,GR,978-1-4423-5034-2,German 2,1,0:07:16,0:07:18,2Q,87,N,"Yes, I would like very much to drink wine.",,,"German Phase 2, Units 1-30 (2003)","1,6"
4,GR,978-1-4423-5034-2,German 2,1,0:07:26,0:07:30,2R,89,F,"Ja, ich möchte gern Wein trinken.",6,S,"German Phase 2, Units 1-30 (2003)","1,6"
5,GR,978-1-4423-5034-2,German 2,1,0:10:09,0:10:12,3Q,115,N,I arrived yesterday with my family.,,,"German Phase 2, Units 1-30 (2003)","5,17,18"
6,GR,978-1-4423-5034-2,German 2,1,0:10:17,0:10:22,3R,116,M,Ich bin gestern mit meiner Familie angekommen.,7,S,"German Phase 2, Units 1-30 (2003)","5,17,18"
7,GR,978-1-4423-5034-2,German 2,1,0:14:31,0:14:33,4Q,156,N,We visited the city.,,,"German Phase 2, Units 1-30 (2003)","1,18"
8,GR,978-1-4423-5034-2,German 2,1,0:14:35,0:14:37,4R,157,F,Wir haben die Stadt besichtigt.,5,S,"German Phase 2, Units 1-30 (2003)","1,18"
9,GR,978-1-4423-5034-2,German 2,1,0:15:56,0:15:59,5Q,168,N,Do you know Dresden?,,,"German Phase 2, Units 1-30 (2003)",18
10,GR,978-1-4423-5034-2,German 2,1,0:16:01,0:16:03,5R,169,F,Kennen Sie Dresden?,3,Q,"German Phase 2, Units 1-30 (2003)",18
11,GR,978-1-4423-5034-2,German 2,1,0:16:30,0:16:31,6Q,174,N,"No, not yet.",,,"German Phase 2, Units 1-30 (2003)",7
12,GR,978-1-4423-5034-2,German 2,1,0:16:34,0:16:36,6R,175,M,"Nein, noch nicht.",3,S,"German Phase 2, Units 1-30 (2003)",7
13,GR,978-1-4423-5034-2,German 2,1,0:18:31,0:18:32,7Q,191,N,Did you buy this book?,,,"German Phase 2, Units 1-30 (2003)","1,14"
14,GR,978-1-4423-5034-2,German 2,1,0:18:36,0:18:42,7R,193,M,Haben Sie dieses Buch gekauft?,5,Q,"German Phase 2, Units 1-30 (2003)","1,14"
15,GR,978-1-4423-5034-2,German 2,1,0:21:03,0:21:05,8Q,217,N,What did you do this morning?,,,"German Phase 2, Units 1-30 (2003)","1,17"
16,GR,978-1-4423-5034-2,German 2,1,0:21:07,0:21:13,8R,218,F,Was haben Sie heute Morgen gemacht?,6,Q,"German Phase 2, Units 1-30 (2003)","1,17"
17,GR,978-1-4423-5034-2,German 2,1,0:24:48,0:24:54,9Q,252,M,I’m working tomorrow mid-morning.,,,"German Phase 2, Units 1-30 (2003)","1,17,20"
18,GR,978-1-4423-5034-2,German 2,1,0:24:54,0:25:00,9R,253,N,Ich arbeite morgen Vormittag.,4,S,"German Phase 2, Units 1-30 (2003)","1,17,20"
19,GR,978-1-4423-5034-2,German 2,1,0:27:28,0:27:31,10Q,276,N,"Yes, and I visited a couple of friends.",,,"German Phase 2, Units 1-30 (2003)","1,5,18"
20,GR,978-1-4423-5034-2,German 2,1,0:27:36,0:27:38,10R,277,M,"Ja, und ich habe ein paar Freunde besucht.",8,S,"German Phase 2, Units 1-30 (2003)","1,5,18"
21,GR,978-1-4423-5034-2,German 2,2,0:04:23,0:04:24,1Q,49,N,We visited the city.,,,"German Phase 2, Units 1-30 (2003)","1,18"
22,GR,978-1-4423-5034-2,German 2,2,0:04:30,0:04:32,1R,50,M,Wir haben die Stadt besichtigt.,5,S,"German Phase 2, Units 1-30 (2003)","1,18"
23,GR,978-1-4423-5034-2,German 2,2,0:05:41,0:05:42,2Q,61,N,I did a lot.,,,"German Phase 2, Units 1-30 (2003)","1,12"
24,GR,978-1-4423-5034-2,German 2,2,0:05:45,0:05:46,2R,62,M,Ich habe viel gemacht.,4,S,"German Phase 2, Units 1-30 (2003)","1,12"
25,GR,978-1-4423-5034-2,German 2,2,0:14:22,0:14:24,3Q,149,N,What’s your name?,,,"German Phase 2, Units 1-30 (2003)","7,10,16"
26,GR,978-1-4423-5034-2,German 2,2,0:14:27,0:14:28,3R,150,F,Wie heißen Sie?,3,Q,"German Phase 2, Units 1-30 (2003)","7,10,16"
27,GR,978-1-4423-5034-2,German 2,2,0:16:23,0:16:25,4Q,169,N,"I have to leave, unfortunately.",,,"German Phase 2, Units 1-30 (2003)","1,18"
28,GR,978-1-4423-5034-2,German 2,2,0:16:27,0:16:28,4R,170,F,Ich muss leider gehen.,4,S,"German Phase 2, Units 1-30 (2003)","1,18"
29,GR,978-1-4423-5034-2,German 2,2,0:18:56,0:18:57,5Q,192,N,Do you have to go?,,,"German Phase 2, Units 1-30 (2003)","1,18"
30,GR,978-1-4423-5034-2,German 2,2,0:19:00,0:19:01,5R,193,M,Müssen Sie gehen?,3,Q,"German Phase 2, Units 1-30 (2003)","1,18"
31,GR,978-1-4423-5034-2,German 2,2,0:19:55,0:19:57,6Q,204,N,I can’t stay.,,,"German Phase 2, Units 1-30 (2003)","1,18"
32,GR,978-1-4423-5034-2,German 2,2,0:20:01,0:20:03,6R,205,F,Ich kann nicht bleiben.,4,S,"German Phase 2, Units 1-30 (2003)","1,18"
33,GR,978-1-4423-5034-2,German 2,2,0:20:10,0:20:12,7Q,206,N,Unfortunately not.,,,"German Phase 2, Units 1-30 (2003)","7,13"
34,GR,978-1-4423-5034-2,German 2,2,0:20:15,0:20:16,7R,207,F,Leider nicht.,2,S,"German Phase 2, Units 1-30 (2003)","7,13"
35,GR,978-1-4423-5034-2,German 2,2,0:21:24,0:21:29,8Q,219,N,I’d like very much to stay.,,,"German Phase 2, Units 1-30 (2003)",18
36,GR,978-1-4423-5034-2,German 2,2,0:21:30,0:21:33,8R,220,F,Ich möchte gern bleiben.,4,S,"German Phase 2, Units 1-30 (2003)",18
37,GR,978-1-4423-5034-2,German 2,2,0:21:39,0:21:41,9Q,222,N,But I have to go now.,,,"German Phase 2, Units 1-30 (2003)","17,18"
38,GR,978-1-4423-5034-2,German 2,2,0:21:45,0:21:47,9R,223,F,Aber ich muss jetzt gehen.,5,S,"German Phase 2, Units 1-30 (2003)","17,18"
39,GR,978-1-4423-5034-2,German 2,2,0:23:24,0:23:27,10Q,238,N,My friend Monika is Swiss.,,,"German Phase 2, Units 1-30 (2003)",5
40,GR,978-1-4423-5034-2,German 2,2,0:23:31,0:23:34,10R,239,F,Meine Freundin Monika ist Schweizerin.,5,S,"German Phase 2, Units 1-30 (2003)",5
41,GR,978-1-4423-5034-2,German 2,2,0:25:39,0:25:41,11Q,261,N,Would you also like to go into town?,,,"German Phase 2, Units 1-30 (2003)","1,18"
42,GR,978-1-4423-5034-2,German 2,2,0:25:44,0:25:49,11R,262,F,Möchten Sie auch in die Stadt gehen?,7,Q,"German Phase 2, Units 1-30 (2003)","1,18"
43,GR,978-1-4423-5034-2,German 2,2,0:26:29,0:26:31,12Q,269,N,I’d like very much to come along with you.,,,"German Phase 2, Units 1-30 (2003)",1
44,GR,978-1-4423-5034-2,German 2,2,0:26:36,0:26:38,12R,270,M,Ich möchte gern mit Ihnen mitkommen.,6,S,"German Phase 2, Units 1-30 (2003)",1
45,GR,978-1-4423-5034-2,German 2,2,0:28:30,0:28:32,13Q,292,N,"There is my friend, Willi Klein.",,,"German Phase 2, Units 1-30 (2003)",5
46,GR,978-1-4423-5034-2,German 2,2,0:28:38,0:28:40,13R,294,M,"Dort ist mein Freund, Willi Klein.",6,S,"German Phase 2, Units 1-30 (2003)",5
47,GR,978-1-4423-5034-2,German 2,3,0:02:20,0:02:22,1Q,37,N,I’d like to stay another week.,,,"German Phase 2, Units 1-30 (2003)","17,18"
48,GR,978-1-4423-5034-2,German 2,3,0:02:29,0:02:31,1R,39,F,Ich möchte noch eine Woche bleiben.,6,S,"German Phase 2, Units 1-30 (2003)","17,18"
49,GR,978-1-4423-5034-2,German 2,3,0:02:56,0:02:58,2Q,44,N,I toured the city yesterday mid-morning.,,,"German Phase 2, Units 1-30 (2003)","1,17,18"
50,GR,978-1-4423-5034-2,German 2,3,0:03:01,0:03:07,2R,45,F,Ich habe gestern Vormittag die Stadt besichtigt.,7,S,"German Phase 2, Units 1-30 (2003)","1,17,18"
51,GR,978-1-4423-5034-2,German 2,3,0:05:39,0:05:40,3Q,70,N,I already did a lot.,,,"German Phase 2, Units 1-30 (2003)","1,12,17"
52,GR,978-1-4423-5034-2,German 2,3,0:05:42,0:05:47,3R,71,F,Ich habe schon viel gemacht.,5,S,"German Phase 2, Units 1-30 (2003)","1,12,17"
53,GR,978-1-4423-5034-2,German 2,3,0:06:22,0:06:27,4Q,77,N,I’d like very much to drive to Bremen.,,,"German Phase 2, Units 1-30 (2003)","1,18"
54,GR,978-1-4423-5034-2,German 2,3,0:06:27,0:06:33,4R,78,F,Ich möchte gern nach Bremen fahren.,6,S,"German Phase 2, Units 1-30 (2003)","1,18"
55,GR,978-1-4423-5034-2,German 2,3,0:09:09,0:09:12,5Q,105,N,I have to drive into town.,,,"German Phase 2, Units 1-30 (2003)","1,18"
56,GR,978-1-4423-5034-2,German 2,3,0:09:14,0:09:20,5R,106,M,Ich muss in die Stadt fahren.,6,S,"German Phase 2, Units 1-30 (2003)","1,18"
57,GR,978-1-4423-5034-2,German 2,3,0:10:27,0:10:28,6Q,117,N,Do you know the museum?,,,"German Phase 2, Units 1-30 (2003)","17,18"
58,GR,978-1-4423-5034-2,German 2,3,0:10:31,0:10:35,6R,118,F,Kennen Sie das Museum?,4,Q,"German Phase 2, Units 1-30 (2003)","17,18"
59,GR,978-1-4423-5034-2,German 2,3,0:13:41,0:13:43,7Q,151,N,We visited the museum.,,,"German Phase 2, Units 1-30 (2003)","1,18"
60,GR,978-1-4423-5034-2,German 2,3,0:13:47,0:13:49,7R,152,M,Wir haben das Museum besichtigt.,5,S,"German Phase 2, Units 1-30 (2003)","1,18"
61,GR,978-1-4423-5034-2,German 2,3,0:16:28,0:16:31,8Q,185,N,Do you have time to drink a cup of coffee?,,,"German Phase 2, Units 1-30 (2003)","6,17"
62,GR,978-1-4423-5034-2,German 2,3,0:16:34,0:16:38,8R,187,M,"Haben Sie Zeit, eine Tasse Kaffee zu trinken?",8,Q,"German Phase 2, Units 1-30 (2003)","6,17"
63,GR,978-1-4423-5034-2,German 2,3,0:19:23,0:19:26,9Q,212,N,My friend Ingrid is coming for a visit.,,,"German Phase 2, Units 1-30 (2003)","1,5,18"
