Control#,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,Start,Stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,RU,9781442312838,Russian 2,1,,,01Q,,N,I’m supposed to buy something for my daughter. (m),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_1.mp3,"1,5,14"
2,2,RU,9781442312838,Russian 2,1,,,01R,,M,Я должен кое-что купить моей дочери.,Ya dolzhen koye-shto kupit’ moyey docheri.,6,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_2.mp3,"1,5,14"
3,3,RU,9781442312838,Russian 2,1,,,02Q,,N,I bought a newspaper. (m),,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_3.mp3,"1,14"
4,4,RU,9781442312838,Russian 2,1,,,02R,,M,Я купил газету,Ya kupil gazetu.,3,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_4.mp3,"1,14"
5,5,RU,9781442312838,Russian 2,1,,,03Q,,N,Nothing yet.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_5.mp3,"7,9"
6,6,RU,9781442312838,Russian 2,1,,,03R,,M,Ещё ничего.,Yesho nichevo.,2,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_6.mp3,"7,9"
7,7,RU,9781442312838,Russian 2,1,,,04Q,,N,She lives there with friends.,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_7.mp3,"5,9"
8,8,RU,9781442312838,Russian 2,1,,,04R,,M,Она там живёт с друзьями.,Ona tam zhiviot s druz’yami.,5,S,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_8.mp3,"5,9"
9,9,RU,9781442312838,Russian 2,1,,,05Q,,N,What did you do?,,,,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_9.mp3,"1,7,9"
10,10,RU,9781442312838,Russian 2,1,,,05R,,F,Что вы делали ?,Shto vy delali?,4,Q,"Russian Phase 2, Units 1-30",9781442382831_Russian_2_QZ_10.mp3,"1,7,9"
