Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,ESL_SP,9781442329058,,1,01Q,N,¿Hablaron ustedes en inglés?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_001.mp3,"15,16,18"
2,2,ESL_SP,9781442329058,,1,01R,F,Did you speak English?,4,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_002.mp3,"15,16,18"
3,3,ESL_SP,9781442329058,,1,02Q,N,No compré nada.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_003.mp3,"7,14"
4,4,ESL_SP,9781442329058,,1,02R,F,I didn't buy anything.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_004.mp3,"7,14"
5,5,ESL_SP,9781442329058,,1,03Q,N,¿La grande o la pequeña?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_005.mp3,"5,14"
6,6,ESL_SP,9781442329058,,1,03R,M,"The big one, or the little one?",7,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_006.mp3,"5,14"
7,7,ESL_SP,9781442329058,,1,04Q,N,Ayer comimos allí.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_007.mp3,"6,17"
8,8,ESL_SP,9781442329058,,1,04R,F,We ate there yesterday.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_008.mp3,"6,17"
9,9,ESL_SP,9781442329058,,1,05Q,N,¿Qué quiere decir esa palabra?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_009.mp3,"15,16"
10,10,ESL_SP,9781442329058,,1,05R,M,What does that word mean?,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_010.mp3,"15,16"
11,11,ESL_SP,9781442329058,,1,06Q,N,Yo no quise nada.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_011.mp3,"7,14"
12,12,ESL_SP,9781442329058,,1,06R,F,I didn't want anything.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_012.mp3,"7,14"
13,13,ESL_SP,9781442329058,,1,07Q,N,Comimos en un buen restaurante.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_013.mp3,6
14,14,ESL_SP,9781442329058,,1,07R,F,We ate at a good restaurant.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_014.mp3,6
15,15,ESL_SP,9781442329058,,1,08Q,N,¿Comieron en un buen restaurante?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_015.mp3,6
16,16,ESL_SP,9781442329058,,1,08R,F,Did you eat at a good restaurant?,7,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_016.mp3,6
17,17,ESL_SP,9781442329058,,1,09Q,N,No hablamos en inglés.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_017.mp3,"15,18"
18,18,ESL_SP,9781442329058,,1,09R,M,We didn't speak English.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_018.mp3,"15,18"
19,19,ESL_SP,9781442329058,,1,10Q,N,¿Habla inglés su hija mayor?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_019.mp3,"5,15"
20,20,ESL_SP,9781442329058,,1,10R,M,Does your older daughter speak English?,6,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_020.mp3,"5,15"
21,21,ESL_SP,9781442329058,,1,11Q,N,No hablaron en inglés con él.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_021.mp3,15
22,22,ESL_SP,9781442329058,,1,11R,F,They didn't speak English with him.,6,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_022.mp3,15
23,23,ESL_SP,9781442329058,,2,01Q,N,¿Está usted solo aquí?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_023.mp3,"7,18"
24,24,ESL_SP,9781442329058,,2,01R,F,Are you here alone?,4,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_024.mp3,"7,18"
25,25,ESL_SP,9781442329058,,2,02Q,N,¿Cenaron allí?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_025.mp3,6
26,26,ESL_SP,9781442329058,,2,02R,F,Did you have dinner there?,5,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_026.mp3,6
27,27,ESL_SP,9781442329058,,2,03Q,N,Lo sé.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_027.mp3,7
28,28,ESL_SP,9781442329058,,2,03R,M,I know.,2,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_028.mp3,7
29,29,ESL_SP,9781442329058,,2,04Q,N,¿Adónde fueron?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_029.mp3,"4,18"
30,30,ESL_SP,9781442329058,,2,04R,F,Where did you go?,4,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_030.mp3,"4,18"
31,31,ESL_SP,9781442329058,,2,05Q,N,Llegué esta mañana.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_031.mp3,"17,18"
32,32,ESL_SP,9781442329058,,2,05R,M,I arrived this morning.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_032.mp3,"17,18"
33,33,ESL_SP,9781442329058,,2,06Q,N,No trabajé esta mañana.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_033.mp3,"17,20"
34,34,ESL_SP,9781442329058,,2,06R,M,I didn't work this morning.,5,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_034.mp3,"17,20"
35,35,ESL_SP,9781442329058,,2,07Q,N,No estoy solo aquí.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_035.mp3,"9,18"
36,36,ESL_SP,9781442329058,,2,07R,M,I'm not here alone.,4,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_036.mp3,"9,18"
37,37,ESL_SP,9781442329058,,2,08Q,N,¿A la mayor o a la menor?,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_037.mp3,5
38,38,ESL_SP,9781442329058,,2,08R,F,"The older one, or the younger one?",7,Q,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_038.mp3,5
39,39,ESL_SP,9781442329058,,2,09Q,N,Compramos muchas cosas para nuestra hija menor.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_039.mp3,"5,14"
40,40,ESL_SP,9781442329058,,2,09R,M,We bought a lot of things for our younger daughter.,10,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_040.mp3,"5,14"
41,41,ESL_SP,9781442329058,,2,10Q,N,Vamos a cenar con nuestro hijo en un buen restaurante.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_041.mp3,"1,5,6"
42,42,ESL_SP,9781442329058,,2,10R,M,We're going to have dinner with our son at a good restaurant.,12,S,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_042.mp3,"1,5,6"
43,43,ESL_SP,9781442329058,,2,11Q,N,Él llegó anoche.,,,Pimsleur English for Spanish Speakers Level 2,9781508235934_ESL_Spanish_2_QZ_043.mp3,"17,18"
