"Control #","Rec","Lang","ISBN","Course","Unit Num","Start","Stop","Cluster","Qz #","Spkr","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"1","1","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01Q_A","N","Let’s go to the airline clerk.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0001.mp3","9"
"2","2","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01R_A","M","Andiamo dall’impiegato della compagnia aerea.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0002.mp3","9"
"3","3","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01Q_B","N","Let’s go to the airline.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0003.mp3","1,9,18,20"
"4","4","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01R_B","M","Andiamo dalla compagnia aerea.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0004.mp3","1,9,18,20"
"5","5","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01Q_C","N","We’ve already gone to the airline clerk.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0005.mp3","18"
"6","6","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01R_C","F","Siamo già andati dall’impiegato della compagnia aerea.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0006.mp3","18"
"7","7","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01Q_D","N","The airline clerk didn’t do anything.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0007.mp3","18,20"
"8","8","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-01","01R_D","F","L’impiegato della compagnia aerea non ha fatto niente.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0008.mp3","18,20"
"9","9","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02Q_A","N","I believe that much patience is required for traveling.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0009.mp3","9,12,18"
"10","10","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02R_A","F","Credo che ci voglia molta pazienza per viaggiare.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0010.mp3","9,12,18"
"11","11","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02Q_B","N","I don’t have much patience when I travel with you.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0011.mp3","12,18"
"12","12","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02R_B","M","Non ho molta pazienza quando viaggio con te.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0012.mp3","12,18"
"13","13","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02Q_C","N","I believe that much patience is required to take a vacation.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0013.mp3","9,12,18"
"14","14","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02R_C","M","Credo che ci voglia molta pazienza per fare una vacanza.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0014.mp3","9,12,18"
"15","15","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02Q_D","N","I believe that much patience is required to claim the luggage.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0015.mp3","9,12,18"
"16","16","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-02","02R_D","F","Credo che ci voglia molta pazienza per ritirare i bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0016.mp3","9,12,18"
"17","17","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03Q_A","N","I lost my luggage.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0017.mp3","9,16,18"
"18","18","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03R_A","F","Ho perso i miei bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0018.mp3","9,16,18"
"19","19","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03Q_B","N","I haven’t found my luggage.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0019.mp3","18"
"20","20","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03R_B","F","Non ho trovato i miei bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0020.mp3","18"
"21","21","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03Q_C","N","I lost my credit cards.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0021.mp3","9,11,14,16"
"22","22","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03R_C","M","Ho perso le miei carte di credito.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0022.mp3","9,11,14,16"
"23","23","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03Q_D","N","My luggage hasn’t arrived.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0023.mp3","5,18"
"24","24","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-03","03R_D","M","I miei bagagli non sono arrivati.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0024.mp3","5,18"
"25","25","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04Q_A","N","I found some change.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0025.mp3","11"
"26","26","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04R_A","F","Ho trovato degli spiccioli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0026.mp3","11"
"27","27","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04Q_B","N","I don’t have any change.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0027.mp3","11,14"
"28","28","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04R_B","F","Non ho spiccioli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0028.mp3","11,14"
"29","29","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04Q_C","N","I found a lot of money.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0029.mp3","11,12"
"30","30","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04R_C","F","Ho trovato molti soldi.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0030.mp3","11,12"
"31","31","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04Q_D","N","I found the baggage claim.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0031.mp3","18"
"32","32","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-04","04R_D","M","Ho trovato il ritiro bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0032.mp3","18"
"33","33","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05Q_A","N","We have to claim the luggage.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0033.mp3","18"
"34","34","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05R_A","M","Dobbiamo ritirare i bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0034.mp3","18"
"35","35","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05Q_B","N","I wanted to claim the luggage.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0035.mp3","18"
"36","36","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05R_B","F","Volevo ritirare i bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0036.mp3","18"
"37","37","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05Q_C","N","We have to find the baggage claim.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0037.mp3","18"
"38","38","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05R_C","F","Dobbiamo trovare il ritiro bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0038.mp3","18"
"39","39","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05Q_D","N","We have to travel for work.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0039.mp3","18,20"
"40","40","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-05","05R_D","F","Dobbiamo viaggiare per il lavoro.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0040.mp3","18,20"
"41","41","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06Q_A","N","I can’t wait to arrive at our hotel.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0041.mp3","18"
"42","42","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06R_A","M","Non vedo l’ora di arrivare al nostro albergo.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0042.mp3","18"
"43","43","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06Q_B","N","I can’t wait to find a good hotel.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0043.mp3","18"
"44","44","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06R_B","M","Non vedo l’ora di trovare un buon albergo.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0044.mp3","18"
"45","45","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06Q_C","N","I can’t wait to arrive home.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0045.mp3","18"
"46","46","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06R_C","F","Non vedo l’ora di arrivare a casa.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0046.mp3","18"
"47","47","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06Q_D","N","I can’t wait to rent a room there.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0047.mp3","14,18"
"48","48","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-06","06R_D","F","Non vedo l’ora di affittare una camera lì.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0048.mp3","14,18"
"49","49","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07Q_A","N","Can I help you?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0049.mp3","13,14"
"50","50","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07R_A","F","Posso aiutarLa?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0050.mp3","13,14"
"51","51","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07Q_B","N","Can you help me?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0051.mp3","14,16"
"52","52","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07R_B","M","Può aiutarmi?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0052.mp3","14,16"
"53","53","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07Q_C","N","Can I see you?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0053.mp3","10,16"
"54","54","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07R_C","M","Posso vederLa?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0054.mp3","10,16"
"55","55","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07Q_D","N","Can I ship it?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0055.mp3","14"
"56","56","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-07","07R_D","F","Posso spedirlo?","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0056.mp3","14"
"57","57","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08Q_A","N","I hope that you can help us.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0057.mp3","14"
"58","58","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08R_A","F","Spero che Lei possa aiutarci.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0058.mp3","14"
"59","59","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08Q_B","N","I hope that you can help me.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0059.mp3","14"
"60","60","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08R_B","F","Spero che Lei possa aiutarmi.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0060.mp3","14"
"61","61","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08Q_C","N","The clerk could not help us.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0061.mp3","14,18"
"62","62","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08R_C","M","L’impiegato non poteva aiutarci.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0062.mp3","14,18"
"63","63","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08Q_D","N","I hope that you can find my luggage.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0063.mp3","18"
"64","64","IT","9781442392045","Pimsleur Italian Level 5","1","","","U01-08","08R_D","M","Spero che Lei possa trovare i miei bagagli.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0064.mp3","18"
"65","65","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01Q_A","N","We must go straight home.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0065.mp3","4,16,18"
"66","66","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01R_A","F","Dobbiamo andare direttamente a casa.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0066.mp3","4,16,18"
"67","67","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01Q_B","N","We must go to the supermarket today.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0067.mp3","1,6,14,17"
"68","68","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01R_B","F","Dobbiamo andare al supermercato oggi.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0068.mp3","1,6,14,17"
"69","69","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01Q_C","N","He returned straight home.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0069.mp3","4,18"
"70","70","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01R_C","F","È ritornato direttamente a casa.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0070.mp3","4,18"
"71","71","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01Q_D","N","We must go do the grocery shopping.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0071.mp3","6,14"
"72","72","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-01","01R_D","M","Dobbiamo andare a fare la spesa.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0072.mp3","6,14"
"73","73","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02Q_A","N","Doing the grocery shopping is more fun than I thought.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0073.mp3","14"
"74","74","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02R_A","M","Fare la spesa è più divertente di quello che pensavo.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0074.mp3","14"
"75","75","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02Q_B","N","Doing the grocery shopping at the supermarket is fun.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0075.mp3","14"
"76","76","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02R_B","F","Fare la spesa al supermercato è divertente.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0076.mp3","14"
"77","77","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02Q_C","N","Doing the grocery shopping is more difficult than I thought.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0077.mp3","14"
"78","78","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02R_C","F","Fare la spesa è più difficile di quello che pensavo.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0078.mp3","14"
"79","79","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02Q_D","N","It’s more fun to do the grocery shopping in Italy.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0079.mp3","1,14,18"
"80","80","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-02","02R_D","F","È più divertente fare la spesa in Italia.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0080.mp3","1,14,18"
"81","81","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03Q_A","N","Thank goodness!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0081.mp3","7,16"
"82","82","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03R_A","M","Meno male!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0082.mp3","7,16"
"83","83","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03Q_B","N","What the heck!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0083.mp3","16"
"84","84","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03R_B","M","Uffa!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0084.mp3","16"
"85","85","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03Q_C","N","What a shame!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0085.mp3","16"
"86","86","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03R_C","F","Che peccato!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0086.mp3","16"
"87","87","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03Q_D","N","It’s not bad at all!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0087.mp3","16"
"88","88","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-03","03R_D","F","Non è affatto male!","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0088.mp3","16"
"89","89","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-04","04Q_A","N","I haven’t yet changed the money.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0089.mp3","11"
"90","90","IT","9781442392045","Pimsleur Italian Level 5","2","","","U02-04","04R_A","F","Non ho ancora cambiato i soldi.","","","Pimsleur Italian Level 5 MP3","9781508230922_Italian_5_QZ_0090.mp3","11"
