Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,SC,Spanish (Spain-Castilian) 3,1,,01Q,N,What do you do? (informal),,9781797131757_Spanish_(Spain-Castilian)_3_QZ_001.mp3,9781797124711,9781797131757,"16,20"
2,SC,Spanish (Spain-Castilian) 3,1,,01R,F,¿A qué te dedicas?,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_002.mp3,9781797124711,9781797131757,"16,20"
3,SC,Spanish (Spain-Castilian) 3,1,,02Q,N,Is anyone else in your family allergic to chocolate?,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_003.mp3,9781797124711,9781797131757,"6,8"
4,SC,Spanish (Spain-Castilian) 3,1,,02R,F,¿Alguien más en tu familia es alérgico al chocolate?,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_004.mp3,9781797124711,9781797131757,"6,8"
5,SC,Spanish (Spain-Castilian) 3,1,,03Q,N,In summer it’s very hot.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_005.mp3,9781797124711,9781797131757,19
6,SC,Spanish (Spain-Castilian) 3,1,,03R,F,En verano hace mucho calor.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_006.mp3,9781797124711,9781797131757,19
7,SC,Spanish (Spain-Castilian) 3,1,,04Q,N,I’ve lost my phone.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_007.mp3,9781797124711,9781797131757,"3,16"
8,SC,Spanish (Spain-Castilian) 3,1,,04R,F,He perdido el móvil.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_008.mp3,9781797124711,9781797131757,"3,16"
9,SC,Spanish (Spain-Castilian) 3,1,,05Q,N,They like to come to visit us in summer.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_009.mp3,9781797124711,9781797131757,18
10,SC,Spanish (Spain-Castilian) 3,1,,05R,F,Les gusta venir a visitarnos en verano.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_010.mp3,9781797124711,9781797131757,18
11,SC,Spanish (Spain-Castilian) 3,1,,06Q,N,I introduce myself.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_011.mp3,9781797124711,9781797131757,"13,16"
12,SC,Spanish (Spain-Castilian) 3,1,,06R,M,Me presento.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_012.mp3,9781797124711,9781797131757,"13,16"
13,SC,Spanish (Spain-Castilian) 3,1,,07Q,N,I want to show you some photos.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_013.mp3,9781797124711,9781797131757,7
14,SC,Spanish (Spain-Castilian) 3,1,,07R,M,Quiero enseñarte unas fotos.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_014.mp3,9781797124711,9781797131757,7
15,SC,Spanish (Spain-Castilian) 3,1,,08Q,N,I also work at a company.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_015.mp3,9781797124711,9781797131757,20
16,SC,Spanish (Spain-Castilian) 3,1,,08R,M,También trabajo en una empresa.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_016.mp3,9781797124711,9781797131757,20
17,SC,Spanish (Spain-Castilian) 3,1,,09Q,N,"You have several cousins, right?",,9781797131757_Spanish_(Spain-Castilian)_3_QZ_017.mp3,9781797124711,9781797131757,5
18,SC,Spanish (Spain-Castilian) 3,1,,09R,M,"Tienes varios primos, ¿verdad?",,9781797131757_Spanish_(Spain-Castilian)_3_QZ_018.mp3,9781797124711,9781797131757,5
19,SC,Spanish (Spain-Castilian) 3,1,,10Q,N,I have to travel frequently.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_019.mp3,9781797124711,9781797131757,18
20,SC,Spanish (Spain-Castilian) 3,1,,10R,M,Tengo que viajar con frecuencia.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_020.mp3,9781797124711,9781797131757,18
21,SC,Spanish (Spain-Castilian) 3,2,,01Q,N,He’s a director at a Spanish company.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_021.mp3,9781797124711,9781797131757,20
22,SC,Spanish (Spain-Castilian) 3,2,,01R,F,Es director en una empresa española.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_022.mp3,9781797124711,9781797131757,20
23,SC,Spanish (Spain-Castilian) 3,2,,02Q,N,He’s a director in a bank there.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_023.mp3,9781797124711,9781797131757,20
24,SC,Spanish (Spain-Castilian) 3,2,,02R,F,Es director en un banco allí.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_024.mp3,9781797124711,9781797131757,20
25,SC,Spanish (Spain-Castilian) 3,2,,03Q,N,She’s a very good writer.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_025.mp3,9781797124711,9781797131757,20
26,SC,Spanish (Spain-Castilian) 3,2,,03R,F,Es una escritora muy buena.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_026.mp3,9781797124711,9781797131757,20
27,SC,Spanish (Spain-Castilian) 3,2,,04Q,N,Do you speak Spanish frequently?,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_027.mp3,9781797124711,9781797131757,15
28,SC,Spanish (Spain-Castilian) 3,2,,04R,F,¿Hablas español con frecuencia?,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_028.mp3,9781797124711,9781797131757,15
29,SC,Spanish (Spain-Castilian) 3,2,,05Q,N,I speak Spanish with them.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_029.mp3,9781797124711,9781797131757,15
30,SC,Spanish (Spain-Castilian) 3,2,,05R,F,Hablo español con ellos.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_030.mp3,9781797124711,9781797131757,15
31,SC,Spanish (Spain-Castilian) 3,2,,06Q,N,They aren’t certain.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_031.mp3,9781797124711,9781797131757,7
32,SC,Spanish (Spain-Castilian) 3,2,,06R,M,No están seguros.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_032.mp3,9781797124711,9781797131757,7
33,SC,Spanish (Spain-Castilian) 3,2,,07Q,N,They visit us frequently.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_033.mp3,9781797124711,9781797131757,18
34,SC,Spanish (Spain-Castilian) 3,2,,07R,M,Nos visitan con frecuencia.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_034.mp3,9781797124711,9781797131757,18
35,SC,Spanish (Spain-Castilian) 3,2,,08Q,N,She looks like you.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_035.mp3,9781797124711,9781797131757,5
36,SC,Spanish (Spain-Castilian) 3,2,,08R,M,Se parece a ti.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_036.mp3,9781797124711,9781797131757,5
37,SC,Spanish (Spain-Castilian) 3,2,,09Q,N,I work at a small company.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_037.mp3,9781797124711,9781797131757,20
38,SC,Spanish (Spain-Castilian) 3,2,,09R,M,Trabajo en una empresa pequeña.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_038.mp3,9781797124711,9781797131757,20
39,SC,Spanish (Spain-Castilian) 3,2,,10Q,N,I’m a director. (m),,9781797131757_Spanish_(Spain-Castilian)_3_QZ_039.mp3,9781797124711,9781797131757,20
40,SC,Spanish (Spain-Castilian) 3,2,,10R,M,Soy director.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_040.mp3,9781797124711,9781797131757,20
41,SC,Spanish (Spain-Castilian) 3,3,,01Q,N,You learned a lot of Spanish!,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_041.mp3,9781797124711,9781797131757,15
42,SC,Spanish (Spain-Castilian) 3,3,,01R,F,¡Aprendiste mucho español!,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_042.mp3,9781797124711,9781797131757,15
43,SC,Spanish (Spain-Castilian) 3,3,,02Q,N,He learned Italian through her.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_043.mp3,9781797124711,9781797131757,15
44,SC,Spanish (Spain-Castilian) 3,3,,02R,F,Aprendió italiano por ella.,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_044.mp3,9781797124711,9781797131757,15
45,SC,Spanish (Spain-Castilian) 3,3,,03Q,N,Surely not!,,9781797131757_Spanish_(Spain-Castilian)_3_QZ_045.mp3,9781797124711,9781797131757,7
