Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,01Q,0,N,"Excuse me, miss.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_001.mp3,"10,13,16"
2,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,01R,0,M,"Disculpe, señorita.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_002.mp3,"10,13,16"
3,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,02Q,0,N,"Excuse me, do you understand English?",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_003.mp3,"10,13,15,16"
4,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,02R,0,M,"Disculpe, ¿entiende inglés?",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_004.mp3,"10,13,15,16"
5,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,03Q,0,N,"No, sir.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_005.mp3,"13,16"
6,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,03R,0,F,"No, señor.",n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_006.mp3,"13,16"
7,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,04Q,0,N,Do you understand Spanish?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_007.mp3,"10,15,16"
8,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,04R,0,F,¿Entiende español?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_008.mp3,"10,15,16"
9,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,05Q,0,N,Are you American?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_009.mp3,10
10,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,05R,0,M,¿Es usted norteamericano?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_010.mp3,10
11,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,06Q,0,N,Do you speak English?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_011.mp3,"10,15,16"
12,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,06R,0,F,¿Habla inglés?,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_012.mp3,"10,15,16"
13,SP,9781508281085,Spanish 1,01,00:00.000,00:00.000,07Q,0,N,I speak Spanish a little.,n/a,n/a,Spanish Level 1 Core Update,9781508281085_Spanish_1_QM_013.mp3,"10,15,16"
