Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet name,Skills
1,1,MA,9781442369269,Mandarin 4,1,,,01Q,,N,Flight number eight-two-five has been delayed.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_001.mp3,"12,16,18"
2,2,MA,9781442369269,Mandarin 4,1,,,01R,,M,八二五号航班晚点了。,bā èr wǔ hào háng bān wǎn diǎn le.,9,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_002.mp3,"12,16,18"
3,3,MA,9781442369269,Mandarin 4,1,,,02Q,,N,No thanks are necessary.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_003.mp3,13
4,4,MA,9781442369269,Mandarin 4,1,,,02R,,F,不用谢。,bú yòng xiè.,3,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_004.mp3,13
5,5,MA,9781442369269,Mandarin 4,1,,,03Q,,N,"I’m sorry, the flight was delayed.",,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_005.mp3,"13,16,18"
6,6,MA,9781442369269,Mandarin 4,1,,,03R,,M,对不起， 航班晚点了。,"dùi bù qǐ, háng bān wǎn diǎn le.",8,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_006.mp3,"13,16,18"
7,7,MA,9781442369269,Mandarin 4,1,,,04Q,,N,The flight will arrive soon.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_007.mp3,"16,18"
8,8,MA,9781442369269,Mandarin 4,1,,,04R,,F,航班快到了。,háng bān kuài dào le.,5,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_008.mp3,"16,18"
9,9,MA,9781442369269,Mandarin 4,1,,,05Q,,N,"Welcome, welcome.",,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_009.mp3,"7,13,16"
10,10,MA,9781442369269,Mandarin 4,1,,,05R,,F,"欢迎, 欢迎.","huān yíng, huān yíng.",4,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_010.mp3,"7,13,16"
11,11,MA,9781442369269,Mandarin 4,1,,,06Q,,N,Tomorrow afternoon is Mr. Ellis’ schedule full?,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_011.mp3,"17,20"
12,12,MA,9781442369269,Mandarin 4,1,,,06R,,F,明天下午先生的日程满不满?,míng tiān xià wǔ xiān sheng de rì chéng mǎn bù mǎn?,12,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_012.mp3,"17,20"
13,13,MA,9781442369269,Mandarin 4,1,,,07Q,,N,Tomorrow afternoon my schedule is very full.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_013.mp3,"17,20"
14,14,MA,9781442369269,Mandarin 4,1,,,07R,,M,明天下午我的日程很满。,míng tiān xià wǔ wǒ de rì chéng hěn mǎn.,10,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_014.mp3,"17,20"
15,15,MA,9781442369269,Mandarin 4,1,,,08Q,,N,I’m going to the airport soon.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_015.mp3,"16,17,18"
16,16,MA,9781442369269,Mandarin 4,1,,,08R,,M,我快去机场了。,wǒ kuài qù jī chǎng le.,6,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_016.mp3,"16,17,18"
17,17,MA,9781442369269,Mandarin 4,1,,,09Q,,N,I have to go to the airport to pick up Mr. Jones.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_017.mp3,18
18,18,MA,9781442369269,Mandarin 4,1,,,09R,,M,我得去机场接jones先生。,wǒ děi qù jī chǎng jiē jones xiān sheng.,9,S,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_018.mp3,18
19,19,MA,9781442369269,Mandarin 4,1,,,10Q,,N,I’m a little tired.,,,,Pimsleur Chinese (Mandarin) Level 4 MP3,9781442394902_Mandarin_Chinese_4_QM_019.mp3,"8,9"
