Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,NO,Norwegian 1,1,,01Q,N,You are American.,,9781508296782_Norwegian_Level_1_QM_001.mp3,9.78144E+12,9.78151E+12,"10,13"
2,NO,Norwegian 1,1,,01R,F,Du er amerikansk.,,9781508296782_Norwegian_Level_1_QM_002.mp3,9.78144E+12,9.78151E+12,"10,13"
3,NO,Norwegian 1,1,,02Q,N,Are you American?,,9781508296782_Norwegian_Level_1_QM_003.mp3,9.78144E+12,9.78151E+12,"10,13"
4,NO,Norwegian 1,1,,02R,F,Er du amerikansk?,,9781508296782_Norwegian_Level_1_QM_004.mp3,9.78144E+12,9.78151E+12,"10,13"
5,NO,Norwegian 1,1,,03Q,N,Do you understand English?,,9781508296782_Norwegian_Level_1_QM_005.mp3,9.78144E+12,9.78151E+12,"10,15,16"
6,NO,Norwegian 1,1,,03R,F,Forst�r du engelsk?,,9781508296782_Norwegian_Level_1_QM_006.mp3,9.78144E+12,9.78151E+12,"10,15,16"
7,NO,Norwegian 1,1,,04Q,N,I don�t understand Norwegian.,,9781508296782_Norwegian_Level_1_QM_007.mp3,9.78144E+12,9.78151E+12,"10,15,16"
8,NO,Norwegian 1,1,,04R,F,Jeg forst�r ikke norsk.,,9781508296782_Norwegian_Level_1_QM_008.mp3,9.78144E+12,9.78151E+12,"10,15,16"
9,NO,Norwegian 1,1,,05Q,N,I understand a little Norwegian,,9781508296782_Norwegian_Level_1_QM_009.mp3,9.78144E+12,9.78151E+12,"10,15,16"
10,NO,Norwegian 1,1,,05R,F,Jeg forst�r litt norsk.,,9781508296782_Norwegian_Level_1_QM_010.mp3,9.78144E+12,9.78151E+12,"10,15,16"
11,NO,Norwegian 1,1,,06Q,N,You understand English.,,9781508296782_Norwegian_Level_1_QM_011.mp3,9.78144E+12,9.78151E+12,15
12,NO,Norwegian 1,1,,06R,M,Du forst�r engelsk.,,9781508296782_Norwegian_Level_1_QM_012.mp3,9.78144E+12,9.78151E+12,15
13,NO,Norwegian 1,1,,07Q,N,I understand Norwegian.,,9781508296782_Norwegian_Level_1_QM_013.mp3,9.78144E+12,9.78151E+12,"10,15"
14,NO,Norwegian 1,1,,07R,M,Jeg forst�r norsk.,,9781508296782_Norwegian_Level_1_QM_014.mp3,9.78144E+12,9.78151E+12,"10,15"
15,NO,Norwegian 1,1,,08Q,N,Do you understand Norwegian?,,9781508296782_Norwegian_Level_1_QM_015.mp3,9.78144E+12,9.78151E+12,"10,15"
16,NO,Norwegian 1,1,,08R,M,Forst�r du norsk?,,9781508296782_Norwegian_Level_1_QM_016.mp3,9.78144E+12,9.78151E+12,"10,15"
17,NO,Norwegian 1,1,,09Q,N,"No, I don�t understand.",,9781508296782_Norwegian_Level_1_QM_017.mp3,9.78144E+12,9.78151E+12,"10,15,16"
18,NO,Norwegian 1,1,,09R,M,"Nei, jeg forst�r ikke.",,9781508296782_Norwegian_Level_1_QM_018.mp3,9.78144E+12,9.78151E+12,"10,15,16"
19,NO,Norwegian 1,1,,10Q,N,"Yes, I understand a little.",,9781508296782_Norwegian_Level_1_QM_019.mp3,9.78144E+12,9.78151E+12,"10,15,16"
20,NO,Norwegian 1,1,,10R,M,"Ja, jeg forst�r litt.",,9781508296782_Norwegian_Level_1_QM_020.mp3,9.78144E+12,9.78151E+12,"10,15,16"
