Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,EA,Eastern Arabic 2,1,,01Q,N,Does your older daughter speak Arabic? (f),,9781797115115_Eastern_Arabic_2_QZ_001.mp3,9781442306929,9781797115115,"5,15"
2,EA,Eastern Arabic 2,1,,01R,F,بنتك الكبيرة بتحكي عربي؟,bintek l-kbiire b-teHkii `arabii?,9781797115115_Eastern_Arabic_2_QZ_002.mp3,9781442306929,9781797115115,"5,15"
3,EA,Eastern Arabic 2,1,,02Q,N,We didn’t eat at the hotel yesterday.,,9781797115115_Eastern_Arabic_2_QZ_003.mp3,9781442306929,9781797115115,"6,18"
4,EA,Eastern Arabic 2,1,,02R,F,ما أكلنا بالأوتيل مبارح.,maa akalnaa bil-oteel mbaareH.,9781797115115_Eastern_Arabic_2_QZ_004.mp3,9781442306929,9781797115115,"6,18"
5,EA,Eastern Arabic 2,1,,03Q,N,I don’t like to eat at the hotel.,,9781797115115_Eastern_Arabic_2_QZ_005.mp3,9781442306929,9781797115115,"6,18"
6,EA,Eastern Arabic 2,1,,03R,F,ما بحب آكل بالأوتيل.,maa b-Hibb aakol bil-oteel.,9781797115115_Eastern_Arabic_2_QZ_006.mp3,9781442306929,9781797115115,"6,18"
7,EA,Eastern Arabic 2,1,,04Q,N,I didn’t speak English.,,9781797115115_Eastern_Arabic_2_QZ_007.mp3,9781442306929,9781797115115,15
8,EA,Eastern Arabic 2,1,,04R,F,ما حكيت إنكليزي.,maa Hakeet ingliizii.,9781797115115_Eastern_Arabic_2_QZ_008.mp3,9781442306929,9781797115115,15
9,EA,Eastern Arabic 2,1,,05Q,N,I didn’t buy anything.,,9781797115115_Eastern_Arabic_2_QZ_009.mp3,9781442306929,9781797115115,14
10,EA,Eastern Arabic 2,1,,05R,F,ما اشتريت شي.,maa shtareet shii.,9781797115115_Eastern_Arabic_2_QZ_010.mp3,9781442306929,9781797115115,14
11,EA,Eastern Arabic 2,1,,06Q,N,We went to a good restaurant.,,9781797115115_Eastern_Arabic_2_QZ_011.mp3,9781442306929,9781797115115,6
12,EA,Eastern Arabic 2,1,,06R,M,رحنا لمطعم منيح.,reHnaa la maT`am mniiH.,9781797115115_Eastern_Arabic_2_QZ_012.mp3,9781442306929,9781797115115,6
13,EA,Eastern Arabic 2,1,,07Q,N,I bought a newspaper.,,9781797115115_Eastern_Arabic_2_QZ_013.mp3,9781442306929,9781797115115,14
14,EA,Eastern Arabic 2,1,,07R,M,اشتريت جريدة.,shtareet jariide.,9781797115115_Eastern_Arabic_2_QZ_014.mp3,9781442306929,9781797115115,14
15,EA,Eastern Arabic 2,1,,08Q,N,I bought a Syrian newspaper.,,9781797115115_Eastern_Arabic_2_QZ_015.mp3,9781442306929,9781797115115,14
16,EA,Eastern Arabic 2,1,,08R,M,اشتريت جريدة سورية.,shtareet jariide suuriyye.,9781797115115_Eastern_Arabic_2_QZ_016.mp3,9781442306929,9781797115115,14
17,EA,Eastern Arabic 2,1,,09Q,N,What did you do today?,,9781797115115_Eastern_Arabic_2_QZ_017.mp3,9781442306929,9781797115115,"1,17"
18,EA,Eastern Arabic 2,1,,09R,M,شو عملت اليوم؟,shuu `melt l-yoom?,9781797115115_Eastern_Arabic_2_QZ_018.mp3,9781442306929,9781797115115,"1,17"
19,EA,Eastern Arabic 2,1,,10Q,N,With my Syrian friends.,,9781797115115_Eastern_Arabic_2_QZ_019.mp3,9781442306929,9781797115115,5
20,EA,Eastern Arabic 2,1,,10R,M,مع رفقاتي السوريين.,ma` refa’aatii es-suuriyyiin,9781797115115_Eastern_Arabic_2_QZ_020.mp3,9781442306929,9781797115115,5
21,EA,Eastern Arabic 2,2,,01Q,N,She wants to see our daughter.,,9781797115115_Eastern_Arabic_2_QZ_021.mp3,9781442306929,9781797115115,5
22,EA,Eastern Arabic 2,2,,01R,F,بدا تشوف بنتنا.,beddaa tshuuf binitnaa.,9781797115115_Eastern_Arabic_2_QZ_022.mp3,9781442306929,9781797115115,5
23,EA,Eastern Arabic 2,2,,02Q,N,We need a car.,,9781797115115_Eastern_Arabic_2_QZ_023.mp3,9781442306929,9781797115115,"16,18"
24,EA,Eastern Arabic 2,2,,02R,F,لازمنا سيارة.,laazemnaa sayyaara.,9781797115115_Eastern_Arabic_2_QZ_024.mp3,9781442306929,9781797115115,"16,18"
25,EA,Eastern Arabic 2,2,,03Q,N,Why are you here in Damascus?,,9781797115115_Eastern_Arabic_2_QZ_025.mp3,9781442306929,9781797115115,18
26,EA,Eastern Arabic 2,2,,03R,F,ليش إنتِ هون بالشام؟,leesh ente hoon besh-shaam?,9781797115115_Eastern_Arabic_2_QZ_026.mp3,9781442306929,9781797115115,18
