Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,01Q,0,N,Perhaps we can go on foot?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_001.mp3,1
2,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,01R,0,M,¿Tal vez podemos ir a pie?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_002.mp3,1
3,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,02Q,0,N,Can we go on foot?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_003.mp3,1
4,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,02R,0,M,¿Podemos ir a pie?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_004.mp3,1
5,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,03Q,0,N,Afterwards I have to study Spanish.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_005.mp3,1
6,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,03R,0,F,Después tengo que estudiar español.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_006.mp3,1
7,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,04Q,0,N,Where is it located?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_007.mp3,"4,16"
8,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,04R,0,F,¿Dónde queda?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_008.mp3,"4,16"
9,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,05Q,0,N,Where do you work?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_009.mp3,"4,20"
10,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,05R,0,M,¿Dónde trabajas?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_010.mp3,"4,20"
11,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,06Q,0,N,First I’m going to work.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_011.mp3,20
12,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,06R,0,F,Primero voy a trabajar.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_012.mp3,20
13,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,07Q,0,N,First I have to work.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_013.mp3,20
14,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,07R,0,M,Primero tengo que trabajar.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_014.mp3,20
15,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,08Q,0,N,What’s it called?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_015.mp3,"7,16"
16,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,08R,0,M,¿Cómo se llama?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_016.mp3,"7,16"
17,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,09Q,0,N,On what street?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_017.mp3,"4,16"
18,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,09R,0,M,¿En qué calle?,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_018.mp3,"4,16"
19,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,10Q,0,N,I’ll go with you.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_019.mp3,1
20,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,10R,0,F,Voy contigo.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_020.mp3,1
21,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,11Q,0,N,My work is located far away.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_021.mp3,"4,20"
22,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,11R,0,F,Mi trabajo queda lejos.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_022.mp3,"4,20"
23,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,12Q,0,N,You can help me with my English.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_023.mp3,7
24,SP,9781508283683,Spanish 2,1,00:00.000,00:00.000,12R,0,F,Tú puedes ayudarme con mi inglés.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_024.mp3,7
25,SP,9781508283683,Spanish 2,2,00:00.000,00:00.000,01Q,0,N,Not right now.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_025.mp3,17
26,SP,9781508283683,Spanish 2,2,00:00.000,00:00.000,01R,0,F,Ahorita no.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_026.mp3,17
27,SP,9781508283683,Spanish 2,2,00:00.000,00:00.000,02Q,0,N,There it is.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_027.mp3,7
28,SP,9781508283683,Spanish 2,2,00:00.000,00:00.000,02R,0,M,Allí queda.,n/a,n/a,Spanish Level 2 Core Update,9781508283683_Spanish_2_QZ_028.mp3,7
